PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,Aug4_chg,Oct19_chg,Aug4_chg_norm,Oct19_chg_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV,SOLIDITY_SCORE,CUR_YIELD,FINAL_THG,SOLIDITY_WEIGHT_USED,YIELD_WEIGHT_USED,Group
ALL PRI,ALL,,12,12/27/2024,,,0.3,4.75,24.92,17.85,19.32,1.47,-5.6,19.98,21.06,-3.29,-8.28,18.56,24.49,17.5,24.49,35.0,19.14,0.58,-5.35,64.52,61.59,71.03,77.75,-5.78,1.29,70.56,60.37,-5.35,1.64,77.59,76.9,22799.0,20748.0,21818.0,21788.0,77.76,0.06,446.18,2.07,702.15,10
AMH PRG,AMH,,9,12/13/2024,,,0.37,5.88,25.47,21.43,23.52,2.09,-1.95,23.1,23.36,1.81,0.67,21.76,25.34,21.1,25.34,21.0,23.24,1.48,-2.1,34.66,22.53,46.29,30.9,-2.23,1.81,34.25,55.66,-2.1,2.14,30.15,72.31,7724.0,8444.0,9298.0,8489.0,62.61,0.06,306.95,2.07,702.15,7
AMH PRH,AMH,,9,12/13/2024,,,0.39,6.25,25.85,22.38,24.93,2.55,-0.92,24.17,24.27,3.14,2.72,22.7,26.25,21.74,26.25,21.0,24.63,1.93,-1.62,26.87,13.58,33.92,23.98,-1.22,2.25,23.91,51.68,-1.62,2.89,23.14,65.44,8594.0,7763.0,8787.0,8382.0,62.61,0.06,279.0,2.07,702.15,7
ASB PRE,ASB,,10,12/2/2024,,,0.37,5.88,25.1,16.77,20.57,3.8,-4.53,21.0,21.4,-2.05,-3.87,19.25,23.75,15.75,23.75,10.0,20.24,0.99,-3.51,57.26,42.34,59.76,51.23,-4.86,3.47,61.15,40.62,-3.51,4.49,50.73,50.78,3734.0,3083.0,3127.0,3315.0,57.05,0.07,342.37,2.07,702.15,1
ASB PRF,ASB,,10,12/2/2024,,,0.35,5.63,25.25,16.4,19.7,3.3,-5.55,20.08,20.46,-1.88,-3.73,18.51,22.91,14.91,22.91,10.0,19.39,0.88,-3.52,56.27,41.73,62.78,51.37,-5.86,2.99,71.38,44.97,-3.52,4.48,50.88,50.87,6295.0,4931.0,4945.0,5390.0,57.05,0.07,346.14,2.07,702.15,1
ATH PRB,-,,11,12/13/2024,,,0.35,5.63,25.26,18.0,19.73,1.73,-5.53,20.11,21.26,-1.89,-7.2,18.34,23.53,16.66,23.53,21.0,19.46,1.12,-4.07,56.33,56.87,56.19,59.3,-5.8,1.46,70.77,58.83,-4.07,2.8,58.91,66.27,21471.0,22616.0,19294.0,21127.0,45.05,0.07,353.04,2.07,702.15,10
ATH PRD,-,,11,12/13/2024,,,0.3,4.88,21.69,15.24,17.03,1.79,-4.66,17.4,18.46,-2.12,-7.76,15.86,20.61,15.19,20.61,21.0,16.8,0.94,-3.81,57.67,59.32,61.13,55.55,-4.89,1.56,61.46,57.93,-3.81,1.61,55.11,77.17,46068.0,46278.0,30146.0,40830.0,45.05,0.07,362.72,2.07,702.15,8
AXS PRE,AXS,,11.5,12/26/2024,,,0.34,5.5,24.04,19.26,20.05,0.79,-3.99,20.74,21.56,-3.33,-6.99,19.45,23.66,18.77,23.66,34.0,19.84,0.39,-3.82,64.76,55.96,76.25,55.69,-4.2,0.58,54.4,66.81,-3.82,1.07,55.26,82.12,31476.0,33290.0,33492.0,32752.0,68.66,0.07,419.93,2.07,702.15,9
BAC PRB,BAC,,11,10/29/2024,6/16/2023,,0.38,6.0,25.69,23.02,24.51,1.49,-1.18,24.96,25.1,-1.79,-2.36,24.15,25.63,22.3,25.63,66.0,24.41,0.26,-1.22,55.74,35.75,79.83,18.22,-1.28,1.39,24.53,59.47,-1.22,2.11,17.3,72.59,68613.0,82424.0,91353.0,80796.0,78.1,0.06,384.09,2.07,702.15,4
BAC PRK,BAC,,11,1/2/2025,,,0.37,5.88,25.68,22.0,23.98,1.98,-1.7,24.57,24.84,-2.4,-3.45,23.45,25.43,21.51,25.43,41.0,23.78,0.33,-1.65,59.31,40.51,77.9,24.41,-1.9,1.78,30.87,55.93,-1.65,2.27,23.58,71.12,49154.0,50140.0,49263.0,49519.0,78.1,0.06,385.73,2.07,702.15,4
