PREF IBKR,PREF YF,CMON,FF-FR_,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,TIME TO DIV,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV
ALL PRJ,ALL-J,ALL,,,12.0,06/27/2025,7/15/2028,NONE,0.46,7.38%,,25.29,264.67,Insurance,,37.0,,,,,,26.45,1.16,,26.66,27.01,-0.79,-2.07,25.56,28.22,25.15,28.22,26.18,0.62,-2.04,51.837969,54.058485,72.561798,35.517241,-2.04,1.03,32.056632,82.114286,38350,36839,37136,37442
ALTG PRA,ALTG-A,ALTG,,,8.0,07/11/2025,12/22/2025,NONE,0.63,10.00%,26.75,25.75,33.19,Rental&leasingservices,,51.0,,,,,,24.4,-1.35,-2.35,25.07,25.5,-2.67,-4.33,23.05,26.25,23.05,27.0,24.13,1.08,-2.12,60.931076,62.069118,64.292135,36.62069,-2.87,1.08,41.95231,81.828571,2415,2616,2946,2659
ANG PRB,ANG-B,-,FF,,9.0,05/16/2025,9/1/2025,NONE,0.41,6.63%,,,-,-,,85.0,,,,,,24.9,,,25.11,25.0,-0.82,-0.39,24.55,25.9,22.0,25.9,24.88,0.33,-1.02,51.983071,48.103677,77.775281,21.448276,-1.02,2.88,19.895678,71.542857,42941,60864,46380,50061
ANG PRD,ANG-D,-,,,9.0,06/30/2025,1/15/2030,,0.49,7.38%,,,-,-,,40.0,,,,,,25.61,,,,,,,23.54,26.54,23.54,26.54,25.34,1.8,-1.2,,,51.348315,23.931034,-1.2,1.8,22.041729,77.714286,46621,46621,13809,35683
AOMN,AOMN,AOMR,,BB,8.0,07/14/2025,7/30/2026,7/30/2029,0.59,9.50%,,,23.50,Reit,,54.0,,,,,,24.96,,,,,,,23.6,26.1,23.6,26.1,24.72,1.12,-1.38,,,63.573034,26.413793,-1.38,1.12,24.187779,81.6,8759,7653,6610,7674
APOS,APOS,APO,NFF,,13.0,05/30/2025,12/15/2028,9/15/2053,0.48,7.63%,,,571.72,Assetmanagement,,9.0,,,,,,26.47,,,26.51,26.75,-0.13,-1.06,24.89,27.74,24.89,27.77,26.04,1.15,-1.7,48.645707,50.478511,63.033708,30.827586,-1.73,1.15,28.360656,81.428571,28838,32435,39042,33438
AQNB,AQNB,AQN,FF,,9.0,06/13/2025,7/1/2024,7/1/2079,0.55,6.20%,,,789.65,Utilities,,23.0,,,,,,25.53,,,25.41,25.44,0.49,0.34,24.59,26.5,22.71,26.5,25.12,0.53,-1.38,45.646917,45.516172,74.179775,26.413793,-1.38,2.41,24.187779,74.228571,22389,22614,27813,24272
ARGD,ARGD,-,,BB,9.5,05/30/2025,9/15/2017,9/15/2042,0.41,6.50%,24.35,21.31,-,-,,9.0,,,,,,20.2,-1.11,-4.15,21.08,21.8,-4.18,-7.32,19.19,22.85,19.19,24.24,19.83,0.64,-3.02,68.234583,72.667257,72.202247,49.034483,-4.41,0.64,60.312966,84.342857,8085,7536,7342,7654
ARGO PRA,ARGO-A,-,NFF,,8.5,05/27/2025,9/15/2025,NONE,0.44,7.00%,,,-,-,,6.0,,,,,,25.21,,,25.06,24.89,0.58,1.27,24.27,25.36,20.76,25.49,24.8,0.53,-0.56,45.211608,42.219761,74.179775,15.103448,-0.69,4.04,15.961252,64.914286,17994,18923,15081,17333
ARR PRC,ARR-C,ARR,,,8.0,05/15/2025,1/28/2025,,0.15,7.00%,22.6,18.06,81.90,Reit,,84.0,,,,,,20.6,2.54,-2.0,21.26,21.64,-3.12,-4.79,19.27,23.58,17.85,23.58,20.59,1.32,-2.99,63.107618,63.699601,59.977528,48.62069,-2.99,2.74,43.38301,72.342857,10999,10576,9895,10490
ASBA,ASBA,ASB,NFF,,11.0,05/15/2025,3/1/2028,3/1/2033,0.41,6.63%,,,165.95,Regionalbank,,84.0,,,,,,24.21,,,24.4,24.03,-0.76,0.73,22.99,25.3,18.82,25.3,24.18,1.19,-1.12,51.692866,44.133806,62.314607,22.827586,-1.12,5.36,21.087928,57.371429,18574,16227,14883,16561
ATCO PRD,ATCO-D,-,,,8.0,07/25/2025,1/30/2018,NONE,0.5,7.95%,25.27,23.86,-,-,,65.0,,,,,,25.09,1.23,-0.18,25.06,25.03,0.12,0.23,24.14,25.98,22.0,25.98,24.95,0.81,-1.03,47.436518,45.90607,69.146067,21.586207,-1.03,2.95,20.014903,71.142857,3922,4633,5822,4792
ATCO PRH,ATCO-H,-,,,8.0,07/25/2025,8/11/2021,NONE,0.49,7.88%,24.95,22.38,-,-,,65.0,,,,,,24.97,2.59,0.02,24.87,24.86,0.42,0.46,23.78,25.49,21.28,25.49,24.83,1.05,-0.66,45.98549,45.090829,64.831461,16.482759,-0.66,3.55,15.603577,67.714286,9303,10191,17783,12426
ATCOL,ATCOL,-,,,8.0,07/15/2025,5/13/2023,10/30/2027,0.45,7.13%,,,-,-,,55.0,,,,,,25.06,,,24.94,24.94,0.5,0.46,22.45,25.45,22.45,25.9,24.88,2.43,-0.57,45.598549,45.090829,40.022472,15.241379,-1.02,2.43,19.895678,74.114286,1803,2357,4993,3051
ATH PRA,ATH-A,-,NFF,,11.5,06/13/2025,6/30/2029,NONE,0.4,6.35%,,,-,-,,23.0,,,,,,24.13,,,24.35,24.54,-0.91,-1.66,22.0,25.71,19.81,25.71,23.83,1.83,-1.88,52.41838,52.605228,50.808989,33.310345,-1.88,4.02,30.149031,65.028571,35584,38420,21300,31768
ATH PRC,ATH-C,-,NFF,,11.5,06/13/2025,9/30/2025,NONE,0.4,6.38%,,,-,-,,23.0,,,,,,25.15,,,25.1,25.09,0.22,0.24,24.24,25.46,22.05,25.64,24.85,0.61,-0.61,46.952842,45.870625,72.741573,15.793103,-0.79,2.8,17.153502,72.0,55286,56408,31428,47708
ATH PRE,ATH-E,-,NFF,,11.5,06/13/2025,12/30/2027,NONE,0.48,7.75%,,,-,-,,23.0,,,,,,25.7,,,25.79,26.25,-0.36,-2.1,24.17,27.5,23.61,27.5,25.34,1.17,-2.16,49.758162,54.164821,62.674157,37.172414,-2.16,1.73,33.487332,78.114286,21293,20456,24631,22126
ATHS,ATHS,-,NFF,,12.0,06/12/2025,3/30/2029,3/30/2064,0.45,7.25%,,,-,-,,22.0,,,,,,24.89,,,25.21,25.34,-1.27,-1.78,24.01,26.25,24.01,26.25,24.55,0.54,-1.7,54.159613,53.030572,74.0,30.827586,-1.7,0.54,28.002981,84.914286,47773,47891,23804,39823
ATLCL,ATLCL,ATLC,,,8.0,07/11/2025,10/2/2026,12/31/2026,0.38,6.13%,24.52,21.61,15.11,Creditservices,,51.0,,,,,,24.15,2.54,-0.37,24.05,23.5,0.4,2.78,22.9,24.76,20.62,24.76,23.99,1.09,-0.77,46.082225,36.867523,64.11236,18.0,-0.77,3.37,16.915052,68.742857,5239,6322,8386,6649
ATLCP,ATLCP,ATLC,,,8.0,05/30/2025,6/11/2026,NONE,0.48,7.63%,24.15,20.61,15.11,Creditservices,,9.0,,,,,,23.21,2.6,-0.94,23.24,23.04,-0.14,0.72,21.66,24.5,17.99,24.8,22.78,1.12,-1.72,48.694075,44.169251,63.573034,31.103448,-2.02,4.79,31.818182,60.628571,3966,3787,4386,4046
ATLCZ,ATLCZ,ATLC,,BB,8.0,07/01/2025,1/31/2028,1/31/2029,0.58,9.25%,,,15.11,Creditservices,,41.0,,,,,,25.21,,,24.98,24.97,0.9,0.98,23.4,25.5,23.4,25.5,24.89,1.49,-0.61,43.663845,43.247674,56.921348,15.793103,-0.61,1.49,15.007452,79.485714,27400,22935,14377,21571
AUB PRA,AUB-A,AUB,,,8.0,05/16/2025,9/1/2025,NONE,0.43,6.88%,26.14,19.25,142.37,Regionalbank,,85.0,,,,,,24.45,5.2,-1.69,24.61,24.2,-0.64,1.01,22.86,25.93,19.21,25.93,24.43,1.57,-1.5,51.112455,43.141338,55.483146,28.068966,-1.5,5.22,25.61848,58.171429,13976,11837,10727,12180
BAC PRE,BAC-E,BAC,FLR,,11.0,07/25/2025,11/15/2011,NONE,0.31,4.00%,,,7537.21,Bank,,65.0,,,,,,22.03,,,22.85,23.64,-3.59,-6.82,20.81,25.5,19.52,25.5,21.94,1.13,-3.56,65.380895,70.894993,63.393258,56.482759,-3.56,2.42,50.178838,74.171429,16697,20911,13169,16926
BANC PRF,BANC-F,BANC,NFF,,8.0,05/19/2025,9/1/2027,NONE,0.49,7.75%,,,169.33,Regionalbank,,88.0,,,,,,24.72,,,24.85,24.28,-0.53,1.8,23.39,25.6,20.94,25.6,24.71,1.32,-0.89,50.580411,40.341161,59.977528,19.655172,-0.89,3.77,18.345753,66.457143,51211,38839,23373,37808
BANFP,BANFP,BANF,,TP,8.0,06/27/2025,3/21/2009,3/31/2034,0.45,7.20%,27.53,27.0,33.23,Regionalbank,,37.0,,,,,,26.24,-0.76,-1.29,26.06,25.82,0.68,1.62,25.43,29.45,24.7,29.45,25.97,0.54,-3.48,44.727932,40.979176,74.0,55.37931,-3.48,1.27,49.225037,80.742857,767,550,337,551
