PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,COM_LAST_PRICE,COM_52W_LOW,COM_52W_HIGH,COM_6M_PRICE,COM_3M_PRICE,COM_5Y_LOW,COM_5Y_HIGH,COM_MKTCAP,CRDT_SCORE,COM_FEB2020_PRICE,COM_MAR2020_PRICE,COM_5Y_LOW_CHG,COM_5Y_HIGH_CHG,COM_52W_LOW_CHG,COM_52W_HIGH_CHG,COM_6M_CHG,COM_3M_CHG,COM_FEB2020_CHG,COM_MAR2020_CHG,5Y_LOW_SKOR,5Y_HIGH_SKOR,52W_LOW_SKOR,52W_HIGH_SKOR,COM_6M_SKOR,COM_3M_SKOR,FEB2020_SKOR,MAR2020_SKOR,Normalized_5Y_LOW,Normalized_5Y_HIGH,Normalized_52W_LOW,Normalized_52W_HIGH,Normalized_COM_6M,Normalized_COM_3M,Normalized_FEB2020,Normalized_MAR2020,52W_HIGH_CHG,5Y_HIGH_CHG,52W_LOW_CHG,5Y_LOW_CHG,5Y_CHG,5Y CHG SKOR,52W_CHG,52W CHG SKOR,TOTAL_HIGH_SCORE,3M_PERF,6M_PERF,RECENT_TOTAL,MKTCAP_NORM,CRDT_NORM,SOLIDITY_SCORE,H2020_SKOR,H2020_NORM,L2020_SKOR,L2020_NORM,COM_6M_NORM,COM_3M_NORM,MKTCAP_RANGE
BAC PRQ,BAC,,11,11/1/2024,,,0.27,4.25%,20.46,16.11,16.97,0.86,-3.49,17.94,18.74,-5.38,-9.46,16.74,21.00,15.98,21.00,69.00,16.91,44.12,33.06,48.08,46.46,46.01,22.39,50.11,337.20,11.00,34.69,19.67,0.97,-0.12,0.33,-0.08,-0.05,-0.04,0.27,1.24,87.64,79.24,36.76,82.59,-0.33,-0.43,64.98,74.26,69.67,97.60,75.47,97.17,51.83,54.15,28.31,24.02,-0.08,-0.12,0.33,0.97,0.97,20.97,0.33,32.89,80.91,-0.04,-0.05,-0.09,92.29,40.60,78.10,34.99,45.21,34.27,46.10,57.53,59.84,<1B USD
BAC PRS,BAC,,11,11/1/2024,,,0.30,4.75%,22.49,18.24,19.10,0.86,-3.39,20.08,20.95,-4.87,-8.84,18.78,23.44,17.82,23.44,69.00,19.03,44.12,33.06,48.08,46.46,46.01,22.39,50.11,337.20,11.00,34.69,19.67,0.97,-0.12,0.33,-0.08,-0.05,-0.04,0.27,1.24,87.64,79.24,36.76,82.59,-0.33,-0.43,64.98,74.26,69.67,97.60,75.47,97.17,51.83,54.15,28.31,24.02,-0.08,-0.12,0.33,0.97,0.97,20.97,0.33,32.89,80.91,-0.04,-0.05,-0.09,92.29,40.60,78.10,34.99,45.21,34.27,46.10,57.53,59.84,<1B USD
BCV PRA,BCV,,16,12/16/2024,,,0.34,5.39%,24.69,22.15,22.18,0.03,-2.51,22.41,22.97,-1.04,-3.45,21.51,24.71,21.51,25.26,24.00,21.93,18.11,15.20,18.77,18.52,18.72,14.09,36.33,0.11,16.00,26.83,18.27,0.29,-0.50,0.19,-0.04,-0.02,-0.03,-0.33,-0.01,32.82,44.86,25.32,86.84,0.40,-0.21,28.44,18.87,51.64,60.25,64.60,89.02,56.89,55.67,12.96,6.85,-0.04,-0.50,0.19,0.29,0.29,12.93,0.19,21.96,65.85,-0.03,-0.02,-0.05,35.55,90.10,59.54,33.05,42.76,33.71,45.37,61.99,61.18,<1B USD
BFS PRD,BFS,,NR,12/27/2024,,,0.38,6.13%,24.15,19.30,21.25,1.95,-2.90,21.00,21.42,1.21,-0.81,19.30,23.77,19.01,23.95,35.00,21.02,34.37,31.25,42.39,39.78,35.96,23.49,56.22,0.83,8.00,48.09,25.61,0.46,-0.39,0.10,-0.19,-0.14,-0.04,-0.29,0.34,47.05,55.02,17.99,72.97,-2.56,-0.51,31.95,34.39,58.60,75.18,3.08,35.02,36.48,53.58,14.43,11.66,-0.19,-0.39,0.10,0.46,0.46,15.02,0.10,14.96,64.00,-0.04,-0.14,-0.18,39.15,10.90,44.33,37.98,48.99,36.50,49.04,44.00,59.35,<1B USD
BFS PRE,BFS,,NR,12/27/2024,,,0.38,6.00%,24.60,18.93,20.85,1.92,-3.75,20.82,21.37,0.15,-2.45,18.34,24.06,18.34,24.49,35.00,20.62,34.37,31.25,42.39,39.78,35.96,23.49,56.22,0.83,8.00,48.09,25.61,0.46,-0.39,0.10,-0.19,-0.14,-0.04,-0.29,0.34,47.05,55.02,17.99,72.97,-2.56,-0.51,31.95,34.39,58.60,75.18,3.08,35.02,36.48,53.58,14.43,11.66,-0.19,-0.39,0.10,0.46,0.46,15.02,0.10,14.96,64.00,-0.04,-0.14,-0.18,39.15,10.90,44.33,37.98,48.99,36.50,49.04,44.00,59.35,<1B USD
BHFAL,BHF,BB,10.5,12/2/2024,9/15/2023,,0.39,6.25%,26.35,20.69,20.30,-0.39,-6.05,21.24,22.81,-4.42,-10.99,19.26,25.47,19.10,25.47,10.00,19.95,61.15,40.00,64.12,50.45,62.97,25.13,64.12,3.51,10.50,42.11,16.15,1.43,-0.05,0.53,-0.05,0.21,-0.03,0.45,2.79,90.00,85.83,52.30,85.83,6.48,-0.12,77.74,142.56,75.63,6.60,84.84,91.02,98.86,56.33,33.67,45.20,-0.05,-0.05,0.53,1.43,1.43,26.39,0.53,47.74,85.83,-0.03,0.21,0.18,46.27,35.65,62.45,36.69,47.36,32.84,44.23,99.00,61.76,<1B USD
BHFAM,BHF,,10.5,12/6/2024,,,0.29,4.63%,21.13,13.35,14.91,1.56,-6.22,14.81,16.20,0.65,-7.97,13.28,18.95,13.03,18.95,14.00,14.67,61.15,40.00,64.12,50.45,62.97,25.13,64.12,3.51,10.50,42.11,16.15,1.43,-0.05,0.53,-0.05,0.21,-0.03,0.45,2.79,90.00,85.83,52.30,85.83,6.48,-0.12,77.74,142.56,75.63,6.60,84.84,91.02,98.86,56.33,33.67,45.20,-0.05,-0.05,0.53,1.43,1.43,26.39,0.53,47.74,85.83,-0.03,0.21,0.18,46.27,35.65,61.22,36.69,47.36,32.84,44.23,99.00,61.76,<1B USD
BHFAN,BHF,,10,12/6/2024,,,0.34,5.38%,22.69,15.27,16.33,1.06,-6.36,16.46,18.49,-0.77,-11.67,14.54,21.63,14.54,21.63,14.00,16.04,61.15,40.00,64.12,50.45,62.97,25.13,64.12,3.51,10.50,42.11,16.15,1.43,-0.05,0.53,-0.05,0.21,-0.03,0.45,2.79,90.00,85.83,52.30,85.83,6.48,-0.12,77.74,142.56,75.63,6.60,84.84,91.02,98.86,56.33,33.67,45.20,-0.05,-0.05,0.53,1.43,1.43,26.39,0.53,47.74,85.83,-0.03,0.21,0.18,46.27,35.65,61.22,36.69,47.36,32.84,44.23,99.00,61.76,<1B USD
BHFAO,BHF,,10,12/6/2024,6/25/2025,,0.42,6.75%,26.51,21.17,20.15,-1.02,-6.36,21.10,23.43,-4.52,-14.01,18.53,26.00,18.53,26.00,14.00,19.80,61.15,40.00,64.12,50.45,62.97,25.13,64.12,3.51,10.50,42.11,16.15,1.43,-0.05,0.53,-0.05,0.21,-0.03,0.45,2.79,90.00,85.83,52.30,85.83,6.48,-0.12,77.74,142.56,75.63,6.60,84.84,91.02,98.86,56.33,33.67,45.20,-0.05,-0.05,0.53,1.43,1.43,26.39,0.53,47.74,85.83,-0.03,0.21,0.18,46.27,35.65,61.22,36.69,47.36,32.84,44.23,99.00,61.76,<1B USD
BHFAP,BHF,,10,12/6/2024,,,0.41,6.60%,26.10,20.01,19.69,-0.32,-6.41,20.68,22.68,-4.77,-13.19,18.38,25.51,18.38,25.51,14.00,19.34,61.15,40.00,64.12,50.45,62.97,25.13,64.12,3.51,10.50,42.11,16.15,1.43,-0.05,0.53,-0.05,0.21,-0.03,0.45,2.79,90.00,85.83,52.30,85.83,6.48,-0.12,77.74,142.56,75.63,6.60,84.84,91.02,98.86,56.33,33.67,45.20,-0.05,-0.05,0.53,1.43,1.43,26.39,0.53,47.74,85.83,-0.03,0.21,0.18,46.27,35.65,61.22,36.69,47.36,32.84,44.23,99.00,61.76,<1B USD
BOH PRA,BOH,,12,10/17/2024,8/1/2026,,0.27,4.38%,20.44,13.05,15.46,2.41,-4.98,15.89,16.60,-2.71,-6.85,14.51,19.24,12.86,19.24,54.00,15.35,69.83,54.50,82.70,77.95,73.16,30.83,99.10,2.77,12.00,90.51,53.96,1.27,-0.30,0.28,-0.16,-0.10,-0.05,-0.23,0.29,90.00,63.42,32.50,75.99,-1.73,-0.54,36.98,32.27,73.71,87.52,72.02,40.14,42.19,53.35,16.54,11.00,-0.16,-0.30,0.28,1.27,1.27,24.42,0.28,28.82,69.70,-0.05,-0.10,-0.15,44.42,50.50,56.70,45.62,58.64,45.06,60.31,49.03,59.14,<1B USD
BWBBP,BWB,,NR,11/11/2024,8/17/2026,,0.37,5.88%,23.52,16.57,18.81,2.24,-4.71,19.14,19.06,-1.73,-1.33,18.10,22.00,14.48,22.00,79.00,18.76,15.60,10.52,16.15,15.00,14.54,7.90,20.21,0.43,8.00,13.79,9.02,0.97,-0.23,0.48,-0.03,0.04,0.07,0.13,0.73,87.97,69.47,48.63,86.93,2.01,2.49,55.03,51.54,69.73,96.41,82.95,88.82,68.02,74.62,24.13,16.98,-0.03,-0.23,0.48,0.97,0.97,21.02,0.48,44.23,78.20,0.07,0.04,0.11,37.15,10.90,49.51,29.46,38.22,29.68,40.06,71.81,77.78,<1B USD
CADE PRA,CADE,,NR,11/1/2024,11/20/2024,,0.34,5.50%,24.16,16.69,20.88,4.19,-3.28,21.16,21.18,-1.34,-1.43,19.60,23.49,16.13,23.49,69.00,20.80,31.71,25.22,40.20,37.97,34.02,16.95,40.20,5.79,8.00,70.64,43.84,0.87,-0.21,0.26,-0.21,-0.16,-0.07,0.33,1.37,79.66,70.99,30.59,70.99,-3.31,-1.12,,,68.02,98.65,70.27,35.85,31.31,49.33,,,-0.21,-0.21,0.26,0.87,0.87,19.80,0.26,26.99,70.99,-0.07,-0.16,-0.23,51.58,10.90,32.11,0.00,1.00,0.00,1.00,39.44,55.62,<1B USD
CFG PRE,CFG,,10,12/18/2024,,,0.31,5.00%,22.34,16.20,19.20,3.00,-3.14,19.61,20.38,-2.09,-5.81,17.99,23.38,15.17,23.38,26.00,18.98,41.58,32.60,49.25,46.77,47.39,20.97,57.00,18.03,10.00,38.49,17.52,0.98,-0.27,0.28,-0.16,-0.11,-0.12,0.08,1.37,88.63,65.65,32.04,75.98,-1.91,-2.52,51.43,80.03,69.86,90.80,71.60,40.12,40.97,39.50,22.62,25.81,-0.16,-0.27,0.28,0.98,0.98,21.11,0.28,28.38,70.82,-0.12,-0.11,-0.23,63.41,30.70,60.61,35.87,46.33,33.40,44.97,47.95,47.01,<1B USD
CFR PRB,CFR,,11.5,11/27/2024,,,0.28,4.45%,21.80,15.89,17.73,1.84,-4.07,17.72,18.78,0.05,-5.58,16.34,22.15,15.60,22.15,5.00,17.47,131.55,94.09,147.64,139.53,145.05,61.50,160.60,8.46,11.50,92.49,53.08,1.14,-0.18,0.40,-0.11,-0.06,-0.09,0.42,1.48,90.00,73.72,41.85,80.19,-0.51,-1.76,75.63,84.67,72.11,90.46,78.99,47.24,50.61,44.80,32.79,27.25,-0.11,-0.18,0.40,1.14,1.14,22.94,0.40,37.75,76.96,-0.09,-0.06,-0.15,56.92,45.55,63.63,45.92,59.03,44.83,60.01,56.45,51.66,<1B USD
CIM PRA,CIM,,NR,12/11/2024,10/21/2021,,0.50,8.00%,22.82,18.15,22.32,4.17,-0.50,21.96,22.52,1.62,-0.87,19.85,24.56,17.33,24.56,19.00,21.93,13.89,9.85,16.89,14.62,13.71,9.85,50.55,1.13,8.00,70.64,43.84,0.41,-0.73,0.41,-0.18,-0.05,0.01,0.33,1.37,42.81,24.73,42.81,74.01,-0.32,0.96,,,56.83,30.66,79.60,36.79,51.91,63.89,,,-0.18,-0.73,0.41,0.41,0.41,14.40,0.41,38.67,49.37,0.01,-0.05,-0.04,40.33,10.90,18.64,0.00,1.00,0.00,1.00,57.60,68.37,<1B USD
CIO PRA,CIO,,NR,1/8/2025,9/15/2021,,0.41,6.63%,24.00,15.06,19.23,4.17,-4.77,18.53,18.58,3.75,3.51,16.86,21.06,14.16,21.79,47.00,19.03,4.88,4.19,6.50,5.08,5.09,3.45,21.70,0.20,8.00,13.81,7.41,0.41,-0.78,0.16,-0.25,-0.04,-0.04,-0.65,-0.34,43.16,20.24,23.17,67.57,-0.05,-0.43,0.00,5.18,56.98,24.06,61.81,29.27,53.80,54.11,1.00,2.61,-0.25,-0.78,0.16,0.41,0.41,14.45,0.16,19.91,43.90,-0.04,-0.04,-0.08,36.00,10.90,34.66,29.46,38.23,28.90,39.04,59.27,59.81,<1B USD
CLDT PRA,CLDT,,NR,12/27/2024,,,0.41,6.63%,24.33,19.64,20.61,0.97,-3.72,20.54,21.54,0.36,-4.33,18.18,24.49,18.18,24.49,35.00,20.36,7.18,5.83,10.00,9.07,8.42,5.02,15.12,0.35,8.00,17.18,4.70,0.43,-0.53,0.23,-0.28,-0.21,-0.15,-0.58,0.53,44.42,42.74,28.52,64.62,-4.44,-3.15,5.71,42.60,57.52,57.13,68.22,23.60,23.51,35.07,3.40,14.21,-0.28,-0.53,0.23,0.43,0.43,14.63,0.23,25.02,53.68,-0.15,-0.21,-0.36,36.75,10.90,39.06,30.44,39.46,27.55,37.26,32.56,43.13,<1B USD
CMS PRC,CMS,,10.5,1/2/2025,,,0.26,4.20%,20.81,17.98,16.95,-1.03,-3.86,17.51,18.63,-3.20,-9.03,16.06,20.92,16.06,21.68,41.00,16.81,71.97,58.50,76.45,69.21,70.15,49.87,76.45,21.53,10.50,67.56,49.55,0.44,-0.06,0.23,-0.06,0.04,0.03,0.07,0.45,45.45,84.73,28.42,84.73,2.01,1.29,50.37,39.28,57.95,6.66,68.11,93.17,68.00,66.19,22.17,13.18,-0.06,-0.06,0.23,0.44,0.44,14.79,0.23,24.92,84.73,0.03,0.04,0.07,64.90,35.65,68.03,41.78,53.79,43.91,58.79,71.79,70.39,<1B USD
CMSA,CMS,BB,11.5,11/29/2024,3/15/2023,,0.35,5.63%,26.19,21.25,21.42,0.17,-4.77,22.15,23.57,-3.28,-9.11,20.66,25.53,20.66,25.53,7.00,21.10,71.97,58.50,76.45,69.21,70.15,49.87,76.45,21.53,10.50,67.56,49.55,0.44,-0.06,0.23,-0.06,0.04,0.03,0.07,0.45,45.45,84.73,28.42,84.73,2.01,1.29,50.37,39.28,57.95,6.66,68.11,93.17,68.00,66.19,22.17,13.18,-0.06,-0.06,0.23,0.44,0.44,14.79,0.23,24.92,84.73,0.03,0.04,0.07,64.90,35.65,69.39,41.78,53.79,43.91,58.79,71.79,70.39,<1B USD
CMSC,CMS,BB,11.5,12/27/2024,10/15/2023,,0.37,5.88%,25.19,21.74,22.16,0.42,-3.03,22.84,23.92,-2.97,-7.37,21.28,25.36,21.28,25.36,35.00,21.93,71.97,58.50,76.45,69.21,70.15,49.87,76.45,21.53,10.50,67.56,49.55,0.44,-0.06,0.23,-0.06,0.04,0.03,0.07,0.45,45.45,84.73,28.42,84.73,2.01,1.29,50.37,39.28,57.95,6.66,68.11,93.17,68.00,66.19,22.17,13.18,-0.06,-0.06,0.23,0.44,0.44,14.79,0.23,24.92,84.73,0.03,0.04,0.07,64.90,35.65,69.39,41.78,53.79,43.91,58.79,71.79,70.39,<1B USD
CMSD,CMS,BB,11.5,11/15/2024,,,0.37,5.88%,25.59,21.91,22.17,0.26,-3.42,23.05,24.01,-3.83,-7.66,21.72,25.30,21.72,25.31,83.00,22.14,71.97,58.50,76.45,69.21,70.15,49.87,76.45,21.53,10.50,67.56,49.55,0.44,-0.06,0.23,-0.06,0.04,0.03,0.07,0.45,45.45,84.73,28.42,84.73,2.01,1.29,50.37,39.28,57.95,6.66,68.11,93.17,68.00,66.19,22.17,13.18,-0.06,-0.06,0.23,0.44,0.44,14.79,0.23,24.92,84.73,0.03,0.04,0.07,64.90,35.65,69.39,41.78,53.79,43.91,58.79,71.79,70.39,<1B USD
CNO PRA,CNO,BB,NR,11/15/2024,11/25/2025,,0.32,5.13%,22.08,14.95,17.54,2.59,-4.54,18.99,20.03,-7.64,-12.45,16.54,22.22,14.56,22.53,83.00,17.52,38.77,26.36,43.20,39.38,41.50,13.21,43.20,3.84,8.00,18.66,9.85,1.93,-0.10,0.47,-0.10,-0.02,-0.07,1.08,2.94,90.00,80.77,47.66,80.77,0.57,-1.06,121.99,149.18,80.26,99.57,82.43,48.22,58.08,49.71,52.28,47.25,-0.10,-0.10,0.47,1.93,1.93,32.27,0.47,43.31,80.77,-0.07,-0.02,-0.09,47.10,10.90,55.56,30.86,39.99,30.07,40.57,63.04,55.95,<1B USD
COF PRI,COF,,10,11/13/2024,,,0.31,5.00%,23.21,16.12,19.05,2.93,-4.16,19.37,20.03,-1.67,-4.88,17.75,22.04,15.65,22.04,81.00,19.02,197.42,128.22,210.67,182.64,209.82,57.30,210.67,75.64,10.00,101.95,45.01,2.45,-0.06,0.54,-0.06,0.08,-0.06,0.94,3.39,90.00,84.34,53.18,84.34,3.08,-0.89,112.00,169.10,83.89,6.68,85.26,93.91,75.36,50.91,48.08,53.43,-0.06,-0.06,0.54,2.45,2.45,38.26,0.54,48.57,84.34,-0.06,0.08,0.02,81.10,30.70,73.19,47.33,60.81,42.66,57.15,78.27,57.01,<1B USD
COF PRJ,COF,,10,11/13/2024,,,0.30,4.80%,21.90,15.54,18.14,2.60,-3.76,18.53,19.11,-2.08,-5.08,16.97,20.85,15.05,20.85,81.00,18.11,197.42,128.22,210.67,182.64,209.82,57.30,210.67,75.64,10.00,101.95,45.01,2.45,-0.06,0.54,-0.06,0.08,-0.06,0.94,3.39,90.00,84.34,53.18,84.34,3.08,-0.89,112.00,169.10,83.89,6.68,85.26,93.91,75.36,50.91,48.08,53.43,-0.06,-0.06,0.54,2.45,2.45,38.26,0.54,48.57,84.34,-0.06,0.08,0.02,81.10,30.70,73.19,47.33,60.81,42.66,57.15,78.27,57.01,<1B USD
COF PRK,COF,,10,11/13/2024,,,0.29,4.63%,22.17,14.99,17.66,2.67,-4.51,17.93,18.84,-1.48,-6.29,16.46,21.07,14.64,21.07,81.00,17.63,197.42,128.22,210.67,182.64,209.82,57.30,210.67,75.64,10.00,101.95,45.01,2.45,-0.06,0.54,-0.06,0.08,-0.06,0.94,3.39,90.00,84.34,53.18,84.34,3.08,-0.89,112.00,169.10,83.89,6.68,85.26,93.91,75.36,50.91,48.08,53.43,-0.06,-0.06,0.54,2.45,2.45,38.26,0.54,48.57,84.34,-0.06,0.08,0.02,81.10,30.70,73.19,47.33,60.81,42.66,57.15,78.27,57.01,<1B USD
COF PRL,COF,,10,11/13/2024,,,0.27,4.38%,20.06,13.84,16.70,2.86,-3.36,16.95,17.81,-1.46,-6.24,15.42,20.16,13.57,20.16,81.00,16.67,197.42,128.22,210.67,182.64,209.82,57.30,210.67,75.64,10.00,101.95,45.01,2.45,-0.06,0.54,-0.06,0.08,-0.06,0.94,3.39,90.00,84.34,53.18,84.34,3.08,-0.89,112.00,169.10,83.89,6.68,85.26,93.91,75.36,50.91,48.08,53.43,-0.06,-0.06,0.54,2.45,2.45,38.26,0.54,48.57,84.34,-0.06,0.08,0.02,81.10,30.70,73.19,47.33,60.81,42.66,57.15,78.27,57.01,<1B USD
COF PRN,COF,,10,11/13/2024,,,0.27,4.25%,19.94,13.68,16.54,2.86,-3.40,16.60,17.33,-0.37,-4.55,15.15,19.81,13.26,19.81,81.00,16.51,197.42,128.22,210.67,182.64,209.82,57.30,210.67,75.64,10.00,101.95,45.01,2.45,-0.06,0.54,-0.06,0.08,-0.06,0.94,3.39,90.00,84.34,53.18,84.34,3.08,-0.89,112.00,169.10,83.89,6.68,85.26,93.91,75.36,50.91,48.08,53.43,-0.06,-0.06,0.54,2.45,2.45,38.26,0.54,48.57,84.34,-0.06,0.08,0.02,81.10,30.70,73.19,47.33,60.81,42.66,57.15,78.27,57.01,<1B USD
CUBB,CUBI,BB,NR,12/13/2024,,,0.34,5.38%,23.56,18.75,20.36,1.61,-3.20,19.81,19.92,2.75,2.20,18.30,21.85,16.50,22.00,21.00,20.10,53.99,40.75,68.49,55.28,56.16,6.87,76.13,1.71,8.00,19.79,10.18,6.86,-0.29,0.32,-0.21,-0.02,-0.04,1.73,4.30,90.00,63.83,35.99,70.95,0.37,-0.37,168.01,209.70,100.00,88.12,74.88,35.76,56.67,54.58,71.62,66.02,-0.21,-0.29,0.32,6.86,6.86,90.00,0.32,32.16,67.39,-0.04,-0.02,-0.06,41.77,10.90,47.71,31.17,40.39,30.22,40.78,61.80,60.23,<1B USD
DCOMP,DCOM,,8,11/5/2024,2/15/2025,,0.34,5.50%,22.38,14.51,18.88,4.37,-3.50,19.31,18.99,-2.21,-0.56,17.51,21.44,13.30,21.44,73.00,18.82,26.77,17.49,37.60,35.00,31.45,15.57,38.35,1.17,8.00,70.64,43.84,0.72,-0.30,0.53,-0.29,-0.24,-0.15,0.33,1.37,67.55,62.82,52.45,64.08,-6.42,-3.19,,,65.14,86.64,84.91,22.55,23.15,34.79,,,-0.29,-0.30,0.53,0.72,0.72,18.02,0.53,47.88,63.45,-0.15,-0.24,-0.39,40.42,10.90,24.59,0.00,1.00,0.00,1.00,20.53,42.89,<1B USD
DLR PRJ,DLR,,10.5,12/13/2024,,,0.33,5.25%,25.38,19.55,21.37,1.82,-4.01,21.31,22.23,0.30,-3.86,20.02,24.63,19.06,24.63,21.00,21.12,170.80,129.95,198.00,187.37,169.61,85.76,198.00,57.52,10.50,126.08,121.20,0.99,-0.14,0.31,-0.14,-0.09,0.01,0.35,0.41,89.33,77.64,35.15,77.64,-1.32,0.80,70.84,37.36,69.99,95.52,74.22,42.92,45.01,62.79,30.78,12.58,-0.14,-0.14,0.31,0.99,0.99,21.21,0.31,31.35,77.64,0.01,-0.09,-0.08,78.20,35.65,70.24,50.60,64.94,58.14,77.53,51.51,67.41,<1B USD
DLR PRK,DLR,,10.5,12/13/2024,,,0.37,5.88%,26.40,22.00,23.22,1.22,-3.18,23.54,24.17,-1.35,-3.92,22.10,25.61,21.40,25.61,21.00,22.94,170.80,129.95,198.00,187.37,169.61,85.76,198.00,57.52,10.50,126.08,121.20,0.99,-0.14,0.31,-0.14,-0.09,0.01,0.35,0.41,89.33,77.64,35.15,77.64,-1.32,0.80,70.84,37.36,69.99,95.52,74.22,42.92,45.01,62.79,30.78,12.58,-0.14,-0.14,0.31,0.99,0.99,21.21,0.31,31.35,77.64,0.01,-0.09,-0.08,78.20,35.65,70.24,50.60,64.94,58.14,77.53,51.51,67.41,<1B USD
DLR PRL,DLR,,10.5,12/13/2024,,,0.33,5.20%,25.37,19.32,20.56,1.24,-4.81,20.78,21.89,-1.05,-6.07,19.61,24.45,19.01,24.45,21.00,20.31,170.80,129.95,198.00,187.37,169.61,85.76,198.00,57.52,10.50,126.08,121.20,0.99,-0.14,0.31,-0.14,-0.09,0.01,0.35,0.41,89.33,77.64,35.15,77.64,-1.32,0.80,70.84,37.36,69.99,95.52,74.22,42.92,45.01,62.79,30.78,12.58,-0.14,-0.14,0.31,0.99,0.99,21.21,0.31,31.35,77.64,0.01,-0.09,-0.08,78.20,35.65,70.24,50.60,64.94,58.14,77.53,51.51,67.41,<1B USD
DTB,DTE,BB,11.5,12/27/2024,,,0.27,4.38%,22.29,17.30,17.39,0.09,-4.90,18.14,19.36,-4.11,-10.16,16.98,21.90,16.98,22.86,35.00,17.23,138.57,108.40,140.39,123.98,130.38,85.78,140.39,28.76,11.50,113.55,70.62,0.62,-0.01,0.28,-0.01,0.12,0.06,0.22,0.96,59.23,88.83,32.27,88.83,4.03,2.23,61.34,61.83,62.80,6.41,71.81,84.88,81.94,72.81,26.78,20.17,-0.01,-0.01,0.28,0.62,0.62,16.80,0.28,28.60,88.83,0.06,0.12,0.18,67.97,45.55,74.39,48.96,62.86,48.99,65.48,84.08,76.19,<1B USD
DTG,DTE,BB,11.5,11/15/2024,,,0.27,4.38%,20.89,17.32,17.33,0.01,-3.56,18.13,19.43,-4.39,-10.80,16.88,22.05,16.88,22.25,83.00,17.31,138.57,108.40,140.39,123.98,130.38,85.78,140.39,28.76,11.50,113.55,70.62,0.62,-0.01,0.28,-0.01,0.12,0.06,0.22,0.96,59.23,88.83,32.27,88.83,4.03,2.23,61.34,61.83,62.80,6.41,71.81,84.88,81.94,72.81,26.78,20.17,-0.01,-0.01,0.28,0.62,0.62,16.80,0.28,28.60,88.83,0.06,0.12,0.18,67.97,45.55,74.39,48.96,62.86,48.99,65.48,84.08,76.19,<1B USD
DTW,DTE,BB,11.5,11/15/2024,12/1/2022,,0.33,5.25%,25.42,20.88,21.36,0.48,-4.06,22.01,23.02,-2.97,-7.22,20.55,25.11,20.42,25.17,83.00,21.33,138.57,108.40,140.39,123.98,130.38,85.78,140.39,28.76,11.50,113.55,70.62,0.62,-0.01,0.28,-0.01,0.12,0.06,0.22,0.96,59.23,88.83,32.27,88.83,4.03,2.23,61.34,61.83,62.80,6.41,71.81,84.88,81.94,72.81,26.78,20.17,-0.01,-0.01,0.28,0.62,0.62,16.80,0.28,28.60,88.83,0.06,0.12,0.18,67.97,45.55,74.39,48.96,62.86,48.99,65.48,84.08,76.19,<1B USD
DUK PRA,DUK,,11,11/15/2024,,,0.36,5.75%,26.49,22.91,24.78,1.87,-1.71,24.90,25.00,-0.46,-0.86,24.06,25.66,22.71,25.73,83.00,24.75,117.03,99.21,125.27,114.86,111.79,77.58,125.27,90.93,11.00,96.23,68.40,0.51,-0.07,0.18,-0.07,0.02,0.05,0.22,0.71,50.68,84.08,24.37,84.08,1.46,1.82,61.04,50.72,59.97,6.70,63.41,94.40,64.24,69.95,26.66,16.72,-0.07,-0.07,0.18,0.51,0.51,15.55,0.18,21.05,84.08,0.05,0.02,0.07,83.55,40.60,76.02,46.49,59.74,48.50,64.84,68.47,73.68,<1B USD
DUKB,DUK,BB,12,12/13/2024,,,0.35,5.63%,26.08,21.93,24.92,2.99,-1.16,24.51,24.69,1.66,0.93,23.30,25.47,21.80,25.59,21.00,24.65,117.03,99.21,125.27,114.86,111.79,77.58,125.27,90.93,11.00,96.23,68.40,0.51,-0.07,0.18,-0.07,0.02,0.05,0.22,0.71,50.68,84.08,24.37,84.08,1.46,1.82,61.04,50.72,59.97,6.70,63.41,94.40,64.24,69.95,26.66,16.72,-0.07,-0.07,0.18,0.51,0.51,15.55,0.18,21.05,84.08,0.05,0.02,0.07,83.55,40.60,77.54,46.49,59.74,48.50,64.84,68.47,73.68,<1B USD
ECF PRA,ECF,,16,12/16/2024,,,0.33,5.25%,24.84,21.83,21.57,-0.26,-3.27,22.05,22.52,-2.17,-4.22,20.21,24.43,20.21,24.43,24.00,21.33,9.74,8.01,10.14,9.80,10.02,7.02,17.34,0.13,16.00,11.98,7.84,0.39,-0.44,0.22,-0.04,-0.01,-0.03,-0.19,0.24,41.00,50.55,27.28,86.45,0.81,-0.09,32.52,29.98,56.00,68.61,66.89,89.79,59.76,56.51,14.67,10.29,-0.04,-0.44,0.22,0.39,0.39,14.13,0.22,23.83,68.50,-0.03,-0.01,-0.04,35.65,90.10,60.69,28.92,37.54,29.11,39.32,64.52,61.91,<1B USD
