PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,COM_LAST_PRICE,COM_52W_LOW,COM_52W_HIGH,COM_6M_PRICE,COM_3M_PRICE,COM_5Y_LOW,COM_5Y_HIGH,COM_MKTCAP,CRDT_SCORE,COM_FEB2020_PRICE,COM_MAR2020_PRICE,COM_5Y_LOW_CHG,COM_5Y_HIGH_CHG,COM_52W_LOW_CHG,COM_52W_HIGH_CHG,COM_6M_CHG,COM_3M_CHG,COM_FEB2020_CHG,COM_MAR2020_CHG,5Y_LOW_SKOR,5Y_HIGH_SKOR,52W_LOW_SKOR,52W_HIGH_SKOR,COM_6M_SKOR,COM_3M_SKOR,FEB2020_SKOR,MAR2020_SKOR,Normalized_5Y_LOW,Normalized_5Y_HIGH,Normalized_52W_LOW,Normalized_52W_HIGH,Normalized_COM_6M,Normalized_COM_3M,Normalized_FEB2020,Normalized_MAR2020,52W_HIGH_CHG,5Y_HIGH_CHG,52W_LOW_CHG,5Y_LOW_CHG,5Y_CHG,5Y CHG SKOR,52W_CHG,52W CHG SKOR,TOTAL_HIGH_SCORE,3M_PERF,6M_PERF,RECENT_TOTAL,MKTCAP_NORM,CRDT_NORM,SOLIDITY_SCORE,H2020_SKOR,H2020_NORM,L2020_SKOR,L2020_NORM,COM_6M_NORM,COM_3M_NORM,MKTCAP_RANGE
AGM PRE,AGM,,NR,12/27/2024,,,0.36,5.75%,24.90,21.55,21.72,0.17,-3.18,22.39,23.15,-2.99,-6.19,21.42,24.74,20.31,24.93,35.00,21.50,192.22,159.63,217.60,203.84,198.42,57.05,217.60,2.05,8.00,73.29,43.02,2.37,-0.12,0.20,-0.12,-0.06,-0.03,1.62,3.47,90.00,79.50,26.33,79.50,-0.51,-0.18,160.55,172.73,83.40,97.93,65.81,46.08,50.64,55.91,68.48,54.56,-0.12,-0.12,0.20,2.37,2.37,37.37,0.20,22.93,79.50,-0.03,-0.06,-0.09,42.62,10.90,52.19,42.79,55.07,42.09,56.40,56.48,61.39,<1B USD
AGM PRF,AGM,,NR,12/27/2024,,,0.33,5.25%,22.50,19.90,20.21,0.31,-2.29,20.67,21.33,-2.22,-5.26,19.81,23.39,17.82,23.99,35.00,20.01,192.22,159.63,217.60,203.84,198.42,57.05,217.60,2.05,8.00,73.29,43.02,2.37,-0.12,0.20,-0.12,-0.06,-0.03,1.62,3.47,90.00,79.50,26.33,79.50,-0.51,-0.18,160.55,172.73,83.40,97.93,65.81,46.08,50.64,55.91,68.48,54.56,-0.12,-0.12,0.20,2.37,2.37,37.37,0.20,22.93,79.50,-0.03,-0.06,-0.09,42.62,10.90,52.19,42.79,55.07,42.09,56.40,56.48,61.39,<1B USD
AGM PRG,AGM,,NR,12/27/2024,,,0.30,4.88%,21.80,18.20,18.91,0.71,-2.89,19.24,19.92,-1.72,-5.08,18.37,22.37,17.16,22.37,35.00,18.73,192.22,159.63,217.60,203.84,198.42,57.05,217.60,2.05,8.00,73.29,43.02,2.37,-0.12,0.20,-0.12,-0.06,-0.03,1.62,3.47,90.00,79.50,26.33,79.50,-0.51,-0.18,160.55,172.73,83.40,97.93,65.81,46.08,50.64,55.91,68.48,54.56,-0.12,-0.12,0.20,2.37,2.37,37.37,0.20,22.93,79.50,-0.03,-0.06,-0.09,42.62,10.90,52.19,42.79,55.07,42.09,56.40,56.48,61.39,<1B USD
AHH PRA,AHH,,NR,1/2/2025,,,0.42,6.75%,26.43,20.50,21.90,1.40,-4.53,21.92,22.49,-0.08,-2.63,19.88,25.76,19.52,25.76,41.00,21.67,7.32,6.10,12.46,10.89,9.17,6.10,15.80,0.74,8.00,18.52,8.20,0.20,-0.54,0.20,-0.41,-0.33,-0.20,-0.60,-0.11,26.00,41.70,26.00,52.87,-9.43,-4.55,3.70,14.50,46.76,55.60,65.43,1.00,2.39,25.28,2.56,5.50,-0.41,-0.54,0.20,0.20,0.20,11.93,0.20,22.61,47.28,-0.20,-0.33,-0.53,38.70,10.90,37.13,30.82,39.94,29.29,39.55,2.22,34.56,<1B USD
AIZN,AIZ,BB,10,12/27/2024,,,0.33,5.25%,24.00,17.74,20.58,2.84,-3.42,19.87,21.03,3.58,-2.12,18.01,23.14,17.70,23.14,35.00,20.38,203.44,160.12,230.55,225.22,200.14,96.71,230.55,10.31,10.00,137.11,91.05,1.10,-0.12,0.27,-0.12,-0.10,0.02,0.48,1.23,90.00,79.42,31.64,79.42,-1.54,1.04,79.97,73.88,71.63,97.82,71.25,45.93,43.53,64.49,34.61,23.91,-0.12,-0.12,0.27,1.10,1.10,22.53,0.27,28.00,79.42,0.02,-0.10,-0.08,60.13,30.70,64.21,51.97,66.66,53.10,70.89,50.21,68.90,<1B USD
ALL PRH,ALL,,12,12/27/2024,,,0.32,5.10%,24.78,18.74,20.84,2.10,-3.94,21.50,22.34,-3.08,-6.70,19.37,24.97,18.38,24.97,35.00,20.64,209.95,156.66,212.91,203.48,191.60,84.97,212.91,55.60,12.00,123.95,73.87,1.47,-0.01,0.34,-0.01,0.03,0.10,0.69,1.84,90.00,88.75,37.21,88.75,1.80,3.08,94.83,100.78,76.03,6.42,75.80,85.06,66.55,78.73,40.86,32.25,-0.01,-0.01,0.34,1.47,1.47,26.83,0.34,33.32,88.75,0.10,0.03,0.13,77.90,50.50,77.76,50.33,64.60,49.69,66.41,70.51,81.37,<1B USD
ALL PRI,ALL,,12,12/27/2024,,,0.30,4.75%,24.92,17.85,19.32,1.47,-5.60,19.98,21.06,-3.29,-8.28,18.56,24.49,17.50,24.49,35.00,19.14,209.95,156.66,212.91,203.48,191.60,84.97,212.91,55.60,12.00,123.95,73.87,1.47,-0.01,0.34,-0.01,0.03,0.10,0.69,1.84,90.00,88.75,37.21,88.75,1.80,3.08,94.83,100.78,76.03,6.42,75.80,85.06,66.55,78.73,40.86,32.25,-0.01,-0.01,0.34,1.47,1.47,26.83,0.34,33.32,88.75,0.10,0.03,0.13,77.90,50.50,77.76,50.33,64.60,49.69,66.41,70.51,81.37,<1B USD
AMH PRG,AMH,,9,12/13/2024,,,0.37,5.88%,25.47,21.43,23.52,2.09,-1.95,23.10,23.36,1.81,0.67,21.76,25.34,21.10,25.34,21.00,23.24,38.78,31.68,41.41,37.63,35.31,23.39,44.07,14.35,9.00,28.30,19.53,0.66,-0.12,0.22,-0.06,0.03,0.10,0.37,0.99,62.64,79.20,27.93,84.28,1.77,3.14,71.95,62.87,63.80,97.54,67.59,94.01,66.33,79.18,31.24,20.49,-0.06,-0.12,0.22,0.66,0.66,17.30,0.22,24.45,81.74,0.10,0.03,0.13,61.85,20.80,62.61,33.42,43.23,34.21,46.03,70.31,81.77,<1B USD
AMH PRH,AMH,,9,12/13/2024,,,0.39,6.25%,25.85,22.38,24.93,2.55,-0.92,24.17,24.27,3.14,2.72,22.70,26.25,21.74,26.25,21.00,24.63,38.78,31.68,41.41,37.63,35.31,23.39,44.07,14.35,9.00,28.30,19.53,0.66,-0.12,0.22,-0.06,0.03,0.10,0.37,0.99,62.64,79.20,27.93,84.28,1.77,3.14,71.95,62.87,63.80,97.54,67.59,94.01,66.33,79.18,31.24,20.49,-0.06,-0.12,0.22,0.66,0.66,17.30,0.22,24.45,81.74,0.10,0.03,0.13,61.85,20.80,62.61,33.42,43.23,34.21,46.03,70.31,81.77,<1B USD
ASB PRE,ASB,,10,12/2/2024,,,0.37,5.88%,25.10,16.77,20.57,3.80,-4.53,21.00,21.40,-2.05,-3.87,19.25,23.75,15.75,23.75,10.00,20.24,24.14,18.32,28.18,26.71,25.41,11.78,28.18,4.00,10.00,20.28,11.70,1.05,-0.14,0.32,-0.14,-0.10,-0.05,0.19,1.06,90.00,77.10,35.41,77.10,-1.53,-0.66,59.21,66.31,70.85,94.82,74.43,42.00,43.61,52.55,25.89,21.56,-0.14,-0.14,0.32,1.05,1.05,21.89,0.32,31.61,77.10,-0.05,-0.10,-0.15,47.50,30.70,57.05,31.31,40.56,30.91,41.69,50.28,58.44,<1B USD
