"PREF IBKR","PREF YF","CMON","FF-FR_","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CMON OUTS SHARES","CMON SECTOR","LAST PRICE","TIME TO DIV","DIV ADJ.PRICE","Unnamed: 18","Unnamed: 19","Unnamed: 20","Unnamed: 21","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","Div adj.price","COM_LAST_PRICE","COM_52W_LOW","COM_52W_HIGH","COM_6M_PRICE","COM_3M_PRICE","COM_5Y_LOW","COM_5Y_HIGH","COM_MKTCAP","CRDT_SCORE","COM_FEB2020_PRICE","COM_MAR2020_PRICE","COM_5Y_LOW_CHG","COM_5Y_HIGH_CHG","COM_52W_LOW_CHG","COM_52W_HIGH_CHG","COM_6M_CHG","COM_3M_CHG","COM_FEB2020_CHG","COM_MAR2020_CHG","5Y_LOW_SKOR","5Y_HIGH_SKOR","52W_LOW_SKOR","52W_HIGH_SKOR","COM_6M_SKOR","COM_3M_SKOR","FEB2020_SKOR","MAR2020_SKOR","Normalized_5Y_LOW","Normalized_5Y_HIGH","Normalized_52W_LOW","Normalized_52W_HIGH","Normalized_COM_6M","Normalized_COM_3M","Normalized_FEB2020","Normalized_MAR2020"
"AGNCP","AGNCP","AGNC","NFF","","8.000000","07/01/2025","4/15/2025","NONE","0.380000","6.13%","","","1020.48","Reit","","41.000000","","","","","","25.000000","","","24.880000","24.520000","0.500000","1.970000","23.370000","25.480000","19.610000","25.480000","24.790000","9.170000","7.850000","10.850000","9.700000","10.470000","6.810000","18.840000","9.357802","8.000000","19.030000","9.830000","0.346549","-0.513270","0.168153","-0.154839","-0.054639","-0.124164","-0.518129","-0.067141","94.778787","2134.036598","78.276437","152.347771","44.218213","33.667622","242.784879","177.682683","50.185467","61.163189","63.187941","93.148215","64.806315","49.340222","9.528575","9.442667"
"AHL PRF","AHL-F","-","","","10.000000","06/12/2025","11/30/2029","NONE","0.610000","7.00%","","","-","-","","22.000000","","","","","","25.210000","","","","","","","21.280000","26.210000","21.280000","26.210000","24.750000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ALL PRB","ALL-B","ALL","FF","","12.500000","06/27/2025","1/15/2023","1/15/2053","0.480000","5.10%","","","264.67","Insurance","","37.000000","","","","","","25.720000","","","26.000000","26.000000","-1.090000","-1.080000","25.010000","27.000000","25.010000","27.000000","25.440000","209.950000","156.660000","212.910000","203.480000","191.600000","84.970000","212.910000","55.567467","12.500000","123.950000","73.870000","1.470872","-0.013903","0.340163","-0.013903","0.031797","0.095772","0.693828","1.842155","129.717659","25.347596","94.342597","25.395994","50.546949","48.400024","745.609984","592.516557","68.317000","1.714605","75.951953","16.360878","73.938601","70.493116","27.191872","29.153673"
"ALL PRJ","ALL-J","ALL","","","12.000000","06/27/2025","7/15/2028","NONE","0.460000","7.38%","","25.290000","264.67","Insurance","","37.000000","","","","","","26.450000","1.160000","","26.660000","27.010000","-0.790000","-2.070000","25.560000","28.220000","25.150000","28.220000","26.180000","209.950000","156.660000","212.910000","203.480000","191.600000","84.970000","212.910000","55.567467","12.500000","123.950000","73.870000","1.470872","-0.013903","0.340163","-0.013903","0.031797","0.095772","0.693828","1.842155","129.717659","25.347596","94.342597","25.395994","50.546949","48.400024","745.609984","592.516557","68.317000","1.714605","75.951953","16.360878","73.938601","70.493116","27.191872","29.153673"
"ALTG PRA","ALTG-A","ALTG","","","8.000000","07/11/2025","12/22/2025","NONE","0.630000","10.00%","26.750000","25.750000","33.19","Rental&leasingservices","","51.000000","","","","","","24.400000","-1.350000","-2.350000","25.070000","25.500000","-2.670000","-4.330000","23.050000","26.250000","23.050000","27.000000","24.130000","5.330000","3.540000","11.390000","7.510000","7.210000","3.540000","20.600000","0.176903","8.000000","","3.760000","0.505650","-0.741262","0.505650","-0.532046","-0.290280","-0.260749","","0.417553","103.736962","1119.780785","103.736962","81.908264","33.706119","30.648167","","282.992535","54.834313","32.569085","83.415453","50.542571","49.637498","45.004866","","14.446509"
"ANG PRB","ANG-B","-","FF","","9.000000","05/16/2025","9/1/2025","NONE","0.410000","6.63%","","","-","-","","85.000000","","","","","","24.900000","","","25.110000","25.000000","-0.820000","-0.390000","24.550000","25.900000","22.000000","25.900000","24.880000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANG PRD","ANG-D","-","","","9.000000","06/30/2025","1/15/2030","","0.490000","7.38%","","","-","-","","40.000000","","","","","","25.610000","","","","","","","23.540000","26.540000","23.540000","26.540000","25.340000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AOMN","AOMN","AOMR","","BB","8.000000","07/14/2025","7/30/2026","7/30/2029","0.590000","9.50%","","","23.50","Reit","","54.000000","","","","","","24.960000","","","","","","","23.600000","26.100000","23.600000","26.100000","24.720000","10.110000","7.360000","13.320000","9.400000","10.680000","4.430000","19.000000","0.237585","8.000000","","","1.282167","-0.467895","0.373641","-0.240991","0.075532","-0.053371","","","126.340803","2335.893058","96.549116","152.289575","53.749188","38.409705","","","66.564580","66.853967","77.704956","93.113014","78.559390","56.148941","",""
"APOS","APOS","APO","NFF","","13.000000","05/30/2025","12/15/2028","9/15/2053","0.480000","7.63%","","","571.72","Assetmanagement","","9.000000","","","","","","26.470000","","","26.510000","26.750000","-0.130000","-1.060000","24.890000","27.740000","24.890000","27.770000","26.040000","142.650000","95.110000","189.490000","165.020000","160.270000","25.560000","189.490000","81.555858","13.000000","","","4.580986","-0.247190","0.499842","-0.247190","-0.135559","-0.109939","","","157.860384","3317.729051","103.460623","150.790605","38.293334","34.620466","","","82.921672","94.534084","83.195911","92.206356","56.256791","50.708324","",""
"AQNB","AQNB","AQN","FF","","9.000000","06/13/2025","7/1/2024","7/1/2079","0.550000","6.20%","","","789.65","Utilities","","23.000000","","","","","","25.530000","","","25.410000","25.440000","0.490000","0.340000","24.590000","26.500000","22.710000","26.500000","25.120000","5.610000","4.190000","6.750000","4.770000","4.950000","4.190000","17.860000","4.429937","9.000000","15.780000","11.250000","0.338902","-0.685890","0.338902","-0.168889","0.176101","0.133333","-0.644487","-0.501333","94.255538","1366.110161","94.255538","149.357936","61.112711","50.916031","170.926726","104.181965","49.913926","39.513652","75.882787","91.339799","89.184860","74.105616","7.004333","5.950250"
"ARGD","ARGD","-","","BB","9.500000","05/30/2025","9/15/2017","9/15/2042","0.410000","6.50%","24.350000","21.310000","-","-","","9.000000","","","","","","20.200000","-1.110000","-4.150000","21.080000","21.800000","-4.180000","-7.320000","19.190000","22.850000","19.190000","24.240000","19.830000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARGO PRA","ARGO-A","-","NFF","","8.500000","05/27/2025","9/15/2025","NONE","0.440000","7.00%","","","-","-","","6.000000","","","","","","25.210000","","","25.060000","24.890000","0.580000","1.270000","24.270000","25.360000","20.760000","25.490000","24.800000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARR PRC","ARR-C","ARR","","","8.000000","05/15/2025","1/28/2025","","0.150000","7.00%","22.600000","18.060000","81.90","Reit","","84.000000","","","","","","20.600000","2.540000","-2.000000","21.260000","21.640000","-3.120000","-4.790000","19.270000","23.580000","17.850000","23.580000","20.590000","16.780000","13.180000","21.930000","18.700000","18.960000","13.180000","62.800000","1.374282","8.000000","","","0.273141","-0.732803","0.273141","-0.234838","-0.102674","-0.114979","","","89.236728","1157.414421","89.236728","153.777430","40.701174","34.282902","","","47.309414","33.630060","71.895515","94.012950","59.731273","50.223646","",""
"ASBA","ASBA","ASB","NFF","","11.000000","05/15/2025","3/1/2028","3/1/2033","0.410000","6.63%","","","165.95","Regionalbank","","84.000000","","","","","","24.210000","","","24.400000","24.030000","-0.760000","0.730000","22.990000","25.300000","18.820000","25.300000","24.180000","24.140000","18.320000","28.180000","26.710000","25.410000","11.780000","28.180000","4.006033","11.000000","20.280000","11.700000","1.049236","-0.143364","0.317686","-0.143364","-0.096219","-0.049980","0.190335","1.063248","121.424728","3326.058602","92.743687","154.789536","41.173813","38.636814","516.545060","423.282960","64.013382","94.768913","74.681674","94.625127","60.413285","56.475026","19.145253","21.112468"
"ATCO PRD","ATCO-D","-","","","8.000000","07/25/2025","1/30/2018","NONE","0.500000","7.95%","25.270000","23.860000","-","-","","65.000000","","","","","","25.090000","1.230000","-0.180000","25.060000","25.030000","0.120000","0.230000","24.140000","25.980000","22.000000","25.980000","24.950000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ATCO PRH","ATCO-H","-","","","8.000000","07/25/2025","8/11/2021","NONE","0.490000","7.88%","24.950000","22.380000","-","-","","65.000000","","","","","","24.970000","2.590000","0.020000","24.870000","24.860000","0.420000","0.460000","23.780000","25.490000","21.280000","25.490000","24.830000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ATCOL","ATCOL","-","","","8.000000","07/15/2025","5/13/2023","10/30/2027","0.450000","7.13%","","","-","-","","55.000000","","","","","","25.060000","","","24.940000","24.940000","0.500000","0.460000","22.450000","25.450000","22.450000","25.900000","24.880000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ATH PRA","ATH-A","-","NFF","","11.500000","06/13/2025","6/30/2029","NONE","0.400000","6.35%","","","-","-","","23.000000","","","","","","24.130000","","","24.350000","24.540000","-0.910000","-1.660000","22.000000","25.710000","19.810000","25.710000","23.830000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ATH PRC","ATH-C","-","NFF","","11.500000","06/13/2025","9/30/2025","NONE","0.400000","6.38%","","","-","-","","23.000000","","","","","","25.150000","","","25.100000","25.090000","0.220000","0.240000","24.240000","25.460000","22.050000","25.640000","24.850000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ATH PRE","ATH-E","-","NFF","","11.500000","06/13/2025","12/30/2027","NONE","0.480000","7.75%","","","-","-","","23.000000","","","","","","25.700000","","","25.790000","26.250000","-0.360000","-2.100000","24.170000","27.500000","23.610000","27.500000","25.340000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ATHS","ATHS","-","NFF","","12.000000","06/12/2025","3/30/2029","3/30/2064","0.450000","7.25%","","","-","-","","22.000000","","","","","","24.890000","","","25.210000","25.340000","-1.270000","-1.780000","24.010000","26.250000","24.010000","26.250000","24.550000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ATLCL","ATLCL","ATLC","","","8.000000","07/11/2025","10/2/2026","12/31/2026","0.380000","6.13%","24.520000","21.610000","15.11","Creditservices","","51.000000","","","","","","24.150000","2.540000","-0.370000","24.050000","23.500000","0.400000","2.780000","22.900000","24.760000","20.620000","24.760000","23.990000","50.420000","24.020000","64.700000","54.300000","61.450000","7.441500","91.981500","0.761846","8.000000","16.400000","5.490000","5.775516","-0.451846","1.099084","-0.220711","-0.071455","-0.179496","2.074390","8.183971","163.627764","2407.286747","122.561129","157.193582","42.986987","29.961273","1373.699040","1970.406228","85.914654","68.866712","98.370607","96.079224","63.029672","44.018619","49.255455","94.624680"
"ATLCP","ATLCP","ATLC","","","8.000000","05/30/2025","6/11/2026","NONE","0.480000","7.63%","24.150000","20.610000","15.11","Creditservices","","9.000000","","","","","","23.210000","2.600000","-0.940000","23.240000","23.040000","-0.140000","0.720000","21.660000","24.500000","17.990000","24.800000","22.780000","50.420000","24.020000","64.700000","54.300000","61.450000","7.441500","91.981500","0.761846","8.000000","16.400000","5.490000","5.775516","-0.451846","1.099084","-0.220711","-0.071455","-0.179496","2.074390","8.183971","163.627764","2407.286747","122.561129","157.193582","42.986987","29.961273","1373.699040","1970.406228","85.914654","68.866712","98.370607","96.079224","63.029672","44.018619","49.255455","94.624680"
"ATLCZ","ATLCZ","ATLC","","BB","8.000000","07/01/2025","1/31/2028","1/31/2029","0.580000","9.25%","","","15.11","Creditservices","","41.000000","","","","","","25.210000","","","24.980000","24.970000","0.900000","0.980000","23.400000","25.500000","23.400000","25.500000","24.890000","50.420000","24.020000","64.700000","54.300000","61.450000","7.441500","91.981500","0.761846","8.000000","16.400000","5.490000","5.775516","-0.451846","1.099084","-0.220711","-0.071455","-0.179496","2.074390","8.183971","163.627764","2407.286747","122.561129","157.193582","42.986987","29.961273","1373.699040","1970.406228","85.914654","68.866712","98.370607","96.079224","63.029672","44.018619","49.255455","94.624680"
"AUB PRA","AUB-A","AUB","","","8.000000","05/16/2025","9/1/2025","NONE","0.430000","6.88%","26.140000","19.250000","142.37","Regionalbank","","85.000000","","","","","","24.450000","5.200000","-1.690000","24.610000","24.200000","-0.640000","1.010000","22.860000","25.930000","19.210000","25.930000","24.430000","30.550000","22.850000","44.540000","41.890000","37.590000","19.350000","44.540000","4.349404","8.000000","","","0.578811","-0.314100","0.336980","-0.314100","-0.270709","-0.187284","","","106.979422","3020.071384","94.122295","134.610814","35.497292","29.439574","","","56.516988","86.142460","75.776930","82.419939","52.222138","43.269560","",""
"BAC PRE","BAC-E","BAC","FLR","","11.000000","07/25/2025","11/15/2011","NONE","0.310000","4.00%","","","7537.21","Bank","","65.000000","","","","","","22.030000","","","22.850000","23.640000","-3.590000","-6.820000","20.810000","25.500000","19.520000","25.500000","21.940000","44.690000","33.060000","48.080000","46.460000","46.010000","22.390000","50.110000","336.837915","11.000000","34.690000","19.670000","0.995980","-0.108162","0.351785","-0.070507","-0.038097","-0.028689","0.288268","1.271988","120.150709","3463.867579","95.130810","26.946505","45.429391","40.062980","561.099483","468.635996","63.352230","98.654051","76.578161","17.298711","66.554029","58.522725","20.710366","23.267436"
"BANC PRF","BANC-F","BANC","NFF","","8.000000","05/19/2025","9/1/2027","NONE","0.490000","7.75%","","","169.33","Regionalbank","","88.000000","","","","","","24.720000","","","24.850000","24.280000","-0.530000","1.800000","23.390000","25.600000","20.940000","25.600000","24.710000","14.390000","11.520000","18.080000","16.360000","15.820000","9.000000","22.090000","2.436659","8.000000","16.530000","8.520000","0.598889","-0.348574","0.249132","-0.204093","-0.120416","-0.090392","-0.129462","0.688967","107.800325","2866.707612","87.120396","161.212073","39.402137","35.929855","371.052924","341.962787","56.942996","81.818797","70.214162","98.509826","57.856779","52.588354","14.034389","17.248505"
"BANFP","BANFP","BANF","","TP","8.000000","06/27/2025","3/21/2009","3/31/2034","0.450000","7.20%","27.530000","27.000000","33.23","Regionalbank","","37.000000","","","","","","26.240000","-0.760000","-1.290000","26.060000","25.820000","0.680000","1.620000","25.430000","29.450000","24.700000","29.450000","25.970000","129.960000","81.560000","132.290000","122.980000","119.530000","34.740000","132.290000","4.318571","8.000000","60.220000","29.960000","2.740933","-0.017613","0.593428","-0.017613","0.056757","0.087258","1.158087","3.337784","145.102424","25.439549","107.579709","25.500623","52.374525","47.829715","956.825336","917.472572","76.300926","1.717197","86.468383","16.424163","76.575769","69.674262","34.611469","44.594095"
"BC PRA","BC-A","BC","","BB","11.500000","06/29/2025","10/15/2023","10/15/2048","0.400000","6.50%","26.220000","22.500000","65.69","Consumercyclical","","39.000000","","","","","","23.150000","0.650000","-3.070000","24.120000","24.520000","-4.040000","-5.580000","22.580000","25.430000","22.090000","26.390000","22.920000","52.940000","41.000000","87.650000","81.130000","64.690000","41.000000","117.620000","3.477629","11.500000","63.010000","27.420000","0.291220","-0.549906","0.291220","-0.396007","-0.347467","-0.181635","-0.159816","0.930708","90.719820","1971.052606","90.719820","114.804455","28.472126","29.817928","357.243176","394.485847","48.079065","56.568311","73.073781","70.439976","42.084913","43.812803","13.549279","19.744161"
"BC PRC","BC-C","BC","","BB","11.500000","06/29/2025","4/15/2024","4/15/2049","0.390000","6.38%","25.990000","22.330000","65.69","Consumercyclical","","39.000000","","","","","","22.880000","0.550000","-3.110000","23.830000","24.400000","-4.000000","-6.220000","22.000000","25.500000","21.760000","25.990000","22.660000","52.940000","41.000000","87.650000","81.130000","64.690000","41.000000","117.620000","3.477629","11.500000","63.010000","27.420000","0.291220","-0.549906","0.291220","-0.396007","-0.347467","-0.181635","-0.159816","0.930708","90.719820","1971.052606","90.719820","114.804455","28.472126","29.817928","357.243176","394.485847","48.079065","56.568311","73.073781","70.439976","42.084913","43.812803","13.549279","19.744161"
"BK PRK","BK-K","BK","NFF","","12.500000","06/05/2025","3/20/2030","NONE","0.410000","6.15%","","","715.58","Bank","","15.000000","","","","","","25.510000","","","","","","","24.540000","25.830000","24.540000","25.830000","25.170000","90.330000","57.180000","90.630000","78.880000","88.310000","32.650000","90.630000","64.638341","12.500000","46.490000","29.070000","1.766616","-0.003310","0.579748","-0.003310","0.145157","0.022874","0.942998","2.107327","134.234361","25.083201","107.018330","25.094855","58.847070","43.516939","858.970450","650.130619","70.660943","1.707151","86.022387","16.178733","85.915568","63.481946","31.174011","31.891229"
"BML PRG","BML-G","BAC","FLR","","11.000000","05/15/2025","11/28/2009","NONE","0.330000","3.00%","","","7537.21","Bank","","84.000000","","","","","","20.750000","","","22.220000","22.520000","-6.620000","-7.860000","20.250000","23.500000","19.490000","23.680000","20.730000","44.690000","33.060000","48.080000","46.460000","46.010000","22.390000","50.110000","336.837915","11.000000","34.690000","19.670000","0.995980","-0.108162","0.351785","-0.070507","-0.038097","-0.028689","0.288268","1.271988","120.150709","3463.867579","95.130810","26.946505","45.429391","40.062980","561.099483","468.635996","63.352230","98.654051","76.578161","17.298711","66.554029","58.522725","20.710366","23.267436"
"BML PRH","BML-H","BAC","FLR","","11.000000","05/15/2025","11/28/2009","NONE","0.320000","3.00%","","","7537.21","Bank","","84.000000","","","","","","20.800000","","","22.130000","22.370000","-6.010000","-7.000000","20.090000","23.450000","18.950000","23.450000","20.780000","44.690000","33.060000","48.080000","46.460000","46.010000","22.390000","50.110000","336.837915","11.000000","34.690000","19.670000","0.995980","-0.108162","0.351785","-0.070507","-0.038097","-0.028689","0.288268","1.271988","120.150709","3463.867579","95.130810","26.946505","45.429391","40.062980","561.099483","468.635996","63.352230","98.654051","76.578161","17.298711","66.554029","58.522725","20.710366","23.267436"
"BML PRJ","BML-J","BAC","FLR","","11.000000","05/15/2025","11/21/2010","NONE","0.330000","4.00%","","","7537.21","Bank","","84.000000","","","","","","22.050000","","","22.910000","23.200000","-3.750000","-4.950000","20.700000","24.690000","20.000000","24.690000","22.030000","44.690000","33.060000","48.080000","46.460000","46.010000","22.390000","50.110000","336.837915","11.000000","34.690000","19.670000","0.995980","-0.108162","0.351785","-0.070507","-0.038097","-0.028689","0.288268","1.271988","120.150709","3463.867579","95.130810","26.946505","45.429391","40.062980","561.099483","468.635996","63.352230","98.654051","76.578161","17.298711","66.554029","58.522725","20.710366","23.267436"
"BML PRL","BML-L","BAC","FLR","","11.000000","07/01/2025","5/21/2010","NONE","0.320000","4.00%","","","7537.21","Bank","","41.000000","","","","","","21.060000","","","22.650000","23.020000","-7.010000","-8.520000","19.800000","24.770000","19.310000","24.770000","20.890000","44.690000","33.060000","48.080000","46.460000","46.010000","22.390000","50.110000","336.837915","11.000000","34.690000","19.670000","0.995980","-0.108162","0.351785","-0.070507","-0.038097","-0.028689","0.288268","1.271988","120.150709","3463.867579","95.130810","26.946505","45.429391","40.062980","561.099483","468.635996","63.352230","98.654051","76.578161","17.298711","66.554029","58.522725","20.710366","23.267436"
"BOH PRB","BOH-B","BOH","","","9.500000","07/14/2025","8/1/2029","NONE","0.500000","8.00%","","","39.66","Regionalbank","","54.000000","","","","","","25.620000","","","","","","","24.810000","27.130000","24.810000","27.130000","25.420000","69.830000","54.500000","82.700000","77.950000","73.160000","30.830000","99.100000","2.769458","9.500000","90.510000","53.960000","1.265002","-0.295358","0.281284","-0.155623","-0.104169","-0.045517","-0.228483","0.294107","126.009735","3103.445340","89.915686","152.180934","40.591672","38.935810","407.503681","256.171260","66.392772","88.492955","72.434924","93.047302","59.573264","56.904327","15.314835","13.172085"
