"PREF IBKR","PREF YF","CMON","FF-FR_","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CMON OUTS SHARES","CMON SECTOR","LAST PRICE","TIME TO DIV","DIV ADJ.PRICE","Unnamed: 18","Unnamed: 19","Unnamed: 20","Unnamed: 21","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm"
"CHSCL","CHSCL","-","","","8.000000","06/13/2025","1/21/2025","NONE","0.470000","7.50%","27.300000","25.070000","-","-","","23.000000","","","","","","26.030000","0.960000","-1.270000","25.770000","25.870000","1.000000","0.600000","25.310000","26.420000","24.920000","26.750000","25.680000","0.370000","-0.740000","43.180169","44.594595","77.056180","17.586207","-1.070000","0.760000","20.491803","83.657143"
"CHSCM","CHSCM","-","","","8.000000","06/13/2025","9/30/2024","NONE","0.420000","6.75%","26.400000","24.050000","-","-","","23.000000","","","","","","24.900000","0.850000","-1.500000","24.890000","25.170000","0.040000","-1.060000","23.800000","26.190000","23.510000","26.190000","24.590000","0.790000","-1.600000","47.823458","50.478511","69.505618","29.448276","-1.600000","1.080000","26.810730","81.828571"
"CHSCN","CHSCN","-","","","8.000000","06/13/2025","3/31/2024","NONE","0.440000","7.10%","26.300000","24.620000","-","-","","23.000000","","","","","","25.520000","0.900000","-0.780000","25.330000","25.590000","0.760000","-0.270000","24.480000","26.590000","24.410000","26.900000","25.190000","0.710000","-1.400000","44.340992","47.678334","70.943820","26.689655","-1.710000","0.780000","28.122206","83.542857"
"CHSCO","CHSCO","-","","","8.000000","06/13/2025","9/26/2023","NONE","0.490000","7.88%","28.310000","25.640000","-","-","","23.000000","","","","","","26.280000","0.650000","-2.020000","26.410000","26.700000","-0.470000","-1.520000","25.600000","27.440000","25.460000","27.730000","25.930000","0.330000","-1.510000","50.290206","52.108994","77.775281","28.206897","-1.800000","0.470000","29.195231","85.314286"
"CICB","CICB","CION","","","8.000000","06/12/2025","12/30/2026","12/30/2029","0.470000","7.50%","","","52.69","Assetmanagement","","22.000000","","","","","","24.860000","","","","","","","24.320000","163.100000","24.320000","163.100000","24.500000","0.180000","-138.600000","","","80.471910","","-138.600000","0.180000","","86.971429"
"CIM PRB","CIM-B","CIM","FF","","8.000000","06/02/2025","3/30/2024","NONE","0.650000","8.00%","","","80.92","Reit","","12.000000","","","","","","25.060000","","","24.470000","24.760000","2.410000","1.200000","21.600000","25.590000","18.830000","25.590000","24.500000","2.900000","-1.090000","36.360339","42.467878","31.573034","22.413793","-1.090000","5.670000","20.730253","55.600000"
"CIM PRC","CIM-C","CIM","NFF","","8.000000","06/02/2025","9/30/2025","NONE","0.480000","7.75%","","","80.92","Reit","","12.000000","","","","","","22.880000","","","22.860000","22.750000","0.110000","0.560000","20.260000","24.600000","17.110000","24.600000","22.460000","2.200000","-2.140000","47.484885","44.736376","44.157303","36.896552","-2.140000","5.350000","33.248882","57.428571"
"CIM PRD","CIM-D","CIM","FF","","8.000000","06/02/2025","3/30/2024","NONE","0.640000","8.00%","","","80.92","Reit","","12.000000","","","","","","24.850000","","","24.230000","24.490000","2.540000","1.480000","20.770000","25.210000","18.760000","25.250000","24.300000","3.530000","-0.910000","35.731560","41.475410","20.247191","19.931034","-0.950000","5.540000","19.061103","56.342857"
"CIMN","CIMN","CIM","","BB","8.000000","07/30/2025","5/15/2026","5/15/2029","0.560000","9.00%","","","80.92","Reit","","70.000000","","","","","","24.650000","","","","","","","23.620000","25.850000","23.620000","25.850000","24.530000","0.910000","-1.320000","","","67.348315","25.586207","-1.320000","0.910000","23.472429","82.800000"
"CIMO","CIMO","CIM","","","8.000000","07/30/2025","8/15/2026","8/15/2029","0.580000","9.25%","","","80.92","Reit","","70.000000","","","","","","25.090000","","","","","","","24.120000","26.250000","24.120000","26.250000","24.960000","0.840000","-1.290000","","","68.606742","25.172414","-1.290000","0.840000","23.114754","83.200000"
"CMRE PRB","CMRE-B","CMRE","","","8.000000","07/10/2025","8/6/2018","NONE","0.480000","7.63%","25.180000","24.820000","119.96","Marineshipping","","50.000000","","","","","","24.970000","0.150000","-0.210000","25.450000","25.690000","-1.890000","-2.810000","24.020000","26.340000","22.130000","28.160000","24.760000","0.740000","-1.580000","57.158404","56.681436","70.404494","29.172414","-3.400000","2.630000","48.271237","72.971429"
"CMRE PRC","CMRE-C","CMRE","","","8.000000","07/10/2025","1/21/2019","NONE","0.530000","8.50%","25.320000","25.170000","119.96","Marineshipping","","50.000000","","","","","","25.500000","0.330000","0.180000","25.980000","26.090000","-1.840000","-2.270000","25.050000","27.190000","23.610000","27.190000","25.260000","0.210000","-1.930000","56.916566","54.767390","79.932584","34.000000","-1.930000","1.650000","30.745156","78.571429"
"CMRE PRD","CMRE-D","CMRE","","","8.000000","07/10/2025","5/13/2020","NONE","0.550000","8.75%","25.830000","25.070000","119.96","Marineshipping","","50.000000","","","","","","26.200000","1.130000","0.370000","26.320000","26.290000","-0.440000","-0.350000","24.540000","27.290000","24.540000","27.290000","25.960000","1.420000","-1.330000","50.145103","47.961896","58.179775","25.724138","-1.330000","1.420000","23.591654","79.885714"
