PREF IBKR,PREF YF,CMON,FF-FR_,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,TIME TO DIV,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High
GAM PRB,GAM-B,GAM,,,8.00,06/09/2025,9/24/2008,NONE,0.37,5.95%,26.21,24.28,27.06,Cef,,,,,,,,24.99,0.71,-1.22,24.97,25.18,0.07,-0.76,24.55,26.24,23.74,26.24
GECCH,GECCH,GECC,,BB,8.00,06/13/2025,12/30/2026,12/31/2029,0.50,8.13%,,,11.54,Assetmanagement,,,,,,,,25.20,,,,,,,24.38,25.44,24.38,25.44
GECCI,GECCI,GECC,,,8.00,06/13/2025,4/30/2026,4/30/2029,0.53,8.50%,,,11.54,Assetmanagement,,,,,,,,25.14,,,25.17,25.19,-0.12,-0.19,24.75,25.70,24.67,25.70
GECCO,GECCO,GECC,,BB,8.00,06/13/2025,6/30/2023,6/30/2026,0.36,5.88%,24.75,24.05,11.54,Assetmanagement,,,,,,,,25.06,1.01,0.31,25.13,24.83,-0.29,0.91,24.26,26.55,23.00,26.55
GECCZ,GECCZ,GECC,,BB,8.00,06/13/2025,9/30/2025,9/30/2028,0.54,8.75%,,24.64,11.54,Assetmanagement,,,,,,,,,,,,,,,,,,
GLADZ,GLADZ,GLAD,,BB,8.00,05/15/2025,9/1/2025,9/1/2028,0.48,7.75%,,25.02,22.33,Cef,,,,,,,,25.45,0.43,,25.54,25.45,-0.34,0.02,24.97,25.98,24.45,25.98
GMRE PRA,GMRE-A,GMRE,,,8.00,07/11/2025,9/15/2022,NONE,0.47,7.50%,25.54,24.46,66.88,Reit,,,,,,,,24.91,0.45,-0.63,25.06,25.10,-0.60,-0.74,23.38,26.26,23.32,26.26
GNL PRA,GNL-A,GNL,,,8.00,07/02/2025,9/12/2022,NONE,0.45,7.25%,25.75,16.96,229.01,Reit,,,,,,,,22.66,5.70,-3.09,22.10,21.92,2.54,3.37,19.36,23.77,16.42,23.77
GNL PRB,GNL-B,GNL,,,8.00,07/02/2025,11/26/2024,NONE,0.43,6.88%,26.04,16.01,229.01,Reit,,,,,,,,21.42,5.41,-4.62,21.00,21.05,2.00,1.74,18.68,24.21,15.61,24.21
GNL PRD,GNL-D,GNL,,,8.00,07/03/2025,3/26/2024,NONE,0.47,7.50%,,17.92,229.01,Reit,,,,,,,,23.36,5.44,,22.79,22.32,2.51,4.66,20.25,24.47,16.44,24.47
GNL PRE,GNL-E,GNL,,,8.00,07/03/2025,12/15/2025,NONE,0.46,7.38%,,17.64,229.01,Reit,,,,,,,,22.58,4.94,,22.43,22.11,0.69,2.12,20.29,23.79,16.10,23.79
GPMT PRA,GPMT-A,GPMT,NFF,,9.50,06/30/2025,1/15/2027,NONE,0.44,7.00%,,,48.41,Reit,,,,,,,,18.68,,,17.32,16.93,7.86,10.36,15.70,18.72,15.38,18.72
GS PRA,GS-A,GS,FLR,,9.50,07/24/2025,4/10/2010,NONE,0.34,3.75%,,,306.83,Bank,,,,,,,,21.74,,,22.79,23.21,-4.62,-6.33,20.84,24.48,20.00,24.48
GS PRC,GS-C,GS,FLR,,9.50,07/24/2025,5/24/2011,NONE,0.34,4.00%,,,306.83,Bank,,,,,,,,22.06,,,23.36,23.75,-5.55,-7.13,21.34,25.03,20.21,25.24
GS PRD,GS-D,GS,FLR,,8.00,07/24/2025,10/31/2010,NONE,0.33,4.00%,,,306.83,Bank,,,,,,,,21.49,,,22.55,22.91,-4.72,-6.18,20.95,23.83,19.87,23.83
GSL PRB,GSL-B,GSL,,,10.50,06/23/2025,8/20/2019,NONE,0.55,8.75%,,,35.74,Marineshipping,,,,,,,,26.20,,,26.10,26.31,0.40,-0.42,24.75,27.28,24.75,28.85
HBANL,HBANL,HBAN,NFF,,8.00,07/01/2025,4/15/2028,NONE,0.43,6.88%,,,1455.68,Regionalbank,,,,,,,,25.45,,,25.37,25.43,0.31,0.08,24.32,26.61,20.76,26.61
HCXY,HCXY,HTGC,,BB,8.00,07/11/2025,10/30/2023,10/30/2033,0.39,6.25%,25.31,23.56,175.77,Assetmanagement,,,,,,,,25.15,1.59,-0.16,24.99,25.11,0.63,0.15,24.42,25.98,22.70,25.98
HNNAZ,HNNAZ,HNNA,,BB,2.50,06/13/2025,12/31/2023,12/31/2026,0.31,4.88%,24.59,23.49,7.79,Assetmanagement,,,,,,,,24.70,1.21,0.11,24.49,24.20,0.85,2.07,23.70,25.57,21.76,25.57
HOVNP,HOVNP,HOVN,,,7.00,06/27/2025,7/12/2010,NONE,0.48,7.63%,,,-,-,,,,,,,,16.40,,,17.00,17.60,-3.51,-6.80,16.05,18.43,16.05,19.89
HPP PRC,HPP-C,HPP,,,8.00,06/16/2025,11/16/2026,NONE,0.30,4.75%,21.92,10.50,141.39,Reit,,,,,,,,12.69,2.19,-9.23,13.28,13.48,-4.45,-5.84,11.23,15.57,7.66,15.57
HROWL,HROWL,HROW,,BB,8.00,07/11/2025,2/1/2026,4/30/2026,0.54,8.63%,24.39,23.70,36.69,Healthcare,,,,,,,,25.27,1.57,0.88,25.27,25.26,-0.01,0.04,25.00,25.73,22.05,25.73
HROWM,HROWM,HROW,,BB,8.00,07/11/2025,12/31/2024,12/31/2027,0.74,11.88%,,25.20,36.69,Healthcare,,,,,,,,26.21,1.01,,26.50,26.40,-1.09,-0.71,24.90,27.70,22.71,27.72
HTFB,HTFB,HRZN,,BB,8.00,06/13/2025,3/30/2023,3/30/2026,0.31,4.88%,24.49,23.53,40.36,Assetmanagement,,,,,,,,25.01,1.48,0.52,24.84,24.54,0.68,1.92,24.19,26.11,23.00,26.11
HTFC,HTFC,HRZN,,BB,8.00,06/13/2025,6/15/2024,6/15/2027,0.39,4.88%,25.25,24.20,40.36,Assetmanagement,,,,,,,,24.44,0.24,-0.81,24.37,24.18,0.27,1.08,23.84,24.83,22.90,24.83
INBKZ,INBKZ,INBK,FF,,8.00,05/15/2025,6/30/2024,6/30/2029,0.54,6.00%,,,8.70,Regionalbank,,,,,,,,24.19,,,24.75,24.88,-2.26,-2.78,23.78,25.65,17.00,25.65
IVR PRC,IVR-C,IVR,NFF,,10.00,06/05/2025,9/27/2027,NONE,0.47,7.50%,,,65.94,Reit,,,,,,,,24.70,,,23.95,23.77,3.13,3.93,20.23,25.20,17.52,25.20
JXN PRA,JXN-A,JXN,NFF,,10.50,06/12/2025,3/30/2028,NONE,0.50,8.00%,,,71.42,Insurance,,,,,,,,26.18,,,26.18,26.43,0.00,-0.94,25.25,27.50,23.60,27.69
KEY PRI,KEY-I,KEY,NFF,,10.50,05/28/2025,12/15/2026,NONE,0.38,6.13%,,,1095.55,Regionalbank,,,,,,,,25.18,,,24.88,24.50,1.20,2.78,23.50,25.97,17.66,25.97
KEY PRL,KEY-L,KEY,NFF,,10.00,05/28/2025,9/15/2027,NONE,0.39,6.20%,,,1095.55,Regionalbank,,,,,,,,24.67,,,24.45,24.01,0.91,2.75,22.33,25.65,16.30,25.65
KMPB,KMPB,KMPR,NFF,,8.00,05/30/2025,3/15/2027,3/15/2062,0.37,5.88%,,,63.97,Insurance,,,,,,,,22.52,,,22.82,22.93,-1.33,-1.79,20.69,23.94,16.62,23.94
LBRDP,LBRDP,LBRDA,,,11.00,06/27/2025,,3/9/2039,0.44,7.00%,26.23,21.31,143.16,Communicationservices,,,,,,,,24.80,3.49,-1.43,24.73,23.99,0.27,3.39,23.39,26.88,20.90,26.88
LNC PRD,LNC-D,LNC,,,8.00,05/15/2025,12/1/2027,NONE,0.56,9.00%,,26.41,170.70,Insurance,,,,,,,,26.71,0.30,,27.04,27.66,-1.22,-3.43,25.78,28.89,24.82,28.89
MBINL,MBINL,MBIN,,,8.00,06/12/2025,1/1/2030,NONE,0.48,7.63%,,,45.76,Regionalbank,,,,,,,,23.44,,,,,,,22.83,25.90,22.83,25.90
MBINM,MBINM,MBIN,NFF,,8.00,06/13/2025,10/1/2027,NONE,0.52,8.25%,,,45.76,Regionalbank,,,,,,,,25.18,,,25.68,25.82,-1.93,-2.47,24.80,26.92,21.60,26.92
MBNKP,MBNKP,MFIN,FF,,11.50,06/16/2025,4/1/2025,NONE,0.68,8.00%,,,23.24,Creditservices,,,,,,,,25.60,,,25.45,25.23,0.57,1.46,24.25,27.00,21.97,27.00
MER PRK,MER-K,BAC,,TP,11.50,06/12/2025,12/15/2011,12/15/2066,0.40,6.45%,26.45,24.62,7537.21,Bank,,,,,,,,25.43,0.81,-1.02,25.71,25.73,-1.08,-1.17,25.18,26.64,24.51,26.64
MET PRA,MET-A,MET,FLR,,8.00,05/30/2025,9/15/2010,NONE,0.36,4.00%,,,671.16,Insurance,,,,,,,,24.40,,,24.43,24.53,-0.14,-0.55,22.07,25.43,22.00,25.43
METCL,METCL,METC,,BB,8.00,07/15/2025,7/30/2023,7/30/2026,0.56,9.00%,26.32,25.45,54.69,Cokingcoal,,,,,,,,25.52,0.07,-0.80,25.56,25.64,-0.15,-0.48,24.75,26.22,24.18,26.22
METCZ,METCZ,METC,,,8.00,04/15/2025,11/30/2026,11/30/2029,0.52,8.38%,,,54.69,Cokingcoal,,,,,,,,23.85,,,,,,,23.18,25.59,23.18,25.59
MFA PRC,MFA-C,MFA,NFF,,8.00,06/02/2025,3/31/2025,NONE,0.41,6.50%,,,102.65,Reit,,,,,,,,24.36,,,24.42,24.03,-0.23,1.39,21.62,25.03,17.10,25.03
MFAN,MFAN,MFA,,BB,8.00,08/01/2025,2/15/2026,2/15/2029,0.56,8.88%,,,102.65,Reit,,,,,,,,24.83,,,25.01,25.19,-0.70,-1.42,24.02,25.82,24.02,25.82
MFAO,MFAO,MFA,,BB,8.00,07/30/2025,8/15/2026,8/15/2029,0.56,9.00%,,,102.65,Reit,,,,,,,,24.96,,,,,,,24.27,25.85,24.27,25.85
MFICL,MFICL,MFIC,,BB,12.00,05/27/2025,12/15/2025,12/15/2028,0.50,8.00%,,,92.92,Assetmanagement,,,,,,,,25.47,,,25.43,25.43,0.16,0.15,25.11,25.85,25.00,25.85
MGRE,MGRE,AMG,,BB,8.00,06/26/2025,3/30/2029,3/30/2064,0.42,6.75%,,,28.79,Assetmanagement,,,,,,,,23.64,,,24.35,25.16,-2.92,-6.02,22.51,26.51,22.51,26.51
MHLA,MHLA,MHLD,,BB,8.00,05/30/2025,6/14/2021,6/14/2046,0.41,6.63%,17.51,15.26,99.49,Insurance,,,,,,,,14.82,-0.44,-2.69,14.40,15.34,2.92,-3.38,12.25,17.93,12.25,18.67
MHNC,MHNC,MHLD,,BB,8.00,05/15/2025,12/1/2018,12/1/2043,0.48,7.75%,18.64,17.60,99.49,Insurance,,,,,,,,17.20,-0.40,-1.44,16.76,17.31,2.61,-0.64,14.85,19.97,14.85,20.65
MITN,MITN,MITT,,BB,8.00,08/01/2025,2/15/2026,2/15/2029,0.59,9.50%,,,29.68,Reit,,,,,,,,25.09,,,25.12,25.18,-0.14,-0.35,21.50,25.60,21.50,25.95
MITP,MITP,MITT,,BB,8.00,07/30/2025,5/15/2026,5/15/2029,0.59,9.50%,,,29.68,Reit,,,,,,,,24.96,,,,,,,24.20,25.80,24.20,25.80
MITT PRA,MITT-A,MITT,,,8.00,05/30/2025,9/17/2024,NONE,0.52,8.25%,20.45,17.36,29.68,Reit,,,,,,,,22.22,4.86,1.77,22.04,21.65,0.82,2.64,18.60,23.99,15.91,23.99
MITT PRB,MITT-B,MITT,,,8.00,05/30/2025,9/27/2017,NONE,0.50,8.00%,20.19,16.46,29.68,Reit,,,,,,,,21.47,5.01,1.28,21.39,21.04,0.37,2.06,18.41,23.82,15.01,23.82
MITT PRC,MITT-C,MITT,FF,,11.00,05/30/2025,8/3/2017,NONE,0.71,8.00%,,,29.68,Reit,,,,,,,,25.21,,,24.88,24.75,1.32,1.85,20.65,25.50,17.05,25.50
MS PRA,MS-A,MS,FLR,,11.00,06/27/2025,7/15/2011,NONE,0.33,4.00%,,,1603.20,Bank,,,,,,,,22.00,,,23.09,23.14,-4.71,-4.93,21.00,24.65,20.31,24.65
MS PRE,MS-E,MS,,,11.00,06/27/2025,10/15/2023,NONE,0.45,7.13%,26.10,24.99,1603.20,Bank,,,,,,,,25.44,0.45,-0.66,25.44,25.40,0.01,0.15,25.01,25.84,24.93,26.28
MS PRF,MS-F,MS,,,11.00,06/27/2025,1/15/2024,NONE,0.43,6.88%,26.31,24.43,1603.20,Bank,,,,,,,,25.22,0.79,-1.09,25.28,25.31,-0.23,-0.37,24.87,25.75,24.33,26.05
MS PRI,MS-I,MS,,,11.00,06/27/2025,10/15/2024,NONE,0.40,6.38%,26.49,23.40,1603.20,Bank,,,,,,,,24.80,1.40,-1.69,24.97,25.15,-0.68,-1.41,24.21,26.75,23.25,26.75
MS PRP,MS-P,MS,,,11.00,06/27/2025,10/15/2027,NONE,0.41,6.50%,26.33,24.28,1603.20,Bank,,,,,,,,25.48,1.20,-0.85,25.55,25.89,-0.29,-1.59,24.70,27.14,24.25,27.14
MS PRQ,MS-Q,MS,,,8.00,06/30/2025,10/15/2029,NONE,0.41,6.63%,,,1603.20,Bank,,,,,,,,25.62,,,,,,,24.82,27.35,21.92,27.35
MSBIP,MSBIP,MSBI,NFF,,10.50,06/16/2025,9/30/2027,NONE,0.48,7.75%,,,21.40,Regionalbank,,,,,,,,23.87,,,23.93,24.67,-0.23,-3.26,22.75,25.77,20.92,26.55
MTB PRH,MTB-H,MTB,NFF,,10.50,06/02/2025,12/15/2026,NONE,0.35,5.63%,,,160.60,Regionalbank,,,,,,,,24.79,,,24.54,24.60,1.03,0.77,23.02,26.12,20.22,26.12
MTB PRJ,MTB-J,MTB,,,8.00,06/02/2025,6/15/2029,NONE,0.47,7.50%,,,160.60,Regionalbank,,,,,,,,26.47,,,,,,,25.00,28.04,24.09,28.04
NEWTG,NEWTG,NEWT,,BB,8.00,05/30/2025,6/1/2027,6/1/2029,0.53,8.50%,,,27.29,Regionalbank,,,,,,,,24.86,,,,,,,24.00,25.84,24.00,25.84
NEWTH,NEWTH,NEWT,,BB,8.00,07/14/2025,10/15/2026,10/15/2029,0.54,8.63%,,,27.29,Regionalbank,,,,,,,,24.63,,,,,,,23.00,25.95,23.00,25.95
NEWTI,NEWTI,NEWT,,BB,8.00,05/15/2025,9/1/2025,9/1/2028,0.50,8.00%,,24.80,27.29,Regionalbank,,,,,,,,25.50,0.70,,25.02,25.11,1.90,1.55,23.90,26.57,23.48,26.57
NEWTZ,NEWTZ,NEWT,,,8.00,07/11/2025,2/1/2022,2/1/2026,0.34,5.50%,24.46,23.61,27.29,Regionalbank,,,,,,,,24.63,1.02,0.17,24.75,24.53,-0.49,0.40,24.28,25.25,23.10,26.02
NLY PRF,NLY-F,NLY,FF,,8.00,06/02/2025,9/30/2022,NONE,0.60,6.95%,,,26.45,Reit,,,,,,,,25.77,,,25.61,25.59,0.64,0.71,21.75,26.34,21.75,26.34
NLY PRG,NLY-G,NLY,FF,,8.00,06/02/2025,3/31/2023,NONE,0.55,6.50%,,,26.45,Reit,,,,,,,,24.91,,,25.01,25.24,-0.39,-1.29,23.01,25.75,22.39,25.78
NLY PRI,NLY-I,NLY,FF,,9.50,06/02/2025,6/30/2024,NONE,0.60,6.75%,,,26.45,Reit,,,,,,,,25.65,,,25.55,25.55,0.41,0.39,24.15,26.05,21.17,26.05
NMFCZ,NMFCZ,NMFC,,BB,8.00,08/01/2025,6/17/2027,NONE,0.52,8.25%,,,107.59,Assetmanagement,,,,,,,,25.17,,,25.44,25.53,-1.07,-1.42,25.09,26.20,24.95,26.74
NREF PRA,NREF-A,NREF,,,8.00,07/11/2025,7/24/2025,NONE,0.53,8.50%,24.00,18.80,17.64,Reit,,,,,,,,21.80,3.00,-2.20,22.99,22.73,-5.17,-4.09,21.47,24.79,18.00,24.79
NYMTG,NYMTG,NYMT,,,8.00,03/14/2025,4/1/2027,4/1/2030,0.57,9.13%,,,90.30,Reit,,,,,,,,24.37,,,,,,,22.70,25.69,22.70,25.69
NYMTI,NYMTI,NYMT,,BB,8.00,06/12/2025,7/1/2026,7/1/2029,0.57,9.13%,,,90.30,Reit,,,,,,,,24.71,,,,,,,23.09,26.00,23.09,26.00
NYMTL,NYMTL,NYMT,NFF,,8.00,07/01/2025,10/15/2026,NONE,0.43,6.88%,,,90.30,Reit,,,,,,,,22.15,,,21.69,21.31,2.12,3.94,19.36,23.03,16.61,23.03
NYMTM,NYMTM,NYMT,FF,,8.00,07/01/2025,1/15/2025,NONE,0.69,7.88%,,,90.30,Reit,,,,,,,,24.64,,,24.63,24.33,0.02,1.27,22.50,25.39,20.07,25.39
NYMTN,NYMTN,NYMT,NFF,,8.00,07/01/2025,10/15/2027,NONE,0.50,8.00%,,,90.30,Reit,,,,,,,,21.86,,,22.15,22.10,-1.29,-1.11,19.21,23.56,18.71,23.56
OCCIM,OCCIM,OCCI,,Term,8.00,05/20/2025,10/31/2026,10/31/2029,0.16,7.88%,,,20.70,Cef,,,,,,,,24.73,,,,,,,24.18,25.21,24.18,25.21
OCCIN,OCCIN,OCCI,,,8.00,05/20/2025,12/31/2023,12/31/2026,0.11,5.25%,22.99,22.07,20.70,Cef,,,,,,,,24.18,2.11,1.19,23.87,23.58,1.28,2.53,23.15,24.56,21.53,24.56
OCCIO,OCCIO,OCCI,,,8.00,05/20/2025,4/30/2023,4/30/2026,0.13,6.13%,24.87,23.35,20.70,Cef,,,,,,,,24.80,1.45,-0.07,24.69,24.52,0.45,1.16,24.17,24.99,22.86,24.99
OCFCP,OCFCP,OCFC,NFF,,8.00,07/25/2025,6/1/2025,NONE,0.44,7.00%,,,58.38,Regionalbank,,,,,,,,25.00,,,25.19,25.03,-0.75,-0.12,24.67,25.90,21.55,25.90
OFSSH,OFSSH,OFS,,BB,9.00,07/11/2025,10/31/2023,10/31/2028,0.31,4.95%,22.99,21.00,13.41,Cef,,,,,,,,22.53,1.53,-0.46,22.58,22.35,-0.23,0.79,21.88,22.82,20.52,22.82
ONBPO,ONBPO,ONB,,,9.00,08/01/2025,8/20/2025,NONE,0.44,7.00%,,,370.09,Regionalbank,,,,,,,,24.85,,,24.93,25.07,-0.31,-0.89,24.44,25.78,21.36,27.00
ONBPP,ONBPP,ONB,,,8.00,08/01/2025,8/20/2025,NONE,0.44,7.00%,26.93,22.98,370.09,Regionalbank,,,,,,,,25.16,2.18,-1.77,25.05,25.12,0.42,0.17,24.40,26.20,20.99,26.36
OXLCG,OXLCG,OXLC,,,8.00,06/13/2025,2/28/2030,2/29/2032,0.68,7.95%,,,437.24,Cef,,,,,,,,24.57,,,,,,,24.06,24.89,24.06,24.89
OXLCI,OXLCI,OXLC,,BB,8.00,06/13/2025,6/30/2028,6/30/2030,0.55,8.75%,,,437.24,Cef,,,,,,,,25.56,,,,,,,24.93,26.18,24.93,26.18
OXLCL,OXLCL,OXLC,,BB,8.00,06/13/2025,3/16/2024,3/31/2031,0.42,6.75%,24.65,22.68,437.24,Cef,,,,,,,,23.22,0.54,-1.43,23.45,23.78,-0.98,-2.37,22.75,24.68,22.10,24.68
OXLCN,OXLCN,OXLC,,Term,8.00,05/16/2025,6/30/2024,6/30/2029,0.15,7.13%,24.60,22.92,437.24,Cef,,,,,,,,23.97,1.05,-0.63,24.08,24.09,-0.45,-0.49,23.40,24.50,22.11,24.50
OXLCO,OXLCO,OXLC,,,8.00,05/16/2025,8/31/2024,8/31/2029,0.13,6.00%,23.37,21.49,437.24,Cef,,,,,,,,22.62,1.13,-0.75,22.86,22.73,-1.05,-0.49,22.28,23.47,20.70,23.47
OXLCP,OXLCP,OXLC,,,8.00,05/16/2025,2/28/2023,2/28/2027,0.13,6.25%,24.00,22.74,437.24,Cef,,,,,,,,24.26,1.52,0.26,24.19,23.93,0.31,1.38,23.70,24.46,22.35,24.46
OXLCZ,OXLCZ,OXLC,,BB,8.00,06/13/2025,1/31/2024,1/31/2027,0.31,5.00%,23.69,22.31,437.24,Cef,,,,,,,,23.86,1.55,0.17,23.87,23.61,-0.03,1.06,23.33,24.37,21.93,24.37
OXSQG,OXSQG,OXSQ,,BB,8.00,06/20/2025,5/31/2024,7/31/2028,0.34,5.50%,23.55,21.50,71.37,Cef,,,,,,,,23.11,1.61,-0.44,23.24,23.02,-0.56,0.40,22.64,23.49,21.30,23.49
OXSQZ,OXSQZ,OXSQ,,BB,8.00,06/20/2025,4/30/2022,4/30/2026,0.39,6.25%,24.70,23.48,71.37,Cef,,,,,,,,24.90,1.42,0.20,24.71,24.55,0.77,1.44,24.30,25.00,23.25,25.00
PBI PRB,PBI-B,PBI,,BB,8.00,05/23/2025,3/7/2018,3/7/2043,0.42,6.70%,23.44,16.07,183.19,Integratedfreight&logistics,,,,,,,,20.19,4.12,-3.25,19.95,19.62,1.23,2.93,17.31,22.23,14.17,22.23
PDPA,PDPA,-,,,8.00,05/16/2025,12/31/2026,12/31/2029,0.17,8.00%,,,-,-,,,,,,,,24.95,,,,,,,24.30,25.84,24.30,25.84
PMT PRA,PMT-A,PMT,,,8.00,05/28/2025,3/15/2024,NONE,0.51,8.13%,24.77,20.80,87.13,Reit,,,,,,,,24.72,3.92,-0.05,24.21,24.27,2.11,1.85,22.68,26.00,20.11,26.00
PMT PRB,PMT-B,PMT,,,8.00,05/28/2025,6/15/2024,NONE,0.50,8.00%,25.00,20.27,87.13,Reit,,,,,,,,24.86,4.59,-0.14,24.16,24.11,2.90,3.12,22.76,25.21,19.80,25.21
PMT PRC,PMT-C,PMT,,,8.00,05/28/2025,8/24/2026,NONE,0.42,6.75%,21.21,16.38,87.13,Reit,,,,,,,,19.40,3.02,-1.81,19.39,19.76,0.04,-1.80,17.51,21.66,16.04,21.66
PMTU,PMTU,PMT,,BB,8.00,06/13/2025,9/30/2025,9/30/2028,0.53,8.50%,,24.25,87.13,Reit,,,,,,,,25.34,1.09,,25.42,25.57,-0.31,-0.90,24.46,26.29,23.75,26.49
PMTV,PMTV,PMT,,,8.00,16-May,2/15/2027,2/15/2030,0.56,9.00%,,,87.13,Reit,,,,,,,,25.08,,,,,,,24.50,25.79,24.50,25.79
PNFPP,PNFPP,PNFP,,,8.00,06/20/2025,9/1/2025,NONE,0.42,6.75%,26.08,21.00,77.52,Regionalbank,,,,,,,,24.08,3.08,-2.00,24.63,24.32,-2.24,-0.97,23.76,25.29,20.50,25.29
PRIF PRD,PRIF-D,-,,,8.00,06/20/2025,3/31/2022,6/30/2029,0.44,7.00%,24.79,22.45,-,-,,,,,,,,24.24,1.79,-0.55,24.12,23.83,0.51,1.71,23.39,24.78,20.30,24.78
PRIF PRF,PRIF-F,-,,,8.00,06/20/2025,2/25/2023,6/30/2027,0.41,6.63%,24.60,23.37,-,-,,,,,,,,25.19,1.82,0.59,24.55,24.17,2.59,4.22,23.78,25.22,22.22,25.22
PRIF PRH,PRIF-H,-,,,8.00,06/20/2025,5/6/2023,12/31/2026,0.38,6.00%,,,-,-,,,,,,,,,,,,,,,,,,
PRIF PRI,PRIF-I,-,,,8.00,06/20/2025,6/17/2024,6/30/2028,0.38,6.13%,23.73,22.13,-,-,,,,,,,,23.66,1.53,-0.07,23.49,23.21,0.73,1.95,22.82,24.98,21.48,24.98
PRIF PRJ,PRIF-J,-,,,8.00,06/20/2025,8/10/2024,12/31/2028,0.38,6.00%,23.06,22.36,-,-,,,,,,,,23.12,0.76,0.06,23.03,22.93,0.39,0.81,22.33,23.75,21.15,23.75
PRIF PRK,PRIF-K,-,,,8.00,06/20/2025,9/30/2026,NONE,0.44,7.00%,23.93,19.45,-,-,,,,,,,,22.23,2.78,-1.70,22.19,21.73,0.19,2.28,20.20,23.29,18.96,23.29
PRIF PRL,PRIF-L,-,,,9.50,05/30/2025,2/28/2025,3/31/2029,0.40,6.38%,24.30,21.96,-,-,,,,,,,,23.52,1.56,-0.78,23.46,23.29,0.25,1.01,22.70,24.27,21.44,24.27
QVCC,QVCC,QVCGA,,BB,9.50,05/30/2025,11/26/2024,11/26/2068,0.39,6.25%,21.68,8.35,403.43,Internetretail,,,,,,,,8.55,0.20,-13.13,10.57,11.99,-19.10,-28.66,7.42,14.19,7.42,15.10
QVCD,QVCD,QVCGA,,BB,8.00,06/27/2025,9/13/2023,9/13/2067,0.40,6.38%,22.05,8.31,403.43,Internetretail,,,,,,,,8.60,0.29,-13.45,10.67,12.08,-19.37,-28.82,7.23,14.12,7.23,15.20
RC PRE,RC-E,RC,,,8.00,01/09/2025,6/10/2026,NONE,0.41,6.50%,20.71,17.39,172.29,Reit,,,,,,,,15.35,-2.04,-5.36,16.81,18.14,-8.68,-15.38,14.87,19.73,14.87,19.73
RCB,RCB,RC,,BB,8.00,06/24/2025,7/30/2022,7/30/2026,0.39,6.20%,24.25,23.45,172.29,Reit,,,,,,,,23.90,0.45,-0.35,24.21,24.22,-1.29,-1.33,23.50,24.85,22.90,24.85
RCC,RCC,RC,,BB,8.00,05/30/2025,2/15/2023,2/15/2026,0.36,5.75%,23.91,23.74,172.29,Reit,,,,,,,,24.50,0.76,0.59,24.56,24.39,-0.23,0.43,24.17,26.87,22.90,26.87
RCD,RCD,RC,,,10.50,07/09/2025,12/15/2026,12/15/2029,0.56,9.00%,,,172.29,Reit,,,,,,,,23.34,,,,,,,22.97,25.55,22.97,25.55
RF PRC,RF-C,RF,NFF,,10.50,06/02/2025,8/15/2029,NONE,0.36,5.70%,,,898.77,Regionalbank,,,,,,,,23.38,,,23.82,23.82,-1.83,-1.85,21.94,25.56,16.63,25.56
RF PRF,RF-F,RF,NFF,,8.00,07/25/2025,9/15/2029,NONE,0.43,6.95%,,,898.77,Regionalbank,,,,,,,,25.28,,,,,,,24.20,26.67,23.61,26.67
RITM PRA,RITM-A,RITM,FF,,8.00,07/25/2025,8/15/2024,NONE,0.64,7.50%,,,529.83,Reit,,,,,,,,25.29,,,25.38,25.33,-0.36,-0.15,24.36,26.22,20.85,26.22
RITM PRB,RITM-B,RITM,FF,,8.00,07/25/2025,8/15/2024,NONE,0.63,7.13%,,,529.83,Reit,,,,,,,,25.28,,,25.24,25.19,0.16,0.38,24.07,25.86,19.50,25.86
RITM PRC,RITM-C,RITM,FF,,8.00,07/25/2025,2/15/2025,NONE,0.59,6.38%,,,529.83,Reit,,,,,,,,24.72,,,24.68,24.20,0.16,2.15,22.80,25.18,17.12,25.18
RITM PRD,RITM-D,RITM,NFF,,12.00,08/01/2025,11/15/2026,NONE,0.44,7.00%,,,529.83,Reit,,,,,,,,24.11,,,23.99,23.76,0.50,1.47,22.33,24.70,18.81,25.26
RIV PRA,RIV-A,RIV,,,9.50,06/13/2025,5/15/2027,NONE,0.38,6.00%,25.01,22.06,21.47,Cef,,,,,,,,22.95,0.89,-2.06,23.34,23.43,-1.66,-2.06,22.40,24.80,21.89,24.80
RJF PRB,RJF-B,RJF,,,8.00,06/27/2025,7/1/2026,NONE,0.40,6.38%,,,201.75,Assetmanagement,,,,,,,,25.25,,,25.23,25.21,0.09,0.14,24.76,26.45,24.60,26.45
RLJ PRA,RLJ-A,RLJ,,,8.00,07/30/2025,NONE,NONE,0.49,7.80%,26.33,23.55,151.76,Reit,,,,,,,,24.65,1.10,-1.68,24.76,25.13,-0.44,-1.91,22.80,26.63,22.80,26.63
RPT PRC,RPT-C,RPT,NFF,,8.00,05/15/2025,5/15/2030,NONE,0.49,9.88%,,,45.42,Reit,,,,,,,,25.01,,,,,,,24.22,25.50,24.22,25.50
