PREF IBKR,PREF YF,CMON,FF-FR_,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,TIME TO DIV,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High
ASBA,ASBA,ASB,NFF,,11.00,05/15/2025,3/1/2028,3/1/2033,0.41,6.63%,,,165.95,Regionalbank,,,,,,,,24.21,,,24.40,24.03,-0.76,0.73,22.99,25.30,18.82,25.30
ATCO PRD,ATCO-D,-,,,8.00,07/25/2025,1/30/2018,NONE,0.50,7.95%,25.27,23.86,-,-,,,,,,,,25.09,1.23,-0.18,25.06,25.03,0.12,0.23,24.14,25.98,22.00,25.98
ATCO PRH,ATCO-H,-,,,8.00,07/25/2025,8/11/2021,NONE,0.49,7.88%,24.95,22.38,-,-,,,,,,,,24.97,2.59,0.02,24.87,24.86,0.42,0.46,23.78,25.49,21.28,25.49
ATCOL,ATCOL,-,,,8.00,07/15/2025,5/13/2023,10/30/2027,0.45,7.13%,,,-,-,,,,,,,,25.06,,,24.94,24.94,0.50,0.46,22.45,25.45,22.45,25.90
ATH PRA,ATH-A,-,NFF,,11.50,06/13/2025,6/30/2029,NONE,0.40,6.35%,,,-,-,,,,,,,,24.13,,,24.35,24.54,-0.91,-1.66,22.00,25.71,19.81,25.71
ATH PRC,ATH-C,-,NFF,,11.50,06/13/2025,9/30/2025,NONE,0.40,6.38%,,,-,-,,,,,,,,25.15,,,25.10,25.09,0.22,0.24,24.24,25.46,22.05,25.64
ATH PRE,ATH-E,-,NFF,,11.50,06/13/2025,12/30/2027,NONE,0.48,7.75%,,,-,-,,,,,,,,25.70,,,25.79,26.25,-0.36,-2.10,24.17,27.50,23.61,27.50
ATHS,ATHS,-,NFF,,12.00,06/12/2025,3/30/2029,3/30/2064,0.45,7.25%,,,-,-,,,,,,,,24.89,,,25.21,25.34,-1.27,-1.78,24.01,26.25,24.01,26.25
ATLCL,ATLCL,ATLC,,,8.00,07/11/2025,10/2/2026,12/31/2026,0.38,6.13%,24.52,21.61,15.11,Creditservices,,,,,,,,24.15,2.54,-0.37,24.05,23.50,0.40,2.78,22.90,24.76,20.62,24.76
ATLCP,ATLCP,ATLC,,,8.00,05/30/2025,6/11/2026,NONE,0.48,7.63%,24.15,20.61,15.11,Creditservices,,,,,,,,23.21,2.60,-0.94,23.24,23.04,-0.14,0.72,21.66,24.50,17.99,24.80
ATLCZ,ATLCZ,ATLC,,BB,8.00,07/01/2025,1/31/2028,1/31/2029,0.58,9.25%,,,15.11,Creditservices,,,,,,,,25.21,,,24.98,24.97,0.90,0.98,23.40,25.50,23.40,25.50
AUB PRA,AUB-A,AUB,,,8.00,05/16/2025,9/1/2025,NONE,0.43,6.88%,26.14,19.25,142.37,Regionalbank,,,,,,,,24.45,5.20,-1.69,24.61,24.20,-0.64,1.01,22.86,25.93,19.21,25.93
BAC PRE,BAC-E,BAC,FLR,,11.00,07/25/2025,11/15/2011,NONE,0.31,4.00%,,,7537.21,Bank,,,,,,,,22.03,,,22.85,23.64,-3.59,-6.82,20.81,25.50,19.52,25.50
BANC PRF,BANC-F,BANC,NFF,,8.00,05/19/2025,9/1/2027,NONE,0.49,7.75%,,,169.33,Regionalbank,,,,,,,,24.72,,,24.85,24.28,-0.53,1.80,23.39,25.60,20.94,25.60
BANFP,BANFP,BANF,,TP,8.00,06/27/2025,3/21/2009,3/31/2034,0.45,7.20%,27.53,27.00,33.23,Regionalbank,,,,,,,,26.24,-0.76,-1.29,26.06,25.82,0.68,1.62,25.43,29.45,24.70,29.45
BC PRA,BC-A,BC,,BB,11.50,06/29/2025,10/15/2023,10/15/2048,0.40,6.50%,26.22,22.50,65.69,Consumercyclical,,,,,,,,23.15,0.65,-3.07,24.12,24.52,-4.04,-5.58,22.58,25.43,22.09,26.39
BC PRC,BC-C,BC,,BB,11.50,06/29/2025,4/15/2024,4/15/2049,0.39,6.38%,25.99,22.33,65.69,Consumercyclical,,,,,,,,22.88,0.55,-3.11,23.83,24.40,-4.00,-6.22,22.00,25.50,21.76,25.99
BK PRK,BK-K,BK,NFF,,12.50,06/05/2025,3/20/2030,NONE,0.41,6.15%,,,715.58,Bank,,,,,,,,25.51,,,,,,,24.54,25.83,24.54,25.83
BML PRG,BML-G,BAC,FLR,,11.00,05/15/2025,11/28/2009,NONE,0.33,3.00%,,,7537.21,Bank,,,,,,,,20.75,,,22.22,22.52,-6.62,-7.86,20.25,23.50,19.49,23.68
BML PRH,BML-H,BAC,FLR,,11.00,05/15/2025,11/28/2009,NONE,0.32,3.00%,,,7537.21,Bank,,,,,,,,20.80,,,22.13,22.37,-6.01,-7.00,20.09,23.45,18.95,23.45
BML PRJ,BML-J,BAC,FLR,,11.00,05/15/2025,11/21/2010,NONE,0.33,4.00%,,,7537.21,Bank,,,,,,,,22.05,,,22.91,23.20,-3.75,-4.95,20.70,24.69,20.00,24.69
BML PRL,BML-L,BAC,FLR,,11.00,07/01/2025,5/21/2010,NONE,0.32,4.00%,,,7537.21,Bank,,,,,,,,21.06,,,22.65,23.02,-7.01,-8.52,19.80,24.77,19.31,24.77
BOH PRB,BOH-B,BOH,,,9.50,07/14/2025,8/1/2029,NONE,0.50,8.00%,,,39.66,Regionalbank,,,,,,,,25.62,,,,,,,24.81,27.13,24.81,27.13
BPOPM,BPOPM,BPOP,,TP,7.00,05/15/2025,12/1/2009,12/1/2034,0.13,6.13%,27.20,24.51,69.37,Regionalbank,,,,,,,,25.59,1.08,-1.61,25.52,25.52,0.29,0.28,24.89,26.11,24.38,26.25
C PRN,C-N,C,,,10.00,07/25/2025,10/30/2015,10/30/2040,0.68,7.88%,,,1868.19,Bank,,,,,,,,29.90,,,30.15,29.94,-0.83,-0.13,29.11,31.34,27.82,31.34
CCIA,CCIA,CCIF,,Term,8.00,05/19/2025,10/31/2025,10/31/2028,0.18,8.75%,,,15.39,Cef,,,,,,,,25.49,,,25.82,25.81,-1.29,-1.24,25.00,27.79,24.10,27.79
CFG PRH,CFG-H,CFG,,,10.50,06/20/2025,7/6/2029,NONE,0.46,7.38%,,,433.40,Regionalbank,,,,,,,,26.37,,,,,,,24.95,27.69,24.95,27.69
CGBDL,CGBDL,CGBD,,,8.00,05/15/2025,,,0.51,,,,72.90,Assetmanagement,,,,,,,,25.28,,,25.73,25.66,-1.74,-1.49,25.05,26.66,25.05,26.66
CHMI PRA,CHMI-A,CHMI,,,8.00,06/27/2025,8/17/2022,NONE,0.51,8.20%,22.65,19.60,32.66,Reit,,,,,,,,21.26,1.66,-1.39,21.84,22.73,-2.66,-6.46,19.20,24.40,17.75,25.00
CHMI PRB,CHMI-B,CHMI,FF,,8.00,06/27/2025,4/5/2024,NONE,0.64,8.25%,,,32.66,Reit,,,,,,,,24.23,,,24.15,24.63,0.31,-1.62,22.23,25.38,20.20,25.60
