Symbol,Group,Source
F PRD,5,extlthistorical.csv
MBNKP,1,extlthistorical.csv
GECCI,1,extlthistorical.csv
GNL PRD,2,extlthistorical.csv
RWTP,8,extlthistorical.csv
OXSQZ,1,extlthistorical.csv
OXLCL,8,extlthistorical.csv
RF PRF,0,extlthistorical.csv
IVR PRC,3,extlthistorical.csv
GS PRA,5,extlthistorical.csv
TRTN PRA,8,extlthistorical.csv
RITM PRA,2,extlthistorical.csv
AUB PRA,6,extlthistorical.csv
NREF PRA,9,extlthistorical.csv
CHSCO,0,extlthistorical.csv
MS PRE,0,extlthistorical.csv
ALL PRB,9,extlthistorical.csv
SCE PRJ,5,extlthistorical.csv
ATHS,0,extlthistorical.csv
EICB,1,extlthistorical.csv
HTFB,1,extlthistorical.csv
RWT PRA,9,extlthistorical.csv
ALTG PRA,1,extlthistorical.csv
ARGD,5,extlthistorical.csv
LNC PRD,5,extlthistorical.csv
ARR PRC,2,extlthistorical.csv
GMRE PRA,1,extlthistorical.csv
SAT,8,extlthistorical.csv
ATLCP,2,extlthistorical.csv
TFSA,1,extlthistorical.csv
CHMI PRA,2,extlthistorical.csv
RWAYL,8,extlthistorical.csv
NEWTZ,1,extlthistorical.csv
CCIA,1,extlthistorical.csv
BML PRG,5,extlthistorical.csv
ECCF,1,extlthistorical.csv
AOMN,9,extlthistorical.csv
SAJ,1,extlthistorical.csv
SAY,1,extlthistorical.csv
ALL PRJ,0,extlthistorical.csv
GS PRC,5,extlthistorical.csv
MER PRK,0,extlthistorical.csv
NEWTH,8,extlthistorical.csv
PRIF PRF,1,extlthistorical.csv
SCCG,8,extlthistorical.csv
FHN PRE,6,extlthistorical.csv
RF PRC,3,extlthistorical.csv
OCFCP,7,extlthistorical.csv
CIMO,8,extlthistorical.csv
ASBA,3,extlthistorical.csv
CIM PRB,2,extlthistorical.csv
TWO PRA,2,extlthistorical.csv
ARGO PRA,2,extlthistorical.csv
HPP PRC,3,extlthistorical.csv
FLG PRA,3,extlthistorical.csv
MHNC,9,extlthistorical.csv
ABLLL,1,extlthistorical.csv
HROWL,1,extlthistorical.csv
CICB,4,extlthistorical.csv
ACR PRC,2,extlthistorical.csv
CFG PRH,0,extlthistorical.csv
INBKZ,8,extlthistorical.csv
MITT PRC,2,extlthistorical.csv
MSBIP,7,extlthistorical.csv
QVCD,10,extlthistorical.csv
AGNCO,2,extlthistorical.csv
BPOPM,1,extlthistorical.csv
APOS,0,extlthistorical.csv
OCCIN,1,extlthistorical.csv
NYMTL,2,extlthistorical.csv
GAM PRB,8,extlthistorical.csv
ECCX,8,extlthistorical.csv
EFC PRD,1,extlthistorical.csv
TVE,0,extlthistorical.csv
GECCZ,1,extlthistorical.csv
PRIF PRJ,1,extlthistorical.csv
CUBI PRF,7,extlthistorical.csv
GECCH,1,extlthistorical.csv
HNNAZ,1,extlthistorical.csv
CMRE PRC,1,extlthistorical.csv
BANFP,1,extlthistorical.csv
SAZ,1,extlthistorical.csv
BOH PRB,0,extlthistorical.csv
TPGXL,0,extlthistorical.csv
BK PRK,0,extlthistorical.csv
AGNCM,2,extlthistorical.csv
VLYPN,0,extlthistorical.csv
FCRX,1,extlthistorical.csv
BML PRJ,5,extlthistorical.csv
SCCD,1,extlthistorical.csv
SNV PRD,6,extlthistorical.csv
BANC PRF,5,extlthistorical.csv
NYMTN,2,extlthistorical.csv
GPMT PRA,5,extlthistorical.csv
CODI PRA,9,extlthistorical.csv
OXLCO,8,extlthistorical.csv
CODI PRB,9,extlthistorical.csv
ATLCZ,9,extlthistorical.csv
RC PRE,2,extlthistorical.csv
RWTN,8,extlthistorical.csv
VLYPP,3,extlthistorical.csv
RLJ PRA,9,extlthistorical.csv
SCE PRN,9,extlthistorical.csv
GAINL,1,extlthistorical.csv
OFSSH,1,extlthistorical.csv
CMRE PRB,8,extlthistorical.csv
RCC,1,extlthistorical.csv
XOMAO,8,extlthistorical.csv
AQNB,9,extlthistorical.csv
MITT PRA,2,extlthistorical.csv
NYMTG,5,extlthistorical.csv
ABR PRD,2,extlthistorical.csv
ESGRP,5,extlthistorical.csv
OCCIM,1,extlthistorical.csv
ET PRI,9,extlthistorical.csv
OCCIO,1,extlthistorical.csv
SCCE,8,extlthistorical.csv
ATCO PRD,9,extlthistorical.csv
HTFC,1,extlthistorical.csv
XOMAP,1,extlthistorical.csv
BC PRC,5,extlthistorical.csv
PMT PRC,2,extlthistorical.csv
EICA,8,extlthistorical.csv
DBRG PRH,2,extlthistorical.csv
ATCOL,1,extlthistorical.csv
ECCC,8,extlthistorical.csv
