"PREF IBKR","PREF YF","CMON","FF-FR_","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CMON OUTS SHARES","CMON SECTOR","LAST PRICE","TIME TO DIV","DIV ADJ.PRICE","Unnamed: 18","Unnamed: 19","Unnamed: 20","Unnamed: 21","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm","ADV_6M","ADV_3M","ADV_15D","AVG_ADV","SOLIDITY_SCORE","Normalized_COM_6M","Normalized_COM_3M","Normalized_52W_LOW","FINAL_THG","CS_FACTOR"
"ATCOL","ATCOL","-","","","8.00","07/15/2025","5/13/2023","10/30/2027","0.45","7.13%","","","-","-","","55.00","","","","","","25.06","","","24.94","24.94","0.50","0.46","22.45","25.45","22.45","25.90","24.88","2.43","-0.57","45.60","45.09","40.02","15.24","-1.02","2.43","19.90","74.11","1803.00","2357.00","4993.00","3051.00","42.16","","","","324.16","1.00"
"ATCOL","ATCOL","-","","","8.00","07/15/2025","5/13/2023","10/30/2027","0.45","7.13%","","","-","-","","55.00","","","","","","25.06","","","24.94","24.94","0.50","0.46","22.45","25.45","22.45","25.90","24.88","2.43","-0.57","45.60","45.09","40.02","15.24","-1.02","2.43","19.90","74.11","1803.00","2357.00","4993.00","3051.00","42.16","","","","324.16","1.00"
"ATCOL","ATCOL","-","","","8.00","07/15/2025","5/13/2023","10/30/2027","0.45","7.13%","","","-","-","","55.00","","","","","","25.06","","","24.94","24.94","0.50","0.46","22.45","25.45","22.45","25.90","24.88","2.43","-0.57","45.60","45.09","40.02","15.24","-1.02","2.43","19.90","74.11","1803.00","2357.00","4993.00","3051.00","42.16","","","","324.16","1.00"
"ATH PRA","ATH-A","-","NFF","","11.50","06/13/2025","6/30/2029","NONE","0.40","6.35%","","","-","-","","23.00","","","","","","24.13","","","24.35","24.54","-0.91","-1.66","22.00","25.71","19.81","25.71","23.83","1.83","-1.88","52.42","52.61","50.81","33.31","-1.88","4.02","30.15","65.03","35584.00","38420.00","21300.00","31768.00","42.16","","","","366.18","1.00"
"ATH PRA","ATH-A","-","NFF","","11.50","06/13/2025","6/30/2029","NONE","0.40","6.35%","","","-","-","","23.00","","","","","","24.13","","","24.35","24.54","-0.91","-1.66","22.00","25.71","19.81","25.71","23.83","1.83","-1.88","52.42","52.61","50.81","33.31","-1.88","4.02","30.15","65.03","35584.00","38420.00","21300.00","31768.00","42.16","","","","366.18","1.00"
"ATH PRA","ATH-A","-","NFF","","11.50","06/13/2025","6/30/2029","NONE","0.40","6.35%","","","-","-","","23.00","","","","","","24.13","","","24.35","24.54","-0.91","-1.66","22.00","25.71","19.81","25.71","23.83","1.83","-1.88","52.42","52.61","50.81","33.31","-1.88","4.02","30.15","65.03","35584.00","38420.00","21300.00","31768.00","42.16","","","","366.18","1.00"
"ATH PRA","ATH-A","-","NFF","","11.50","06/13/2025","6/30/2029","NONE","0.40","6.35%","","","-","-","","23.00","","","","","","24.13","","","24.35","24.54","-0.91","-1.66","22.00","25.71","19.81","25.71","23.83","1.83","-1.88","52.42","52.61","50.81","33.31","-1.88","4.02","30.15","65.03","35584.00","38420.00","21300.00","31768.00","42.16","","","","366.18","1.00"
"ATH PRA","ATH-A","-","NFF","","11.50","06/13/2025","6/30/2029","NONE","0.40","6.35%","","","-","-","","23.00","","","","","","24.13","","","24.35","24.54","-0.91","-1.66","22.00","25.71","19.81","25.71","23.83","1.83","-1.88","52.42","52.61","50.81","33.31","-1.88","4.02","30.15","65.03","35584.00","38420.00","21300.00","31768.00","42.16","","","","366.18","1.00"
"ATH PRC","ATH-C","-","NFF","","11.50","06/13/2025","9/30/2025","NONE","0.40","6.38%","","","-","-","","23.00","","","","","","25.15","","","25.10","25.09","0.22","0.24","24.24","25.46","22.05","25.64","24.85","0.61","-0.61","46.95","45.87","72.74","15.79","-0.79","2.80","17.15","72.00","55286.00","56408.00","31428.00","47708.00","42.16","","","","346.62","1.00"
"ATH PRC","ATH-C","-","NFF","","11.50","06/13/2025","9/30/2025","NONE","0.40","6.38%","","","-","-","","23.00","","","","","","25.15","","","25.10","25.09","0.22","0.24","24.24","25.46","22.05","25.64","24.85","0.61","-0.61","46.95","45.87","72.74","15.79","-0.79","2.80","17.15","72.00","55286.00","56408.00","31428.00","47708.00","42.16","","","","346.62","1.00"
"ATH PRC","ATH-C","-","NFF","","11.50","06/13/2025","9/30/2025","NONE","0.40","6.38%","","","-","-","","23.00","","","","","","25.15","","","25.10","25.09","0.22","0.24","24.24","25.46","22.05","25.64","24.85","0.61","-0.61","46.95","45.87","72.74","15.79","-0.79","2.80","17.15","72.00","55286.00","56408.00","31428.00","47708.00","42.16","","","","346.62","1.00"
"ATH PRC","ATH-C","-","NFF","","11.50","06/13/2025","9/30/2025","NONE","0.40","6.38%","","","-","-","","23.00","","","","","","25.15","","","25.10","25.09","0.22","0.24","24.24","25.46","22.05","25.64","24.85","0.61","-0.61","46.95","45.87","72.74","15.79","-0.79","2.80","17.15","72.00","55286.00","56408.00","31428.00","47708.00","42.16","","","","346.62","1.00"
"ATH PRC","ATH-C","-","NFF","","11.50","06/13/2025","9/30/2025","NONE","0.40","6.38%","","","-","-","","23.00","","","","","","25.15","","","25.10","25.09","0.22","0.24","24.24","25.46","22.05","25.64","24.85","0.61","-0.61","46.95","45.87","72.74","15.79","-0.79","2.80","17.15","72.00","55286.00","56408.00","31428.00","47708.00","42.16","","","","346.62","1.00"
"ATH PRE","ATH-E","-","NFF","","11.50","06/13/2025","12/30/2027","NONE","0.48","7.75%","","","-","-","","23.00","","","","","","25.70","","","25.79","26.25","-0.36","-2.10","24.17","27.50","23.61","27.50","25.34","1.17","-2.16","49.76","54.16","62.67","37.17","-2.16","1.73","33.49","78.11","21293.00","20456.00","24631.00","22126.00","42.16","","","","369.24","1.00"
"ATH PRE","ATH-E","-","NFF","","11.50","06/13/2025","12/30/2027","NONE","0.48","7.75%","","","-","-","","23.00","","","","","","25.70","","","25.79","26.25","-0.36","-2.10","24.17","27.50","23.61","27.50","25.34","1.17","-2.16","49.76","54.16","62.67","37.17","-2.16","1.73","33.49","78.11","21293.00","20456.00","24631.00","22126.00","42.16","","","","369.24","1.00"
"ATH PRE","ATH-E","-","NFF","","11.50","06/13/2025","12/30/2027","NONE","0.48","7.75%","","","-","-","","23.00","","","","","","25.70","","","25.79","26.25","-0.36","-2.10","24.17","27.50","23.61","27.50","25.34","1.17","-2.16","49.76","54.16","62.67","37.17","-2.16","1.73","33.49","78.11","21293.00","20456.00","24631.00","22126.00","42.16","","","","369.24","1.00"
"ATH PRE","ATH-E","-","NFF","","11.50","06/13/2025","12/30/2027","NONE","0.48","7.75%","","","-","-","","23.00","","","","","","25.70","","","25.79","26.25","-0.36","-2.10","24.17","27.50","23.61","27.50","25.34","1.17","-2.16","49.76","54.16","62.67","37.17","-2.16","1.73","33.49","78.11","21293.00","20456.00","24631.00","22126.00","42.16","","","","369.24","1.00"
"ATH PRE","ATH-E","-","NFF","","11.50","06/13/2025","12/30/2027","NONE","0.48","7.75%","","","-","-","","23.00","","","","","","25.70","","","25.79","26.25","-0.36","-2.10","24.17","27.50","23.61","27.50","25.34","1.17","-2.16","49.76","54.16","62.67","37.17","-2.16","1.73","33.49","78.11","21293.00","20456.00","24631.00","22126.00","42.16","","","","369.24","1.00"
"ATHS","ATHS","-","NFF","","12.00","06/12/2025","3/30/2029","3/30/2064","0.45","7.25%","","","-","-","","22.00","","","","","","24.89","","","25.21","25.34","-1.27","-1.78","24.01","26.25","24.01","26.25","24.55","0.54","-1.70","54.16","53.03","74.00","30.83","-1.70","0.54","28.00","84.91","47773.00","47891.00","23804.00","39823.00","42.16","","","","383.34","1.00"
"ATHS","ATHS","-","NFF","","12.00","06/12/2025","3/30/2029","3/30/2064","0.45","7.25%","","","-","-","","22.00","","","","","","24.89","","","25.21","25.34","-1.27","-1.78","24.01","26.25","24.01","26.25","24.55","0.54","-1.70","54.16","53.03","74.00","30.83","-1.70","0.54","28.00","84.91","47773.00","47891.00","23804.00","39823.00","42.16","","","","383.34","1.00"
"ATHS","ATHS","-","NFF","","12.00","06/12/2025","3/30/2029","3/30/2064","0.45","7.25%","","","-","-","","22.00","","","","","","24.89","","","25.21","25.34","-1.27","-1.78","24.01","26.25","24.01","26.25","24.55","0.54","-1.70","54.16","53.03","74.00","30.83","-1.70","0.54","28.00","84.91","47773.00","47891.00","23804.00","39823.00","42.16","","","","383.34","1.00"
"ATHS","ATHS","-","NFF","","12.00","06/12/2025","3/30/2029","3/30/2064","0.45","7.25%","","","-","-","","22.00","","","","","","24.89","","","25.21","25.34","-1.27","-1.78","24.01","26.25","24.01","26.25","24.55","0.54","-1.70","54.16","53.03","74.00","30.83","-1.70","0.54","28.00","84.91","47773.00","47891.00","23804.00","39823.00","42.16","","","","383.34","1.00"
"ATHS","ATHS","-","NFF","","12.00","06/12/2025","3/30/2029","3/30/2064","0.45","7.25%","","","-","-","","22.00","","","","","","24.89","","","25.21","25.34","-1.27","-1.78","24.01","26.25","24.01","26.25","24.55","0.54","-1.70","54.16","53.03","74.00","30.83","-1.70","0.54","28.00","84.91","47773.00","47891.00","23804.00","39823.00","42.16","","","","383.34","1.00"
"ATLCL","ATLCL","ATLC","","","8.00","07/11/2025","10/2/2026","12/31/2026","0.38","6.13%","24.52","21.61","15.11","Creditservices","","51.00","","","","","","24.15","2.54","-0.37","24.05","23.50","0.40","2.78","22.90","24.76","20.62","24.76","23.99","1.09","-0.77","46.08","36.87","64.11","18.00","-0.77","3.37","16.92","68.74","5239.00","6322.00","8386.00","6649.00","46.83","","","","328.17","1.00"
"ATLCP","ATLCP","ATLC","","","8.00","05/30/2025","6/11/2026","NONE","0.48","7.63%","24.15","20.61","15.11","Creditservices","","9.00","","","","","","23.21","2.60","-0.94","23.24","23.04","-0.14","0.72","21.66","24.50","17.99","24.80","22.78","1.12","-1.72","48.69","44.17","63.57","31.10","-2.02","4.79","31.82","60.63","3966.00","3787.00","4386.00","4046.00","46.83","","","","350.10","1.00"
"ATLCZ","ATLCZ","ATLC","","BB","8.00","07/01/2025","1/31/2028","1/31/2029","0.58","9.25%","","","15.11","Creditservices","","41.00","","","","","","25.21","","","24.98","24.97","0.90","0.98","23.40","25.50","23.40","25.50","24.89","1.49","-0.61","43.66","43.25","56.92","15.79","-0.61","1.49","15.01","79.49","27400.00","22935.00","14377.00","21571.00","47.77","","","","340.17","1.00"
"AUB PRA","AUB-A","AUB","","","8.00","05/16/2025","9/1/2025","NONE","0.43","6.88%","26.14","19.25","142.37","Regionalbank","","85.00","","","","","","24.45","5.20","-1.69","24.61","24.20","-0.64","1.01","22.86","25.93","19.21","25.93","24.43","1.57","-1.50","51.11","43.14","55.48","28.07","-1.50","5.22","25.62","58.17","13976.00","11837.00","10727.00","12180.00","51.40","","","","362.07","1.00"
"BAC PRE","BAC-E","BAC","FLR","","11.00","07/25/2025","11/15/2011","NONE","0.31","4.00%","","","7537.21","Bank","","65.00","","","","","","22.03","","","22.85","23.64","-3.59","-6.82","20.81","25.50","19.52","25.50","21.94","1.13","-3.56","65.38","70.89","63.39","56.48","-3.56","2.42","50.18","74.17","16697.00","20911.00","13169.00","16926.00","80.51","51.83","54.15","75.47","534.62","1.00"
"BAC PRE","BAC-E","BAC","FLR","","11.00","07/25/2025","11/15/2011","NONE","0.31","4.00%","","","7537.21","Bank","","65.00","","","","","","22.03","","","22.85","23.64","-3.59","-6.82","20.81","25.50","19.52","25.50","21.94","1.13","-3.56","65.38","70.89","63.39","56.48","-3.56","2.42","50.18","74.17","16697.00","20911.00","13169.00","16926.00","80.51","51.83","54.15","75.47","534.62","1.00"
"BAC PRE","BAC-E","BAC","FLR","","11.00","07/25/2025","11/15/2011","NONE","0.31","4.00%","","","7537.21","Bank","","65.00","","","","","","22.03","","","22.85","23.64","-3.59","-6.82","20.81","25.50","19.52","25.50","21.94","1.13","-3.56","65.38","70.89","63.39","56.48","-3.56","2.42","50.18","74.17","16697.00","20911.00","13169.00","16926.00","80.51","51.83","54.15","75.47","534.62","1.00"
"BAC PRE","BAC-E","BAC","FLR","","11.00","07/25/2025","11/15/2011","NONE","0.31","4.00%","","","7537.21","Bank","","65.00","","","","","","22.03","","","22.85","23.64","-3.59","-6.82","20.81","25.50","19.52","25.50","21.94","1.13","-3.56","65.38","70.89","63.39","56.48","-3.56","2.42","50.18","74.17","16697.00","20911.00","13169.00","16926.00","80.51","51.83","54.15","75.47","534.62","1.00"
"BAC PRE","BAC-E","BAC","FLR","","11.00","07/25/2025","11/15/2011","NONE","0.31","4.00%","","","7537.21","Bank","","65.00","","","","","","22.03","","","22.85","23.64","-3.59","-6.82","20.81","25.50","19.52","25.50","21.94","1.13","-3.56","65.38","70.89","63.39","56.48","-3.56","2.42","50.18","74.17","16697.00","20911.00","13169.00","16926.00","80.51","51.83","54.15","75.47","534.62","1.00"
"BAC PRE","BAC-E","BAC","FLR","","11.00","07/25/2025","11/15/2011","NONE","0.31","4.00%","","","7537.21","Bank","","65.00","","","","","","22.03","","","22.85","23.64","-3.59","-6.82","20.81","25.50","19.52","25.50","21.94","1.13","-3.56","65.38","70.89","63.39","56.48","-3.56","2.42","50.18","74.17","16697.00","20911.00","13169.00","16926.00","80.51","51.83","54.15","75.47","534.62","1.00"
"BAC PRE","BAC-E","BAC","FLR","","11.00","07/25/2025","11/15/2011","NONE","0.31","4.00%","","","7537.21","Bank","","65.00","","","","","","22.03","","","22.85","23.64","-3.59","-6.82","20.81","25.50","19.52","25.50","21.94","1.13","-3.56","65.38","70.89","63.39","56.48","-3.56","2.42","50.18","74.17","16697.00","20911.00","13169.00","16926.00","80.51","51.83","54.15","75.47","534.62","1.00"
"BAC PRE","BAC-E","BAC","FLR","","11.00","07/25/2025","11/15/2011","NONE","0.31","4.00%","","","7537.21","Bank","","65.00","","","","","","22.03","","","22.85","23.64","-3.59","-6.82","20.81","25.50","19.52","25.50","21.94","1.13","-3.56","65.38","70.89","63.39","56.48","-3.56","2.42","50.18","74.17","16697.00","20911.00","13169.00","16926.00","80.51","51.83","54.15","75.47","534.62","1.00"
"BANC PRF","BANC-F","BANC","NFF","","8.00","05/19/2025","9/1/2027","NONE","0.49","7.75%","","","169.33","Regionalbank","","88.00","","","","","","24.72","","","24.85","24.28","-0.53","1.80","23.39","25.60","20.94","25.60","24.71","1.32","-0.89","50.58","40.34","59.98","19.66","-0.89","3.77","18.35","66.46","51211.00","38839.00","23373.00","37808.00","50.96","","","","361.14","1.00"
"BANFP","BANFP","BANF","","TP","8.00","06/27/2025","3/21/2009","3/31/2034","0.45","7.20%","27.53","27.00","33.23","Regionalbank","","37.00","","","","","","26.24","-0.76","-1.29","26.06","25.82","0.68","1.62","25.43","29.45","24.70","29.45","25.97","0.54","-3.48","44.73","40.98","74.00","55.38","-3.48","1.27","49.23","80.74","767.00","550.00","337.00","551.00","62.58","","","","393.53","1.00"
"BC PRA","BC-A","BC","","BB","11.50","06/29/2025","10/15/2023","10/15/2048","0.40","6.50%","26.22","22.50","65.69","Consumercyclical","","39.00","","","","","","23.15","0.65","-3.07","24.12","24.52","-4.04","-5.58","22.58","25.43","22.09","26.39","22.92","0.34","-2.51","67.56","66.50","77.60","42.00","-3.47","0.83","49.11","83.26","7666.00","7838.00","11216.00","8907.00","49.59","","","","455.04","1.00"
"BC PRC","BC-C","BC","","BB","11.50","06/29/2025","4/15/2024","4/15/2049","0.39","6.38%","25.99","22.33","65.69","Consumercyclical","","39.00","","","","","","22.88","0.55","-3.11","23.83","24.40","-4.00","-6.22","22.00","25.50","21.76","25.99","22.66","0.66","-2.84","67.36","68.77","71.84","46.55","-3.33","0.90","47.44","82.86","12433.00","13734.00","18951.00","15039.00","49.59","","","","459.15","1.00"
"BK PRK","BK-K","BK","NFF","","12.50","06/05/2025","3/20/2030","NONE","0.41","6.15%","","","715.58","Bank","","15.00","","","","","","25.51","","","","","","","24.54","25.83","24.54","25.83","25.17","0.63","-0.66","44.14","40.14","72.38","16.48","-0.66","0.63","15.60","84.40","277559.00","277559.00","98673.00","217930.00","80.47","","","","472.44","1.00"
"BML PRG","BML-G","BAC","FLR","","11.00","05/15/2025","11/28/2009","NONE","0.33","3.00%","","","7537.21","Bank","","84.00","","","","","","20.75","","","22.22","22.52","-6.62","-7.86","20.25","23.50","19.49","23.68","20.73","0.48","-2.77","80.04","74.58","75.08","45.59","-2.95","1.24","42.91","80.91","5942.00","4098.00","2465.00","4168.00","80.51","51.83","54.15","75.47","570.36","1.00"
"BML PRG","BML-G","BAC","FLR","","11.00","05/15/2025","11/28/2009","NONE","0.33","3.00%","","","7537.21","Bank","","84.00","","","","","","20.75","","","22.22","22.52","-6.62","-7.86","20.25","23.50","19.49","23.68","20.73","0.48","-2.77","80.04","74.58","75.08","45.59","-2.95","1.24","42.91","80.91","5942.00","4098.00","2465.00","4168.00","80.51","51.83","54.15","75.47","570.36","1.00"
"BML PRG","BML-G","BAC","FLR","","11.00","05/15/2025","11/28/2009","NONE","0.33","3.00%","","","7537.21","Bank","","84.00","","","","","","20.75","","","22.22","22.52","-6.62","-7.86","20.25","23.50","19.49","23.68","20.73","0.48","-2.77","80.04","74.58","75.08","45.59","-2.95","1.24","42.91","80.91","5942.00","4098.00","2465.00","4168.00","80.51","51.83","54.15","75.47","570.36","1.00"
"BML PRG","BML-G","BAC","FLR","","11.00","05/15/2025","11/28/2009","NONE","0.33","3.00%","","","7537.21","Bank","","84.00","","","","","","20.75","","","22.22","22.52","-6.62","-7.86","20.25","23.50","19.49","23.68","20.73","0.48","-2.77","80.04","74.58","75.08","45.59","-2.95","1.24","42.91","80.91","5942.00","4098.00","2465.00","4168.00","80.51","51.83","54.15","75.47","570.36","1.00"
"BML PRG","BML-G","BAC","FLR","","11.00","05/15/2025","11/28/2009","NONE","0.33","3.00%","","","7537.21","Bank","","84.00","","","","","","20.75","","","22.22","22.52","-6.62","-7.86","20.25","23.50","19.49","23.68","20.73","0.48","-2.77","80.04","74.58","75.08","45.59","-2.95","1.24","42.91","80.91","5942.00","4098.00","2465.00","4168.00","80.51","51.83","54.15","75.47","570.36","1.00"
"BML PRG","BML-G","BAC","FLR","","11.00","05/15/2025","11/28/2009","NONE","0.33","3.00%","","","7537.21","Bank","","84.00","","","","","","20.75","","","22.22","22.52","-6.62","-7.86","20.25","23.50","19.49","23.68","20.73","0.48","-2.77","80.04","74.58","75.08","45.59","-2.95","1.24","42.91","80.91","5942.00","4098.00","2465.00","4168.00","80.51","51.83","54.15","75.47","570.36","1.00"
"BML PRG","BML-G","BAC","FLR","","11.00","05/15/2025","11/28/2009","NONE","0.33","3.00%","","","7537.21","Bank","","84.00","","","","","","20.75","","","22.22","22.52","-6.62","-7.86","20.25","23.50","19.49","23.68","20.73","0.48","-2.77","80.04","74.58","75.08","45.59","-2.95","1.24","42.91","80.91","5942.00","4098.00","2465.00","4168.00","80.51","51.83","54.15","75.47","570.36","1.00"
"BML PRG","BML-G","BAC","FLR","","11.00","05/15/2025","11/28/2009","NONE","0.33","3.00%","","","7537.21","Bank","","84.00","","","","","","20.75","","","22.22","22.52","-6.62","-7.86","20.25","23.50","19.49","23.68","20.73","0.48","-2.77","80.04","74.58","75.08","45.59","-2.95","1.24","42.91","80.91","5942.00","4098.00","2465.00","4168.00","80.51","51.83","54.15","75.47","570.36","1.00"
"BML PRH","BML-H","BAC","FLR","","11.00","05/15/2025","11/28/2009","NONE","0.32","3.00%","","","7537.21","Bank","","84.00","","","","","","20.80","","","22.13","22.37","-6.01","-7.00","20.09","23.45","18.95","23.45","20.78","0.69","-2.67","77.09","71.53","71.30","44.21","-2.67","1.83","39.57","77.54","15116.00","14791.00","13684.00","14530.00","80.51","51.83","54.15","75.47","558.14","1.00"
"BML PRH","BML-H","BAC","FLR","","11.00","05/15/2025","11/28/2009","NONE","0.32","3.00%","","","7537.21","Bank","","84.00","","","","","","20.80","","","22.13","22.37","-6.01","-7.00","20.09","23.45","18.95","23.45","20.78","0.69","-2.67","77.09","71.53","71.30","44.21","-2.67","1.83","39.57","77.54","15116.00","14791.00","13684.00","14530.00","80.51","51.83","54.15","75.47","558.14","1.00"
"BML PRH","BML-H","BAC","FLR","","11.00","05/15/2025","11/28/2009","NONE","0.32","3.00%","","","7537.21","Bank","","84.00","","","","","","20.80","","","22.13","22.37","-6.01","-7.00","20.09","23.45","18.95","23.45","20.78","0.69","-2.67","77.09","71.53","71.30","44.21","-2.67","1.83","39.57","77.54","15116.00","14791.00","13684.00","14530.00","80.51","51.83","54.15","75.47","558.14","1.00"
"BML PRH","BML-H","BAC","FLR","","11.00","05/15/2025","11/28/2009","NONE","0.32","3.00%","","","7537.21","Bank","","84.00","","","","","","20.80","","","22.13","22.37","-6.01","-7.00","20.09","23.45","18.95","23.45","20.78","0.69","-2.67","77.09","71.53","71.30","44.21","-2.67","1.83","39.57","77.54","15116.00","14791.00","13684.00","14530.00","80.51","51.83","54.15","75.47","558.14","1.00"
"BML PRH","BML-H","BAC","FLR","","11.00","05/15/2025","11/28/2009","NONE","0.32","3.00%","","","7537.21","Bank","","84.00","","","","","","20.80","","","22.13","22.37","-6.01","-7.00","20.09","23.45","18.95","23.45","20.78","0.69","-2.67","77.09","71.53","71.30","44.21","-2.67","1.83","39.57","77.54","15116.00","14791.00","13684.00","14530.00","80.51","51.83","54.15","75.47","558.14","1.00"
"BML PRH","BML-H","BAC","FLR","","11.00","05/15/2025","11/28/2009","NONE","0.32","3.00%","","","7537.21","Bank","","84.00","","","","","","20.80","","","22.13","22.37","-6.01","-7.00","20.09","23.45","18.95","23.45","20.78","0.69","-2.67","77.09","71.53","71.30","44.21","-2.67","1.83","39.57","77.54","15116.00","14791.00","13684.00","14530.00","80.51","51.83","54.15","75.47","558.14","1.00"
"BML PRH","BML-H","BAC","FLR","","11.00","05/15/2025","11/28/2009","NONE","0.32","3.00%","","","7537.21","Bank","","84.00","","","","","","20.80","","","22.13","22.37","-6.01","-7.00","20.09","23.45","18.95","23.45","20.78","0.69","-2.67","77.09","71.53","71.30","44.21","-2.67","1.83","39.57","77.54","15116.00","14791.00","13684.00","14530.00","80.51","51.83","54.15","75.47","558.14","1.00"
"BML PRH","BML-H","BAC","FLR","","11.00","05/15/2025","11/28/2009","NONE","0.32","3.00%","","","7537.21","Bank","","84.00","","","","","","20.80","","","22.13","22.37","-6.01","-7.00","20.09","23.45","18.95","23.45","20.78","0.69","-2.67","77.09","71.53","71.30","44.21","-2.67","1.83","39.57","77.54","15116.00","14791.00","13684.00","14530.00","80.51","51.83","54.15","75.47","558.14","1.00"
"BML PRJ","BML-J","BAC","FLR","","11.00","05/15/2025","11/21/2010","NONE","0.33","4.00%","","","7537.21","Bank","","84.00","","","","","","22.05","","","22.91","23.20","-3.75","-4.95","20.70","24.69","20.00","24.69","22.03","1.33","-2.66","66.15","64.27","59.80","44.07","-2.66","2.03","39.45","76.40","17375.00","18180.00","14003.00","16520.00","80.51","51.83","54.15","75.47","518.94","1.00"
"BML PRJ","BML-J","BAC","FLR","","11.00","05/15/2025","11/21/2010","NONE","0.33","4.00%","","","7537.21","Bank","","84.00","","","","","","22.05","","","22.91","23.20","-3.75","-4.95","20.70","24.69","20.00","24.69","22.03","1.33","-2.66","66.15","64.27","59.80","44.07","-2.66","2.03","39.45","76.40","17375.00","18180.00","14003.00","16520.00","80.51","51.83","54.15","75.47","518.94","1.00"
"BML PRJ","BML-J","BAC","FLR","","11.00","05/15/2025","11/21/2010","NONE","0.33","4.00%","","","7537.21","Bank","","84.00","","","","","","22.05","","","22.91","23.20","-3.75","-4.95","20.70","24.69","20.00","24.69","22.03","1.33","-2.66","66.15","64.27","59.80","44.07","-2.66","2.03","39.45","76.40","17375.00","18180.00","14003.00","16520.00","80.51","51.83","54.15","75.47","518.94","1.00"
"BML PRJ","BML-J","BAC","FLR","","11.00","05/15/2025","11/21/2010","NONE","0.33","4.00%","","","7537.21","Bank","","84.00","","","","","","22.05","","","22.91","23.20","-3.75","-4.95","20.70","24.69","20.00","24.69","22.03","1.33","-2.66","66.15","64.27","59.80","44.07","-2.66","2.03","39.45","76.40","17375.00","18180.00","14003.00","16520.00","80.51","51.83","54.15","75.47","518.94","1.00"
"BML PRJ","BML-J","BAC","FLR","","11.00","05/15/2025","11/21/2010","NONE","0.33","4.00%","","","7537.21","Bank","","84.00","","","","","","22.05","","","22.91","23.20","-3.75","-4.95","20.70","24.69","20.00","24.69","22.03","1.33","-2.66","66.15","64.27","59.80","44.07","-2.66","2.03","39.45","76.40","17375.00","18180.00","14003.00","16520.00","80.51","51.83","54.15","75.47","518.94","1.00"
"BML PRJ","BML-J","BAC","FLR","","11.00","05/15/2025","11/21/2010","NONE","0.33","4.00%","","","7537.21","Bank","","84.00","","","","","","22.05","","","22.91","23.20","-3.75","-4.95","20.70","24.69","20.00","24.69","22.03","1.33","-2.66","66.15","64.27","59.80","44.07","-2.66","2.03","39.45","76.40","17375.00","18180.00","14003.00","16520.00","80.51","51.83","54.15","75.47","518.94","1.00"
"BML PRJ","BML-J","BAC","FLR","","11.00","05/15/2025","11/21/2010","NONE","0.33","4.00%","","","7537.21","Bank","","84.00","","","","","","22.05","","","22.91","23.20","-3.75","-4.95","20.70","24.69","20.00","24.69","22.03","1.33","-2.66","66.15","64.27","59.80","44.07","-2.66","2.03","39.45","76.40","17375.00","18180.00","14003.00","16520.00","80.51","51.83","54.15","75.47","518.94","1.00"
"BML PRJ","BML-J","BAC","FLR","","11.00","05/15/2025","11/21/2010","NONE","0.33","4.00%","","","7537.21","Bank","","84.00","","","","","","22.05","","","22.91","23.20","-3.75","-4.95","20.70","24.69","20.00","24.69","22.03","1.33","-2.66","66.15","64.27","59.80","44.07","-2.66","2.03","39.45","76.40","17375.00","18180.00","14003.00","16520.00","80.51","51.83","54.15","75.47","518.94","1.00"
"BML PRL","BML-L","BAC","FLR","","11.00","07/01/2025","5/21/2010","NONE","0.32","4.00%","","","7537.21","Bank","","41.00","","","","","","21.06","","","22.65","23.02","-7.01","-8.52","19.80","24.77","19.31","24.77","20.89","1.09","-3.88","81.92","76.92","64.11","60.90","-3.88","1.58","53.99","78.97","21954.00","18337.00","13940.00","18077.00","80.51","51.83","54.15","75.47","585.22","1.00"
"BML PRL","BML-L","BAC","FLR","","11.00","07/01/2025","5/21/2010","NONE","0.32","4.00%","","","7537.21","Bank","","41.00","","","","","","21.06","","","22.65","23.02","-7.01","-8.52","19.80","24.77","19.31","24.77","20.89","1.09","-3.88","81.92","76.92","64.11","60.90","-3.88","1.58","53.99","78.97","21954.00","18337.00","13940.00","18077.00","80.51","51.83","54.15","75.47","585.22","1.00"
"BML PRL","BML-L","BAC","FLR","","11.00","07/01/2025","5/21/2010","NONE","0.32","4.00%","","","7537.21","Bank","","41.00","","","","","","21.06","","","22.65","23.02","-7.01","-8.52","19.80","24.77","19.31","24.77","20.89","1.09","-3.88","81.92","76.92","64.11","60.90","-3.88","1.58","53.99","78.97","21954.00","18337.00","13940.00","18077.00","80.51","51.83","54.15","75.47","585.22","1.00"
