"PREF IBKR","PREF YF","CMON","FF-FR_","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CMON OUTS SHARES","CMON SECTOR","LAST PRICE","TIME TO DIV","DIV ADJ.PRICE","Unnamed: 18","Unnamed: 19","Unnamed: 20","Unnamed: 21","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","Div adj.price","COM_LAST_PRICE","COM_52W_LOW","COM_52W_HIGH","COM_6M_PRICE","COM_3M_PRICE","COM_5Y_LOW","COM_5Y_HIGH","COM_MKTCAP","CRDT_SCORE","COM_FEB2020_PRICE","COM_MAR2020_PRICE","COM_5Y_LOW_CHG","COM_5Y_HIGH_CHG","COM_52W_LOW_CHG","COM_52W_HIGH_CHG","COM_6M_CHG","COM_3M_CHG","COM_FEB2020_CHG","COM_MAR2020_CHG","5Y_LOW_SKOR","5Y_HIGH_SKOR","52W_LOW_SKOR","52W_HIGH_SKOR","COM_6M_SKOR","COM_3M_SKOR","FEB2020_SKOR","MAR2020_SKOR","Normalized_5Y_LOW","Normalized_5Y_HIGH","Normalized_52W_LOW","Normalized_52W_HIGH","Normalized_COM_6M","Normalized_COM_3M","Normalized_FEB2020","Normalized_MAR2020","52W_HIGH_CHG","5Y_HIGH_CHG","52W_LOW_CHG","5Y_LOW_CHG","5Y_CHG","5Y CHG SKOR","52W_CHG","52W CHG SKOR","TOTAL_HIGH_SCORE","3M_PERF","6M_PERF","RECENT_TOTAL","MKTCAP_NORM","CRDT_NORM","SOLIDITY_SCORE","H2020_SKOR","H2020_NORM","L2020_SKOR","L2020_NORM","COM_6M_NORM","COM_3M_NORM","MKTCAP_RANGE"
"ARGD","ARGD","-","","BB","9.500000","05/30/2025","9/15/2017","9/15/2042","0.410000","6.50%","24.350000","21.310000","-","-","","9.000000","","","","","","20.200000","-1.110000","-4.150000","21.080000","21.800000","-4.180000","-7.320000","19.190000","22.850000","19.190000","24.240000","19.830000","","","","","","","","","","","","","","","","","","","","10.000000","10.000000","10.000000","10.000000","","","","","","","","","","","","","","","","","","","","","10.000000","","","","35.000000","","","0.000000","1.000000","0.000000","1.000000","","","<1B USD"
"ARGO PRA","ARGO-A","-","NFF","","8.500000","05/27/2025","9/15/2025","NONE","0.440000","7.00%","","","-","-","","6.000000","","","","","","25.210000","","","25.060000","24.890000","0.580000","1.270000","24.270000","25.360000","20.760000","25.490000","24.800000","","","","","","","","","","","","","","","","","","","","10.000000","10.000000","10.000000","10.000000","","","","","","","","","","","","","","","","","","","","","10.000000","","","","35.000000","","","0.000000","1.000000","0.000000","1.000000","","","<1B USD"
"ARR PRC","ARR-C","ARR","","","8.000000","05/15/2025","1/28/2025","","0.150000","7.00%","22.600000","18.060000","81.90","Reit","","84.000000","","","","","","20.600000","2.540000","-2.000000","21.260000","21.640000","-3.120000","-4.790000","19.270000","23.580000","17.850000","23.580000","20.590000","16.780000","13.180000","21.930000","18.700000","18.960000","13.180000","62.800000","1.374282","8.000000","","","0.273141","-0.732803","0.273141","-0.234838","-0.102674","-0.114979","","","31.851290","24.047771","31.851290","68.864569","-0.446476","-1.254916","","","47.309414","33.630060","71.895515","94.012950","59.731273","50.223646","","","-0.234838","-0.732803","0.273141","0.273141","0.273141","11.170127","0.273141","27.093407","46.456170","-0.114979","-0.102674","-0.217653","40.935705","33.029412","42.082399","0.000000","1.000000","0.000000","1.000000","65.064664","56.169744","<1B USD"
"ASBA","ASBA","ASB","NFF","","11.000000","05/15/2025","3/1/2028","3/1/2033","0.410000","6.63%","","","165.95","Regionalbank","","84.000000","","","","","","24.210000","","","24.400000","24.030000","-0.760000","0.730000","22.990000","25.300000","18.820000","25.300000","24.180000","24.140000","18.320000","28.180000","26.710000","25.410000","11.780000","28.180000","4.006033","11.000000","20.280000","11.700000","1.049236","-0.143364","0.317686","-0.143364","-0.096219","-0.049980","0.190335","1.063248","90.000000","77.097232","35.414847","77.097232","-0.269843","0.488994","516.545060","423.282960","64.013382","94.768913","74.681674","94.625127","60.413285","56.475026","19.145253","21.112468","-0.143364","-0.143364","0.317686","1.049236","1.049236","14.795532","0.317686","30.133109","77.097232","-0.049980","-0.096219","-0.146199","47.515082","50.500000","61.011720","36.647261","48.231070","37.556189","47.983600","65.656347","61.674357","<1B USD"
"ATCO PRD","ATCO-D","-","","","8.000000","07/25/2025","1/30/2018","NONE","0.500000","7.95%","25.270000","23.860000","-","-","","65.000000","","","","","","25.090000","1.230000","-0.180000","25.060000","25.030000","0.120000","0.230000","24.140000","25.980000","22.000000","25.980000","24.950000","","","","","","","","","","","","","","","","","","","","10.000000","10.000000","10.000000","10.000000","","","","","","","","","","","","","","","","","","","","","10.000000","","","","35.000000","","","0.000000","1.000000","0.000000","1.000000","","","<1B USD"
"ATCO PRH","ATCO-H","-","","","8.000000","07/25/2025","8/11/2021","NONE","0.490000","7.88%","24.950000","22.380000","-","-","","65.000000","","","","","","24.970000","2.590000","0.020000","24.870000","24.860000","0.420000","0.460000","23.780000","25.490000","21.280000","25.490000","24.830000","","","","","","","","","","","","","","","","","","","","10.000000","10.000000","10.000000","10.000000","","","","","","","","","","","","","","","","","","","","","10.000000","","","","35.000000","","","0.000000","1.000000","0.000000","1.000000","","","<1B USD"
"ATCOL","ATCOL","-","","","8.000000","07/15/2025","5/13/2023","10/30/2027","0.450000","7.13%","","","-","-","","55.000000","","","","","","25.060000","","","24.940000","24.940000","0.500000","0.460000","22.450000","25.450000","22.450000","25.900000","24.880000","","","","","","","","","","","","","","","","","","","","10.000000","10.000000","10.000000","10.000000","","","","","","","","","","","","","","","","","","","","","10.000000","","","","35.000000","","","0.000000","1.000000","0.000000","1.000000","","","<1B USD"
"ATH PRA","ATH-A","-","NFF","","11.500000","06/13/2025","6/30/2029","NONE","0.400000","6.35%","","","-","-","","23.000000","","","","","","24.130000","","","24.350000","24.540000","-0.910000","-1.660000","22.000000","25.710000","19.810000","25.710000","23.830000","","","","","","","","","","","","","","","","","","","","10.000000","10.000000","10.000000","10.000000","","","","","","","","","","","","","","","","","","","","","10.000000","","","","35.000000","","","0.000000","1.000000","0.000000","1.000000","","","<1B USD"
"ATH PRC","ATH-C","-","NFF","","11.500000","06/13/2025","9/30/2025","NONE","0.400000","6.38%","","","-","-","","23.000000","","","","","","25.150000","","","25.100000","25.090000","0.220000","0.240000","24.240000","25.460000","22.050000","25.640000","24.850000","","","","","","","","","","","","","","","","","","","","10.000000","10.000000","10.000000","10.000000","","","","","","","","","","","","","","","","","","","","","10.000000","","","","35.000000","","","0.000000","1.000000","0.000000","1.000000","","","<1B USD"
"ATH PRE","ATH-E","-","NFF","","11.500000","06/13/2025","12/30/2027","NONE","0.480000","7.75%","","","-","-","","23.000000","","","","","","25.700000","","","25.790000","26.250000","-0.360000","-2.100000","24.170000","27.500000","23.610000","27.500000","25.340000","","","","","","","","","","","","","","","","","","","","10.000000","10.000000","10.000000","10.000000","","","","","","","","","","","","","","","","","","","","","10.000000","","","","35.000000","","","0.000000","1.000000","0.000000","1.000000","","","<1B USD"
"ATHS","ATHS","-","NFF","","12.000000","06/12/2025","3/30/2029","3/30/2064","0.450000","7.25%","","","-","-","","22.000000","","","","","","24.890000","","","25.210000","25.340000","-1.270000","-1.780000","24.010000","26.250000","24.010000","26.250000","24.550000","","","","","","","","","","","","","","","","","","","","10.000000","10.000000","10.000000","10.000000","","","","","","","","","","","","","","","","","","","","","10.000000","","","","35.000000","","","0.000000","1.000000","0.000000","1.000000","","","<1B USD"
"ATLCL","ATLCL","ATLC","","","8.000000","07/11/2025","10/2/2026","12/31/2026","0.380000","6.13%","24.520000","21.610000","15.11","Creditservices","","51.000000","","","","","","24.150000","2.540000","-0.370000","24.050000","23.500000","0.400000","2.780000","22.900000","24.760000","20.620000","24.760000","23.990000","50.420000","24.020000","64.700000","54.300000","61.450000","7.441500","91.981500","0.761846","8.000000","16.400000","5.490000","5.775516","-0.451846","1.099084","-0.220711","-0.071455","-0.179496","2.074390","8.183971","90.000000","49.333833","90.000000","70.136012","0.407767","-2.985895","1373.699040","1970.406228","85.914654","68.866712","98.370607","96.079224","63.029672","44.018619","49.255455","94.624680","-0.220711","-0.451846","1.099084","5.775516","5.775516","36.873606","1.099084","83.455536","59.734923","-0.179496","-0.071455","-0.250950","38.809230","33.029412","46.830150","34.799296","45.849409","31.676919","40.628508","67.926206","50.705947","<1B USD"
