Symbol,Group,Source
SCE PRL,2,historical_data.csv
CUBB,11,historical_data.csv
BWBBP,11,historical_data.csv
EMP,9,historical_data.csv
NCV PRA,7,historical_data.csv
GAB PRK,7,historical_data.csv
AMH PRH,7,historical_data.csv
TDS PRV,6,historical_data.csv
BHFAN,8,historical_data.csv
SOJD,9,historical_data.csv
MBINN,8,historical_data.csv
SIGIP,1,historical_data.csv
TRTN PRD,5,historical_data.csv
DUKB,4,historical_data.csv
ATH PRB,10,historical_data.csv
COF PRN,10,historical_data.csv
GNT PRA,7,historical_data.csv
MGRB,10,historical_data.csv
PSA PRH,4,historical_data.csv
HIG PRG,4,historical_data.csv
CADE PRA,1,historical_data.csv
MGRD,10,historical_data.csv
TFC PRO,9,historical_data.csv
HFRO PRA,7,historical_data.csv
UNMA,4,historical_data.csv
STT PRG,4,historical_data.csv
