"PREF IBKR","CMON","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","TIME TO DIV","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","Aug4_chg","Oct19_chg","Aug4_chg_norm","Oct19_chg_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm","ADV_6M","ADV_3M","ADV_15D","AVG_ADV","SOLIDITY_SCORE","CUR_YIELD","FINAL_THG","SOLIDITY_WEIGHT_USED","YIELD_WEIGHT_USED"
"COF PRN","COF","","10","11/13/2024","","","0.27","4.25","19.94","13.68","16.54","2.86","-3.40","16.60","17.33","-0.37","-4.55","15.15","19.81","13.26","19.81","81.00","16.51","1.36","-3.30","47.42","45.31","49.59","48.20","-3.43","2.83","46.52","46.42","-3.30","3.25","47.66","62.14","33194.00","30051.00","21749.00","28331.00","73.19","0.06","370.18","2.07","702.15"
"CUBB","CUBI","BB","NR","12/13/2024","","","0.34","5.38","23.56","18.75","20.36","1.61","-3.20","19.81","19.92","2.75","2.20","18.30","21.85","16.50","22.00","21.00","20.10","1.80","-1.75","29.15","15.85","37.49","25.86","-3.46","1.35","46.83","59.83","-1.90","3.60","27.23","58.93","2288.00","2837.00","2262.00","2462.00","47.71","0.07","264.37","2.07","702.15"
"DCOMP","DCOM","","8","11/5/2024","2/15/2025","","0.34","5.50","22.38","14.51","18.89","4.37","-3.50","19.31","18.99","-2.21","-0.56","17.51","21.44","13.30","21.44","73.00","18.82","1.31","-2.62","58.20","27.89","50.96","38.40","-3.56","4.31","47.85","33.01","-2.62","5.52","37.74","41.34","6032.00","4343.00","4083.00","4819.00","24.59","0.07","242.23","2.07","702.15"
"DLR PRJ","DLR","","10.5","12/13/2024","","","0.33","5.25","25.38","19.55","21.37","1.82","-4.01","21.31","22.23","0.30","-3.86","20.02","24.63","19.06","24.63","21.00","21.12","1.10","-3.51","43.50","42.30","56.74","51.23","-4.26","1.57","55.01","57.84","-3.51","2.06","50.73","73.05","12968.00","13618.00","10308.00","12298.00","70.24","0.06","369.42","2.07","702.15"
"DLR PRK","DLR","","10.5","12/13/2024","","","0.37","5.88","26.40","22.00","23.22","1.22","-3.18","23.54","24.17","-1.35","-3.92","22.10","25.61","21.40","25.61","21.00","22.94","0.84","-2.67","53.16","42.56","63.88","39.12","-3.46","0.94","46.83","63.54","-2.67","1.54","38.47","77.81","13726.00","15636.00","26698.00","18687.00","70.24","0.06","373.44","2.07","702.15"
"DLR PRL","DLR","","10.5","12/13/2024","","","0.33","5.20","25.37","19.32","20.56","1.24","-4.81","20.78","21.89","-1.05","-6.07","19.61","24.45","19.01","24.45","21.00","20.31","0.70","-4.14","51.41","51.94","67.73","60.31","-5.06","0.99","63.20","63.09","-4.14","1.30","59.93","80.01","18512.00","23131.00","17889.00","19844.00","70.24","0.06","401.04","2.07","702.15"
"DTB","DTE","BB","11.5","12/27/2024","","","0.27","4.38","22.29","17.30","17.39","0.09","-4.90","18.14","19.36","-4.11","-10.16","16.98","21.90","16.98","22.86","35.00","17.23","0.25","-4.67","69.33","69.79","80.10","67.95","-5.06","-0.07","63.20","72.70","-5.63","0.25","81.68","89.63","14381.00","12277.00","11516.00","12725.00","74.39","0.06","456.44","2.07","702.15"
"DTG","DTE","BB","11.5","11/15/2024","","","0.27","4.38","20.89","17.32","17.33","0.01","-3.56","18.13","19.43","-4.39","-10.80","16.88","22.05","16.88","22.25","83.00","17.31","0.43","-4.74","70.97","72.59","75.15","68.95","-3.58","-0.01","48.06","72.15","-4.94","0.43","71.61","87.98","21796.00","23542.00","16612.00","20650.00","74.39","0.06","453.50","2.07","702.15"
"DTW","DTE","BB","11.5","11/15/2024","12/1/2022","","0.33","5.25","25.42","20.88","21.37","0.48","-4.06","22.01","23.02","-2.97","-7.22","20.55","25.11","20.42","25.17","83.00","21.33","0.78","-3.78","62.65","56.96","65.53","55.12","-4.09","0.45","53.27","67.98","-3.84","0.91","55.55","83.59","22355.00","19050.00","15083.00","18829.00","74.39","0.06","417.87","2.07","702.15"
"DUK PRA","DUK","","11","11/15/2024","","","0.36","5.75","26.49","22.91","24.78","1.87","-1.71","24.90","25.00","-0.46","-0.86","24.06","25.66","22.71","25.73","83.00","24.75","0.69","-0.91","47.95","29.20","68.01","13.75","-1.74","1.84","29.23","55.39","-0.98","2.04","13.80","73.23","57602.00","62023.00","51006.00","56877.00","76.02","0.06","356.08","2.07","702.15"
"DUKB","DUK","BB","12","12/13/2024","","","0.35","5.63","26.08","21.93","24.92","2.99","-1.16","24.51","24.69","1.66","0.93","23.30","25.47","21.80","25.59","21.00","24.65","1.35","-0.82","35.53","21.39","49.86","12.45","-1.43","2.72","26.06","47.42","-0.94","2.85","13.21","65.81","25702.00","29362.00","27142.00","27402.00","77.54","0.06","324.10","2.07","702.15"
"ECF PRA","ECF","","16","12/16/2024","","","0.33","5.25","24.84","21.83","21.57","-0.26","-3.27","22.05","22.52","-2.17","-4.22","20.21","24.43","20.21","24.43","24.00","21.33","1.12","-3.10","57.96","43.87","56.19","45.32","-3.51","-0.50","47.34","76.59","-3.10","1.12","44.74","81.66","1841.00","1006.00","977.00","1275.00","60.69","0.06","361.00","2.07","702.15"
"EFSCP","EFSC","","NR","11/27/2024","","","0.31","5.00","21.75","15.40","19.11","3.75","-2.60","18.96","19.63","0.98","-2.44","17.20","22.22","13.68","22.22","5.00","18.86","1.66","-3.36","39.52","36.10","41.34","49.06","-2.89","3.46","41.00","40.71","-3.36","5.18","48.54","44.46","2603.00","2453.00","2304.00","2453.00","23.06","0.07","241.41","2.07","702.15"
"ELC","ETR","BB","15","11/29/2024","","","0.30","4.88","25.30","20.02","20.50","0.48","-4.80","20.93","21.74","-2.05","-5.72","19.93","23.43","19.86","23.59","7.00","20.22","0.29","-3.21","57.26","50.41","79.00","46.90","-5.08","0.20","63.40","70.25","-3.37","0.36","48.69","88.63","13611.00","10793.00","9926.00","11444.00","80.79","0.06","424.21","2.07","702.15"
"EMP","ETR","BB","14.5","12/27/2024","","","0.31","4.90","25.30","20.07","20.57","0.50","-4.73","21.01","21.97","-2.11","-6.38","20.01","23.61","19.90","24.23","35.00","20.38","0.37","-3.23","57.61","53.30","76.80","47.19","-4.92","0.31","61.76","69.25","-3.85","0.48","55.69","87.53","12317.00","11458.00","13314.00","12363.00","80.79","0.06","427.96","2.07","702.15"
"ENJ","ETR","BB","14.5","11/29/2024","12/1/2017","","0.31","5.00","24.79","19.49","20.52","1.03","-4.27","21.02","21.80","-2.39","-5.87","20.02","24.59","19.31","24.59","7.00","20.23","0.21","-4.36","59.25","51.07","81.20","63.48","-4.56","0.74","58.08","65.36","-4.36","0.92","63.14","83.49","1724.00","1596.00","869.00","1396.00","80.79","0.06","430.44","2.07","702.15"
"ENO","ETR","BB","13","12/27/2024","","","0.34","5.50","25.40","20.75","22.27","1.52","-3.13","22.21","23.14","0.29","-3.74","21.21","25.32","20.50","25.32","35.00","22.06","0.85","-3.26","43.56","41.77","63.61","47.62","-3.34","1.31","45.60","60.19","-3.26","1.56","47.08","77.63","7679.00","9277.00","5497.00","7484.00","80.79","0.06","390.52","2.07","702.15"
"EQH PRA","EQH","","10.5","11/29/2024","","","0.33","5.25","23.77","17.79","20.13","2.34","-3.64","20.77","21.79","-3.10","-7.64","18.41","23.89","17.26","23.89","7.00","19.83","1.42","-4.06","63.41","58.79","47.94","59.15","-3.94","2.04","51.74","53.58","-4.06","2.57","58.76","68.37","45386.00","46900.00","52007.00","48098.00","67.83","0.07","405.77","2.07","702.15"
"EQH PRC","EQH","","10.5","11/29/2024","","","0.27","4.30","21.08","13.95","16.50","2.55","-4.58","17.41","18.30","-5.23","-9.83","15.83","20.69","13.35","20.69","7.00","16.25","0.42","-4.44","75.89","68.35","75.43","64.63","-4.83","2.30","60.84","51.22","-4.44","2.90","64.31","65.35","21647.00","25175.00","20576.00","22466.00","67.83","0.07","428.49","2.07","702.15"
"ETI PR","ETR","","10","12/30/2024","","","0.34","5.38","25.50","21.75","22.92","1.17","-2.58","23.76","23.75","-3.55","-3.50","22.71","25.23","21.39","25.43","38.00","22.72","0.01","-2.51","66.05","40.73","86.70","36.81","-2.78","0.97","39.87","63.27","-2.71","1.33","39.05","79.74","2054.00","1542.00","1913.00","1836.00","79.21","0.06","400.77","2.07","702.15"
"F PRB","F","BB","9.5","11/12/2024","6/1/2024","","0.39","6.20","26.79","20.83","20.44","-0.39","-6.35","22.12","23.59","-7.58","-13.35","19.90","25.39","19.90","25.64","80.00","20.40","0.50","-4.99","89.65","83.72","73.23","72.56","-6.39","-0.43","76.80","75.96","-5.24","0.50","75.99","87.34","41036.00","43836.00","41555.00","42143.00","56.60","0.08","465.44","2.07","702.15"
"F PRC","F","BB","9","11/12/2024","12/1/2024","","0.38","6.00","25.99","20.49","20.25","-0.24","-5.74","21.56","23.20","-6.08","-12.73","19.20","25.35","19.20","25.38","80.00","20.21","1.01","-5.14","80.86","81.01","59.21","74.72","-5.78","-0.28","70.56","74.60","-5.17","1.01","74.96","82.67","47936.00","46897.00","43275.00","46036.00","56.60","0.07","443.67","2.07","702.15"
"FBRT PRE","FBRT","","NR","12/27/2024","","","0.47","7.50","21.68","18.20","20.42","2.22","-1.26","20.80","21.45","-1.83","-4.81","19.05","23.65","18.03","23.65","35.00","20.13","1.08","-3.52","55.97","46.44","57.29","51.37","-1.55","1.93","27.29","54.58","-3.52","2.10","50.88","72.68","14012.00","13585.00","11234.00","12944.00","25.18","0.09","302.81","2.07","702.15"
"FCNCO","FCNCA","","9.5","11/27/2024","","","0.35","5.63","24.08","19.40","22.71","3.34","-1.34","22.44","22.94","1.34","-0.88","20.57","24.83","18.91","24.83","5.00","22.41","1.84","-2.42","37.41","29.29","36.39","35.51","-1.67","3.01","28.52","44.79","-2.42","3.50","34.82","59.85","13053.00","12312.00","13033.00","12799.00","61.49","0.06","303.46","2.07","702.15"
"FCNCP","FCNCA","","9.5","11/27/2024","","","0.34","5.38","23.66","18.85","21.20","2.39","-2.42","21.72","22.36","-2.22","-5.03","19.30","24.42","18.69","24.42","5.00","20.92","1.62","-3.50","58.26","47.40","42.44","51.08","-2.74","2.07","39.46","53.31","-3.50","2.23","50.58","71.49","14527.00","17733.00","15314.00","15858.00","61.49","0.06","355.69","2.07","702.15"
"FHN PRF","FHN","","8.5","12/20/2024","","","0.29","4.70","","","17.70","","","17.77","18.37","-0.39","-3.64","16.41","21.48","13.13","21.48","28.00","17.50","1.09","-3.98","47.54","41.34","57.01","58.00","","","34.08","44.64","-3.98","4.37","57.59","51.88","6442.00","5900.00","3943.00","5428.00","59.13","0.07","341.31","2.07","702.15"
"FITBO","FITB","","10.5","12/26/2024","","","0.31","4.95","25.79","17.93","21.61","3.68","-4.18","21.80","21.83","-0.89","-1.01","19.52","24.15","17.58","24.15","34.00","21.42","1.90","-2.73","50.47","29.86","34.74","39.98","-4.37","3.49","56.14","40.44","-2.73","3.84","39.34","56.74","19171.00","19739.00","24708.00","21206.00","63.21","0.06","322.15","2.07","702.15"
"FITBP","FITB","","NR","12/26/2024","","","0.38","6.00","25.60","22.13","24.40","2.37","-1.10","24.54","24.42","-0.17","0.32","23.04","25.90","21.01","25.90","34.00","24.26","1.22","-1.64","46.25","24.05","53.44","24.27","-1.34","2.13","25.14","52.76","-1.64","3.25","23.43","62.14","8723.00","9049.00","10249.00","9340.00","63.21","0.06","307.75","2.07","702.15"
"FRT PRC","FRT","","12.5","1/2/2025","","","0.31","5.00","25.75","19.64","20.32","0.68","-5.43","20.92","21.45","-2.88","-5.28","19.41","23.27","18.57","23.90","41.00","20.15","0.74","-3.12","62.12","48.49","66.63","45.60","-5.60","0.51","68.72","67.44","-3.75","1.58","54.23","77.45","6414.00","5950.00","5346.00","5904.00","42.08","0.06","336.36","2.07","702.15"
"FULTP","FULT","","11","12/2/2024","","","0.32","5.13","23.10","15.09","18.90","3.85","-4.16","19.52","19.31","-2.97","-1.90","17.25","21.22","14.56","21.22","10.00","18.66","1.41","-2.56","62.65","33.74","48.21","37.53","-4.44","3.57","56.85","39.72","-2.56","4.10","36.86","54.35","9295.00","6598.00","2630.00","6175.00","56.18","0.07","323.54","2.07","702.15"
"GAB PRG","GAB","","16","12/16/2024","","","0.31","5.00","24.50","21.00","21.05","0.05","-3.45","21.24","21.86","-0.88","-3.70","20.17","24.20","20.17","24.20","24.00","20.82","0.65","-3.38","50.41","41.60","69.11","49.35","-3.68","-0.18","49.08","73.69","-3.38","0.65","48.83","85.97","4042.00","5020.00","2833.00","3965.00","67.41","0.06","377.54","2.07","702.15"
"GAB PRH","GAB","","16","12/16/2024","","","0.31","5.00","23.89","20.98","21.02","0.04","-2.87","21.25","21.90","-1.09","-4.02","20.40","24.24","20.40","24.24","24.00","20.79","0.39","-3.45","51.64","43.00","76.25","50.36","-3.10","-0.19","43.15","73.78","-3.45","0.39","49.85","88.35","8656.00","9242.00","3986.00","7295.00","67.41","0.06","383.57","2.07","702.15"
"GAB PRK","GAB","","16","12/16/2024","","","0.31","5.00","24.40","21.23","21.17","-0.07","-3.24","21.28","21.91","-0.59","-3.44","20.50","24.25","20.50","24.25","24.00","20.93","0.43","-3.32","48.71","40.46","75.15","48.49","-3.47","-0.30","46.93","74.78","-3.32","0.43","47.96","87.98","7293.00","7754.00","4518.00","6522.00","67.41","0.06","378.47","2.07","702.15"
"GDV PRH","GDV","","17","12/16/2024","","","0.34","5.38","25.85","22.55","23.08","0.53","-2.77","23.37","23.71","-1.25","-2.64","22.51","25.34","22.00","25.34","24.00","22.83","0.32","-2.51","52.58","36.97","78.18","36.81","-3.02","0.28","42.33","69.52","-2.51","0.83","36.13","84.32","3133.00","2832.00","2006.00","2657.00","71.99","0.06","374.94","2.07","702.15"
"GDV PRK","GDV","","17","12/13/2024","","","0.27","4.25","20.82","17.65","18.41","0.76","-2.41","18.69","19.15","-1.50","-3.86","17.97","21.49","16.96","21.49","21.00","18.20","0.23","-3.29","54.04","42.30","80.65","48.05","-2.62","0.55","38.24","67.08","-3.29","1.24","47.52","80.56","9262.00","8869.00","4943.00","7691.00","71.99","0.06","387.57","2.07","702.15"
"GGN PRB","GGN","","15","12/16/2024","5/7/2018","","0.31","5.00","23.67","21.38","20.74","-0.64","-2.93","20.84","21.45","-0.49","-3.30","19.84","24.15","19.84","24.15","24.00","20.51","0.67","-3.64","48.13","39.85","68.56","53.10","-3.16","-0.87","43.76","79.94","-3.64","0.67","52.63","85.78","8244.00","10135.00","6352.00","8244.00","66.40","0.06","377.05","2.07","702.15"
"GGT PRE","GGT","","15","12/16/2024","","","0.32","5.13","24.85","22.98","22.68","-0.30","-2.17","22.90","22.97","-0.97","-1.25","22.50","24.70","21.41","24.70","24.00","22.45","-0.05","-2.25","50.94","30.91","88.35","33.06","-2.40","-0.53","35.98","76.86","-2.25","1.04","32.34","82.39","875.00","649.00","214.00","579.00","50.30","0.06","324.47","2.07","702.15"
"GGT PRG","GGT","","15","12/16/2024","12/20/2024","","0.32","5.13","24.59","22.95","22.80","-0.15","-1.79","22.78","22.94","0.10","-0.60","22.32","24.47","21.87","24.47","24.00","22.57","0.25","-1.90","44.67","28.07","80.10","28.02","-2.02","-0.38","32.10","75.50","-1.90","0.70","27.23","85.51","974.00","1021.00","480.00","825.00","50.30","0.06","311.96","2.07","702.15"
"GNT PRA","GNT","","15","11/15/2024","","","0.33","5.20","24.55","21.53","21.52","-0.01","-3.03","21.74","22.22","-1.03","-3.17","21.33","24.30","21.17","24.30","83.00","21.49","0.16","-2.81","51.29","39.29","82.58","41.14","-3.06","-0.04","42.74","72.42","-2.81","0.32","40.51","88.99","1062.00","817.00","486.00","788.00","66.77","0.06","372.55","2.07","702.15"
"HBANP","HBAN","","10","1/2/2025","","","0.28","4.50","20.81","14.07","17.68","3.58","-3.16","17.79","18.40","-0.78","-4.09","16.22","20.74","13.71","20.74","41.00","17.50","1.28","-3.24","49.82","43.30","51.79","47.33","-3.31","3.43","45.29","40.99","-3.24","3.79","46.79","57.19","37372.00","40168.00","58993.00","45511.00","62.82","0.06","348.74","2.07","702.15"
"HFRO PRA","HFRO","","16","12/20/2024","","","0.34","5.38","23.45","17.01","15.26","-1.75","-8.19","16.11","17.91","-5.28","-14.79","14.50","21.09","14.50","21.09","28.00","15.03","0.53","-6.06","76.18","90.00","72.41","87.98","-8.42","-1.98","34.08","90.00","-6.06","0.53","87.96","87.07","19296.00","18925.00","7955.00","15392.00","54.32","0.09","464.90","2.07","702.15"
"HIG PRG","HIG","","11","11/1/2024","11/15/2023","","0.38","6.00","26.60","22.89","24.97","2.08","-1.63","24.99","25.05","-0.09","-0.30","23.99","25.53","22.76","25.60","69.00","24.88","0.89","-0.65","45.78","26.76","62.51","10.00","-1.72","1.99","29.03","54.03","-0.72","2.12","10.00","72.50","17336.00","19033.00","13739.00","16703.00","73.74","0.06","332.47","2.07","702.15"
"HWCPZ","HWC","BB","11","11/27/2024","6/15/2025","","0.39","6.25","26.56","22.45","24.11","1.83","-2.28","23.79","24.03","2.05","1.03","22.21","26.19","19.75","26.19","5.00","23.91","1.70","-2.28","33.25","20.95","40.24","33.50","-2.65","1.46","38.54","58.83","-2.28","4.16","32.77","53.80","7831.00","8739.00","5976.00","7515.00","63.19","0.06","299.35","2.07","702.15"
"INN PRE","INN","","NR","11/13/2024","11/13/2022","","0.39","6.25","21.22","18.14","19.00","0.86","-2.22","19.87","20.59","-4.39","-7.71","17.30","21.77","17.03","22.48","81.00","18.96","1.66","-2.81","70.97","59.10","41.34","41.14","-2.26","0.82","34.55","64.63","-3.52","1.93","50.88","74.24","10725.00","7235.00","3314.00","7091.00","35.57","0.08","332.25","2.07","702.15"
"INN PRF","INN","","NR","11/13/2024","8/12/2026","","0.37","5.88","21.02","18.07","19.03","0.96","-1.99","19.01","20.07","0.13","-5.18","17.03","22.00","16.07","22.00","81.00","18.99","1.96","-3.01","44.49","48.06","33.09","44.02","-2.03","0.92","32.20","63.73","-3.01","2.92","43.43","65.17","5423.00","5403.00","2778.00","4535.00","35.57","0.08","296.79","2.07","702.15"
"JPM PRC","JPM","","11.5","10/29/2024","3/1/2024","","0.38","6.00","26.10","24.11","25.07","0.96","-1.03","25.21","25.27","-0.56","-0.79","24.74","25.82","23.87","25.82","66.00","24.97","0.23","-0.85","48.54","28.90","80.65","12.88","-1.13","0.86","22.99","64.27","-0.85","1.10","11.90","81.84","111190.00","115868.00","141160.00","122739.00","81.65","0.06","393.15","2.07","702.15"
"JPM PRD","JPM","","11.5","10/29/2024","12/1/2023","","0.36","5.75","25.75","23.30","24.35","1.05","-1.40","24.80","24.97","-1.80","-2.49","24.02","25.67","22.83","25.67","66.00","24.25","0.23","-1.42","55.80","36.32","80.65","21.10","-1.50","0.95","26.78","63.45","-1.42","1.42","20.22","78.91","97919.00","110743.00","117485.00","108716.00","81.65","0.06","405.63","2.07","702.15"
"JPM PRJ","JPM","","11.5","10/29/2024","","","0.30","4.75","23.74","19.38","19.89","0.51","-3.85","20.70","21.65","-3.93","-8.13","19.65","24.85","19.02","24.85","66.00","19.81","0.16","-5.04","68.27","60.93","82.58","73.28","-3.93","0.43","51.64","68.17","-5.04","0.79","73.07","84.68","71391.00","72451.00","92996.00","78946.00","81.65","0.06","473.56","2.07","702.15"
"JPM PRK","JPM","","11.5","10/29/2024","","","0.28","4.55","21.65","18.67","18.92","0.24","-2.74","19.81","20.68","-4.53","-8.57","18.66","23.04","18.32","23.04","66.00","18.84","0.18","-4.20","71.79","62.85","82.03","61.17","-2.81","0.17","40.18","70.52","-4.20","0.52","60.80","87.16","133440.00","122843.00","179509.00","145264.00","81.65","0.06","485.06","2.07","702.15"
"JPM PRL","JPM","","11.5","10/29/2024","","","0.29","4.63","21.62","18.94","19.35","0.41","-2.27","20.11","21.04","-3.80","-8.03","19.07","23.44","18.71","23.44","66.00","19.27","0.20","-4.17","67.51","60.50","81.48","60.74","-2.35","0.33","35.47","69.07","-4.17","0.56","60.36","86.79","142914.00","125359.00","123660.00","130644.00","81.65","0.06","474.77","2.07","702.15"
"JPM PRM","JPM","","11.5","10/29/2024","","","0.26","4.20","20.70","17.17","17.71","0.54","-2.99","18.44","19.29","-3.93","-8.19","17.44","21.68","16.96","21.68","66.00","17.64","0.20","-4.04","68.27","61.19","81.48","58.86","-3.06","0.47","42.74","67.80","-4.04","0.68","58.47","85.69","180226.00","176375.00","181594.00","179398.00","81.65","0.06","487.11","2.07","702.15"
"JSM","NAVI","BB","7.5","12/13/2024","","","0.38","6.00","23.50","16.70","18.45","1.79","-5.01","18.57","19.35","-0.45","-4.43","16.51","21.29","16.06","21.82","21.00","18.20","1.69","-3.09","47.89","44.78","40.52","45.17","-5.30","1.50","65.65","58.47","-3.62","2.14","52.34","72.31","14455.00","15882.00","12261.00","14199.00","44.29","0.08","329.61","2.07","702.15"
"KEY PRJ","KEY","","10.5","11/27/2024","","","0.35","5.65","25.36","16.17","21.42","5.24","-3.95","21.63","21.86","-1.04","-2.05","19.97","24.18","15.19","24.18","5.00","21.08","1.11","-3.10","51.35","34.40","56.46","45.32","-4.28","4.91","55.22","27.58","-3.10","5.89","44.74","37.95","29226.00","27941.00","23567.00","26911.00","58.89","0.07","325.40","2.07","702.15"
"KEY PRK","KEY","","10.5","11/27/2024","","","0.35","5.63","26.17","16.05","21.07","5.02","-5.10","21.54","21.87","-2.17","-3.68","19.76","24.43","14.99","24.43","5.00","20.74","0.98","-3.69","57.96","41.51","60.03","53.82","-5.43","4.69","66.98","29.57","-3.69","5.75","53.36","39.23","24062.00","20478.00","21276.00","21939.00","58.89","0.07","345.00","2.07","702.15"
"KIM PRL","KIM","","11.5","12/27/2024","","","0.32","5.13","25.42","19.20","19.88","0.68","-5.54","20.62","21.53","-3.60","-7.68","19.39","24.18","18.81","24.18","35.00","19.68","0.29","-4.50","66.34","58.97","79.00","65.50","-5.74","0.48","70.15","67.71","-4.50","0.87","65.18","83.95","12622.00","13366.00","9967.00","11985.00","64.56","0.06","414.57","2.07","702.15"
"KIM PRM","KIM","","11.5","12/27/2024","","","0.33","5.25","25.40","19.83","20.32","0.49","-5.08","21.10","22.08","-3.68","-7.99","19.71","25.16","19.71","25.16","35.00","20.12","0.41","-5.04","66.81","60.32","75.70","73.28","-5.28","0.29","65.45","69.43","-5.04","0.41","73.07","88.17","16570.00","16130.00","15808.00","16170.00","64.56","0.06","422.95","2.07","702.15"
"KREF PRA","KREF","","NR","11/27/2024","4/16/2026","","0.41","6.50","23.37","16.18","19.60","3.42","-3.77","19.40","19.87","1.05","-1.34","17.98","23.66","15.81","23.66","5.00","19.21","1.23","-4.45","39.11","31.30","53.16","64.77","-4.16","3.03","53.99","44.61","-4.45","3.40","64.45","60.77","18053.00","17596.00","14119.00","16589.00","38.27","0.08","304.48","2.07","702.15"
"MBINN","MBIN","","NR","12/13/2024","","","0.38","6.00","24.23","16.50","19.86","3.36","-4.37","20.87","21.43","-4.85","-7.32","18.31","24.34","16.31","24.34","21.00","19.57","1.26","-4.77","73.66","57.40","52.34","69.39","-4.66","3.07","59.10","44.25","-4.77","3.26","69.12","62.05","8079.00","8149.00","11732.00","9320.00","41.60","0.08","358.05","2.07","702.15"
"MET PRE","MET","","12","11/27/2024","","","0.35","5.63","26.50","21.22","23.59","2.37","-2.91","23.82","24.21","-0.96","-2.56","22.66","25.23","21.03","25.23","5.00","23.26","0.60","-1.97","50.88","36.62","70.48","29.03","-3.24","2.04","44.58","53.58","-1.97","2.23","28.25","71.49","53151.00","52719.00","31435.00","45768.00","74.73","0.06","371.70","2.07","702.15"
"MET PRF","MET","","12","11/27/2024","","","0.30","4.75","24.56","18.50","19.71","1.21","-4.85","20.29","20.97","-2.87","-6.02","19.00","23.21","18.33","23.21","5.00","19.43","0.43","-3.78","62.06","51.72","75.15","55.12","-5.13","0.93","63.91","63.64","-3.78","1.10","54.67","81.84","79814.00","83864.00","67596.00","77091.00","74.73","0.06","430.85","2.07","702.15"
"MFA PRB","MFA","","NR","11/27/2024","4/15/2018","","0.47","7.50","21.92","18.34","21.51","3.17","-0.41","21.29","21.54","1.02","-0.15","18.27","23.67","17.01","23.67","5.00","21.07","2.80","-2.60","39.28","26.10","10.00","38.11","-0.85","2.73","20.13","47.33","-2.60","4.06","37.45","54.72","16926.00","16256.00","11554.00","14912.00","20.91","0.09","229.10","2.07","702.15"
"MGR","AMG","BB","12","12/27/2024","","","0.37","5.88","26.29","19.60","20.75","1.15","-5.54","21.83","22.84","-4.93","-9.14","19.91","25.17","19.43","25.17","35.00","20.52","0.61","-4.65","74.13","65.34","70.21","67.66","-5.77","0.92","70.46","63.73","-4.65","1.09","67.37","81.94","17124.00","16580.00","12761.00","15488.00","65.57","0.07","431.33","2.07","702.15"
"MGRB","AMG","BB","12","12/27/2024","","","0.30","4.75","22.01","16.09","16.94","0.85","-5.07","17.84","18.89","-5.04","-10.32","16.13","21.00","15.83","21.00","35.00","16.76","0.63","-4.24","74.77","70.49","69.66","61.75","-5.25","0.67","65.14","65.99","-4.24","0.93","61.39","83.40","16994.00","19894.00","21605.00","19498.00","65.57","0.07","433.41","2.07","702.15"
"MGRD","AMG","BB","12","12/27/2024","","","0.26","4.20","19.50","15.18","15.39","0.21","-4.11","15.83","16.72","-2.78","-7.93","14.62","18.37","14.62","18.37","35.00","15.23","0.61","-3.14","61.54","60.06","70.21","45.89","-4.27","0.05","55.12","71.61","-3.14","0.61","45.33","86.33","9553.00","10249.00","8513.00","9438.00","65.57","0.07","403.90","2.07","702.15"
"MS PRK","MS","","11","12/27/2024","","","0.37","5.85","26.38","21.40","23.14","1.74","-3.24","23.98","24.57","-3.49","-5.83","22.52","26.00","21.16","26.00","35.00","22.91","0.39","-3.09","65.70","50.89","76.25","45.17","-3.47","1.51","46.93","58.38","-3.09","1.75","44.60","75.89","78835.00","84491.00","107495.00","90273.00","77.94","0.06","428.42","2.07","702.15"
"MS PRL","MS","","11","12/27/2024","","","0.30","4.88","24.00","18.32","19.68","1.36","-4.32","20.56","21.98","-4.27","-10.48","19.34","24.49","18.15","24.49","35.00","19.50","0.16","-4.99","70.26","71.19","82.58","72.56","-4.50","1.18","57.47","61.37","-4.99","1.35","72.34","79.55","27580.00","28114.00","30060.00","28585.00","77.94","0.06","459.87","2.07","702.15"
"MS PRO","MS","","11","12/27/2024","","","0.27","4.25","20.77","15.90","17.33","1.43","-3.44","18.07","18.95","-4.10","-8.57","16.82","21.47","15.70","21.47","35.00","17.16","0.34","-4.31","69.27","62.85","77.63","62.76","-3.61","1.26","48.36","60.65","-4.31","1.46","62.41","78.55","127520.00","112307.00","105343.00","115056.00","77.94","0.06","462.50","2.07","702.15"
"NCV PRA","NCV","","NR","12/5/2024","","","0.35","5.63","24.28","20.92","22.02","1.10","-2.26","21.76","22.07","1.20","-0.22","20.72","23.64","20.60","23.64","13.00","21.72","1.00","-1.92","38.23","26.41","59.48","28.31","-2.56","0.80","37.62","64.81","-1.92","1.12","27.52","81.66","5559.00","3498.00","2417.00","3825.00","23.33","0.06","240.39","2.07","702.15"
"NCZ PRA","NCZ","","NR","12/5/2024","","","0.34","5.50","24.28","20.50","20.84","0.34","-3.44","20.96","21.06","-0.58","-1.05","19.92","22.38","19.92","22.38","13.00","20.55","0.63","-1.83","48.65","30.03","69.66","27.01","-3.73","0.05","49.59","71.61","-1.83","0.63","26.20","86.15","9697.00","9728.00","8149.00","9191.00","23.99","0.07","268.46","2.07","702.15"
