PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price
EQH PRA,EQH,,10.5,11/29/2024,,,0.33,5.25%,23.77,17.79
EQH PRC,EQH,,10.5,11/29/2024,,,0.27,4.30%,21.08,13.95
ETI PR,ETR,,10,12/30/2024,,,0.34,5.38%,25.5,21.75
F PRB,F,BB,9.5,11/12/2024,6/1/2024,,0.39,6.20%,26.79,20.83
F PRC,F,BB,9,11/12/2024,12/1/2024,,0.38,6.00%,25.99,20.49
FBRT PRE,FBRT,,NR,12/27/2024,,,0.47,7.50%,21.68,18.2
FCNCO,FCNCA,,9.5,11/27/2024,,,0.35,5.63%,24.08,19.4
FCNCP,FCNCA,,9.5,11/27/2024,,,0.34,5.38%,23.66,18.85
FHN PRF,FHN,,8.5,12/20/2024,,,0.29,4.70%,,
FITBO,FITB,,10.5,12/26/2024,,,0.31,4.95%,25.79,17.93
FITBP,FITB,,NR,12/26/2024,,,0.38,6.00%,25.6,22.13
FRT PRC,FRT,,12.5,1/2/2025,,,0.31,5.00%,25.75,19.64
FULTP,FULT,,11,12/2/2024,,,0.32,5.13%,23.1,15.09
GAB PRG,GAB,,16,12/16/2024,,,0.31,5.00%,24.5,21.0
GAB PRH,GAB,,16,12/16/2024,,,0.31,5.00%,23.89,20.98
GAB PRK,GAB,,16,12/16/2024,,,0.31,5.00%,24.4,21.23
GDV PRH,GDV,,17,12/16/2024,,,0.34,5.38%,25.85,22.55
GDV PRK,GDV,,17,12/13/2024,,,0.27,4.25%,20.82,17.65
GGN PRB,GGN,,15,12/16/2024,5/7/2018,,0.31,5.00%,23.67,21.38
GGT PRE,GGT,,15,12/16/2024,,,0.32,5.13%,24.85,22.98
GGT PRG,GGT,,15,12/16/2024,12/20/2024,,0.32,5.13%,24.59,22.95
GNT PRA,GNT,,15,11/15/2024,,,0.33,5.20%,24.55,21.53
GPJA,SO,BB,11.5,12/27/2024,,,0.31,5.00%,25.62,20.82
GRBK PRA,GRBK,,NR,11/25/2024,,,0.36,5.75%,22.08,17.93
GUT PRC,GUT,,16,12/16/2024,,,0.34,5.38%,25.39,23.02
HBANM,HBAN,,9,11/15/2024,12/1/2022,,0.36,5.70%,25.47,17.8
HBANP,HBAN,,10,1/2/2025,,,0.28,4.50%,20.81,14.07
HFRO PRA,HFRO,,16,12/20/2024,,,0.34,5.38%,23.45,17.01
HIG PRG,HIG,,11,11/1/2024,11/15/2023,,0.38,6.00%,26.6,22.89
HWCPZ,HWC,BB,11,11/27/2024,6/15/2025,,0.39,6.25%,26.56,22.45
INN PRE,INN,,NR,11/13/2024,11/13/2022,,0.39,6.25%,21.22,18.14
INN PRF,INN,,NR,11/13/2024,8/12/2026,,0.37,5.88%,21.02,18.07
JPM PRC,JPM,,11.5,10/29/2024,3/1/2024,,0.38,6.00%,26.1,24.11
JPM PRD,JPM,,11.5,10/29/2024,12/1/2023,,0.36,5.75%,25.75,23.3
JPM PRJ,JPM,,11.5,10/29/2024,,,0.3,4.75%,23.74,19.38
JPM PRK,JPM,,11.5,10/29/2024,,,0.28,4.55%,21.65,18.67
JPM PRL,JPM,,11.5,10/29/2024,,,0.29,4.63%,21.62,18.94
JPM PRM,JPM,,11.5,10/29/2024,,,0.26,4.20%,20.7,17.17
JSM,NAVI,BB,7.5,12/13/2024,,,0.38,6.00%,23.5,16.7
KEY PRJ,KEY,,10.5,11/27/2024,,,0.35,5.65%,25.36,16.17
KEY PRK,KEY,,10.5,11/27/2024,,,0.35,5.63%,26.17,16.05
KIM PRL,KIM,,11.5,12/27/2024,,,0.32,5.13%,25.42,19.2
KIM PRM,KIM,,11.5,12/27/2024,,,0.33,5.25%,25.4,19.83
KREF PRA,KREF,,NR,11/27/2024,4/16/2026,,0.41,6.50%,23.37,16.18
MBINN,MBIN,,NR,12/13/2024,,,0.38,6.00%,24.23,16.5
MET PRE,MET,,12,11/27/2024,,,0.35,5.63%,26.5,21.22
MET PRF,MET,,12,11/27/2024,,,0.3,4.75%,24.56,18.5
MFA PRB,MFA,,NR,11/27/2024,4/15/2018,,0.47,7.50%,21.92,18.34
MGR,AMG,BB,12,12/27/2024,,,0.37,5.88%,26.29,19.6
MGRB,AMG,BB,12,12/27/2024,,,0.3,4.75%,22.01,16.09
MGRD,AMG,BB,12,12/27/2024,,,0.26,4.20%,19.5,15.18
MS PRK,MS,,11,12/27/2024,,,0.37,5.85%,26.38,21.4
MS PRL,MS,,11,12/27/2024,,,0.3,4.88%,24.0,18.32
MS PRO,MS,,11,12/27/2024,,,0.27,4.25%,20.77,15.9
NCV PRA,NCV,,NR,12/5/2024,,,0.35,5.63%,24.28,20.92
NCZ PRA,NCZ,,NR,12/5/2024,,,0.34,5.50%,24.28,20.5
NEE PRN,NEE,BB,12,11/27/2024,,,0.35,5.65%,26.15,22.13
NRUC,-,BB,13,11/1/2024,,,0.34,5.50%,25.22,21.75
NSA PRA,NSA,,NR,12/13/2024,,,0.38,6.00%,25.3,20.65
NTRSO,NTRS,,13,12/13/2024,,,0.29,4.70%,24.85,18.3
NYMTZ,NYMT,,NR,1/2/2025,,,0.44,7.00%,19.78,16.6
OPP PRA,OPP,,16,11/1/2024,,,0.27,4.38%,20.87,16.98
OPP PRB,OPP,,16,11/1/2024,2/15/2027,,0.3,4.75%,21.43,18.7
OZKAP,OZK,,9,11/1/2024,11/15/2026,,0.29,4.63%,20.78,14.61
PEB PRE,PEB,,NR,12/27/2024,,,0.4,6.38%,24.71,18.32
PEB PRF,PEB,,NR,12/27/2024,,,0.39,6.30%,23.52,18.56
PEB PRG,PEB,,NR,12/27/2024,,,0.4,6.38%,23.4,18.0
PEB PRH,PEB,,NR,12/27/2024,,,0.36,5.70%,21.01,16.38
PFH,PRU,BB,13,11/15/2024,9/1/2025,,0.26,4.13%,22.61,17.35
PRH,PRU,BB,13,11/15/2024,,,0.37,5.95%,,23.79
PRS,PRU,BB,13,11/1/2024,8/15/2023,,0.35,5.63%,26.16,22.52
PSA PRF,PSA,,13.5,12/12/2024,,,0.32,5.15%,25.84,20.87
PSA PRG,PSA,,13.5,12/12/2024,,,0.32,5.05%,25.87,21.11
PSA PRH,PSA,,13.5,12/12/2024,,,0.35,5.60%,26.96,22.76
